"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"4:02:00::"	"not"	"be"	"has"	"clear"	"has_not"	"not_be"	"be_clear"	"twist_has_not"	"has_not_be"	"not_be_clear"	"be_clear_to"	"NN"	"VBZ"	"RB"	"RB"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"importance"	"of"	"twist"	"has"	"not"	"always"	"be"	"clear"	"to"	"us"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"man"	"have"	"retiring"	"be"	"retiring_man"	"man_have"	"have_be"	",_retiring_man"	"retiring_man_have"	"man_have_be"	"have_be_around"	"ε"	"JJ"	"NN"	"RB"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"furthermore"	"person"	"say"	"a"	"certain"	"number"	"docile"	"retiring"	"man"	"always"	"have"	"be"	"around"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"who"	"has"	"husband"	"be"	"husband_who"	"who_has"	"has_be"	"a_husband_who"	"husband_who_has"	"who_has_be"	"has_be_vigorous"	"DT"	"NN"	"WP"	"RB"	"VBZ"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on_the_other_hand"	"a"	"who"	"always"	"has"	"be"	"vigorous"	"and"	"assertive"	"may"	"suddenly"	"become"	"passive"	"ask"	"psychologist"	"say"	"for"	"reassurance"	"that"	"his"	"wife"	"still"	"find"	"him"	"desirable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"n't"	"be"	"can"	"measure"	"can_n't"	"n't_be"	"be_measure"	"and_can_n't"	"can_n't_be"	"n't_be_measure"	"be_measure_by"	"CC"	"MD"	"RB"	"RB"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_any_case"	"person"	"remark"	"such"	"problem"	"be"	"a"	"couple"	"affair"	"and"	"can"	"n't"	"always"	"be"	"measure"	"by"	"a"	"general"	"yardstick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"a"	"it"	"temptation"	"it_be"	"be_a"	"a_temptation"	"∅_it_be"	"it_be_a"	"be_a_temptation"	"a_temptation_for"	"ε"	"PRP"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"always"	"a"	"temptation"	"for"	"a"	"religious"	"organization"	"especially"	"a"	"powerful"	"or"	"dominant"	"one"	"to"	"impose"	"through"	"the"	"clenched_fist"	"of"	"the"	"law"	"its"	"creedal"	"viewpoint"	"upon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"easy"	"be"	"to"	"be_not"	"not_easy"	"easy_to"	"it_be_not"	"be_not_easy"	"not_easy_to"	"easy_to_develop"	"PRP"	"VB"	"RB"	"RB"	"JJ"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"always"	"easy"	"to"	"develop"	"theory"	"and"	"doctrine"	"which"	"would"	"square"	"the"	"two"	"condition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"had"	"run"	"she"	"them"	"she_had"	"had_run"	"run_them"	"as_she_had"	"she_had_run"	"had_run_them"	"run_them_for"	"IN"	"PRP"	"VBD"	"RB"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"they"	"be"	"away"	"person"	"come"	"into"	"the"	"every"	"morning"	"run"	"thing"	"as"	"she"	"had"	"always"	"run"	"them"	"for"	"person"	"go_through"	"the"	"week"	"in"	"a"	"dazed"	"stupor"	"get"	"thing"	"done"	"automatically"	"out"	"of"	"habit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"∅"	"provided_that"	"∅"	"person"	"∅_∅"	"∅_provided_that"	"provided_that_person"	"∅_∅_∅"	"∅_∅_provided_that"	"∅_provided_that_person"	"provided_that_person_himself"	"ε"	"ε"	"ε"	"RB"	"IN"	"NNP"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"provided_that"	"person"	"himself"	"had"	"not"	"dose"	"her"	"coffee"	"with"	"opium"	"she"	"think"	"as"	"coldly"	"and"	"sharply"	"again"	"as"	"person"	"might"	"have"	"say"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"has"	"be"	"it"	","	"it_has"	"has_be"	"be_,"	"what_it_has"	"it_has_be"	"has_be_,"	"be_,_to"	"WP"	"PRP"	"VBZ"	"RB"	"VB"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"the"	"private_detective"	"will"	"also"	"investigate"	"insurance_claim"	"or"	"handle"	"case"	"but"	"his"	"primary"	"function"	"remain"	"what"	"it"	"has"	"always"	"be"	"to"	"assist"	"those"	"who"	"have"	"money"	"in"	"their"	"unending"	"struggle"	"with"	"those"	"who"	"have"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"will"	"be"	"history"	"concerned"	"history_will"	"will_be"	"be_concerned"	"in_history_will"	"history_will_be"	"will_be_concerned"	"be_concerned_with"	"IN"	"NN"	"MD"	"RB"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"student"	"of"	"idea"	"their"	"place"	"in"	"history"	"will"	"always"	"be"	"concerned"	"with"	"the"	"pattern"	"of"	"transition"	"which"	"be"	"at_the_same_time"	"pattern"	"of"	"transformation"	"whereby"	"idea"	"pass"	"from"	"one"	"area"	"of"	"activity"	"to"	"another"	"0"	"0"	"0"	"0"	"0"	
