"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:30:07::"	"and"	"child"	","	"health_care"	",_and"	"and_child"	"child_health_care"	"dental_schools_,_and"	",_and_child"	"and_child_health_care"	"child_health_care_and"	"NN"	"ε"	"CC"	"VB"	"NN"	"NN"	"CC"	"in"	"a"	"special"	"message"	"to"	"congress"	"tie_in"	"with"	"his"	"aged"	"care"	"plan"	"requests"	"for"	"large"	"federal"	"grants"	"to"	"finance"	"medical"	"and"	"dental"	"scholarships"	"build"	"new"	"medical"	"and"	"new"	"dental_schools"	"and"	"expand"	"health_care"	"and"	"general"	"medical"	"research"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:12::"	","	"the"	"megarians"	"settlement"	"megarians_,"	",_the"	"the_settlement"	"the_megarians_,"	"megarians_,_the"	",_the_settlement"	"the_settlement_and"	"DT"	"NNPS"	"ε"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"found"	"in"	"the"	"ninth_century_b._c."	"it"	"was_called"	"byzantium"	"years"	"when"	"byzas"	"ruler"	"of"	"the"	"megarians"	"expand"	"the"	"settlement"	"and"	"name"	"it"	"after"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"beyond"	"threaten"	"its"	"threaten_to"	"to_beyond"	"beyond_its"	",_threaten_to"	"threaten_to_beyond"	"to_beyond_its"	"beyond_its_boundaries"	"ε"	"VB"	"TO"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"headquarters"	"of"	"the"	"nassau"	"system"	"be"	"an"	"busy"	"place"	"these"	"days"	"threaten"	"to"	"expand"	"beyond"	"its"	"boundaries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:07::"	"rapidly"	"their"	"are"	"economic"	"are_rapidly"	"rapidly_their"	"their_economic"	"bloc_are_rapidly"	"are_rapidly_their"	"rapidly_their_economic"	"their_economic_,"	"NN"	"VBP"	"RB"	"VB"	"PRP$"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"soviet_union"	"and"	"members"	"the"	"communist"	"bloc"	"are"	"rapidly"	"expand"	"their"	"economic"	"technical"	"and"	"military"	"assistance"	"to"	"the"	"uncommitted"	"nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:07::"	"to"	"its"	"plan"	"eradication"	"plan_to"	"to_its"	"its_eradication"	"is_plan_to"	"plan_to_its"	"to_its_eradication"	"its_eradication_program"	"VBZ"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department"	"plan"	"to"	"expand"	"its"	"eradication"	"program"	"soon"	"to"	"four"	"additional"	"counties"	"troup"	"pierce"	"bryan"	"and"	"bulloch"	"to"	"treat"	"acres"	"infest"	"by"	"the"	"ants"	"accord"	"to"	"w._e._blasingame"	"state"	"entomologist"	
"2:38:00::"	"both"	"and"	"universe"	"contract"	"universe_both"	"both_and"	"and_contract"	"the_universe_both"	"universe_both_and"	"both_and_contract"	"and_contract_,"	"DT"	"NN"	"DT"	"VB"	"CC"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._bonnor"	"support"	"the"	"that"	"the"	"universe"	"both"	"expand"	"and"	"contract"	"that"	"in"	"several"	"billion"	"years"	"the"	"expansion"	"will"	"slow_up"	"and"	"reverse"	"itself"	"and"	"that"	"the"	"contraction"	"will"	"set_in"	"0"	"0"	"0"	
"2:38:00::"	"is"	"."	"universe"	"∅"	"universe_is"	"is_."	"._∅"	"the_universe_is"	"universe_is_."	"is_._∅"	"._∅_∅"	"DT"	"NN"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"this"	"be"	"true"	"then"	"the"	"universe"	"today"	"look"	"just_as"	"it"	"did"	"millions"	"of"	"years"	"ago"	"and"	"as"	"it"	"will"	"look"	"millions"	"of"	"hence"	"even_though"	"the"	"universe"	"is"	"expand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"also"	"and"	"he"	"modernize"	"he_also"	"also_and"	"and_modernize"	"∅_he_also"	"he_also_and"	"also_and_modernize"	"and_modernize_the"	"ε"	"PRP"	"RB"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"also"	"expand"	"and"	"modernize"	"the"	"radio"	"system"	"with"	"a"	"central"	"control"	"station"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:07::"	"thought"	","	"the"	"the"	"the_thought"	"thought_,"	",_the"	"as_the_thought"	"the_thought_,"	"thought_,_the"	",_the_implication"	"IN"	"DT"	"NN"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"for"	"another"	"second"	"or"	"two"	"he"	"give_in"	"to"	"the"	"annoyance"	"that"	"was"	"direct"	"at"	"himself"	"then"	"his"	"mind"	"move_on"	"to"	"be"	"confront"	"by"	"something"	"far"	"more"	"serious"	"as"	"the"	"thought"	"expand"	"the"	"implication"	"jar"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"sometimes"	"until"	"are"	"the"	"are_sometimes"	"sometimes_until"	"until_the"	"they_are_sometimes"	"are_sometimes_until"	"sometimes_until_the"	"until_the_cream"	"PRP"	"VBP"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"ambiguous"	"exercise"	"compound"	"confusion"	"by"	"make"	"worse"	"compound"	"and"	"they"	"are"	"sometimes"	"expand"	"until"	"the"	"cream"	"of"	"the"	"jest"	"sour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
