"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:38:00::"	"people"	"the"	"two"	"ridge"	"two_people"	"people_the"	"the_ridge"	"see_two_people"	"two_people_the"	"people_the_ridge"	"the_ridge_to_the_south"	"VB"	"CD"	"NNS"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"late"	"afternoon"	"on"	"the"	"last_day"	"june"	"he"	"see"	"two"	"people"	"top"	"the"	"ridge"	"to_the_south"	"and"	"walk"	"toward"	"the"	"house"	"he"	"quit"	"work"	"immediately"	"and"	"stride"	"to"	"his"	"rifle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"church_at_the"	"at_the_of"	"the_of_the"	"of_the_location"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NNP"	"0"	"he"	"had"	"never"	"hear"	"so"	"many"	"bell"	"and"	"as"	"he"	"lie"	"there"	"listen"	"he"	"think_of"	"her"	"scold"	"him"	"for"	"his"	"remark"	"when"	"he"	"had"	"look"	"up"	"at"	"the"	"obelisk"	"and"	"the"	"church"	"the"	"top"	"of"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"regroup_at_the"	"at_the_of"	"the_of_the"	"of_the_hill"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"korean"	"fall_back"	"regroup"	"at"	"the"	"top"	"of"	"the"	"hill"	"and"	"pin"	"down"	"the"	"cavalryman"	"with"	"a"	"screen"	"of"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:maximal:00"	"get"	"dollar"	"you"	"from"	"you_get"	"get_dollar"	"dollar_from"	"are_you_get"	"you_get_dollar"	"get_dollar_from"	"dollar_from_the"	"VBP"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"get"	"top"	"dollar"	"from"	"the"	"shooting"	"sport"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"on"	"of"	"sheet_of_paper"	"it"	"sheet_of_paper_on"	"on_of"	"of_it"	"the_sheet_of_paper_on"	"sheet_of_paper_on_of"	"on_of_it"	"of_it_."	"DT"	"NN"	"IN"	"JJ"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"from"	"where"	"he"	"stand"	"he"	"could"	"see"	"the"	"neatly"	"folded"	"that"	"he"	"had"	"spread_over"	"person"	"the"	"pillow"	"the"	"sheet_of_paper"	"on"	"top"	"of"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"and"	"reach"	"head"	"reach_the"	"the_and"	"and_head"	"they_reach_the"	"reach_the_and"	"the_and_head"	"and_head_for"	"PRP"	"VB"	"DT"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"climb"	"the"	"steps"	"they"	"reach"	"the"	"top"	"and"	"head"	"for"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"her"	"hoop"	"hike_up"	"as"	"hike_up_her"	"her_hoop"	"hoop_as"	"and_hike_up_her"	"hike_up_her_hoop"	"her_hoop_as"	"hoop_as_if"	"CC"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"swoop_up"	"the"	"and"	"hike_up"	"her"	"top"	"hoop"	"as"	"if"	"about"	"to"	"take_off"	"with"	"a"	"racing"	"start"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	","	"off"	"leave"	"off_the"	"the_,"	",_leave"	"shear_off_the"	"off_the_,"	"the_,_leave"	",_leave_an"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"and"	"also"	"good"	"be"	"to"	"shear"	"off"	"the"	"top"	"leave"	"an"	"inch"	"high"	"stub"	"with"	"just"	"a"	"leaf"	"or"	"two"	"on"	"each"	"branch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"portion"	"of"	"of"	"of_the"	"the_portion"	"portion_of"	"feature_of_the"	"of_the_portion"	"the_portion_of"	"portion_of_figure"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"feature"	"of"	"the"	"top"	"portion"	"of"	"figure"	"and"	"figure"	"were"	"mention"	"in"	"discuss"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"∅_at_the"	"at_the_of"	"the_of_the"	"of_the_stairs"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"top"	"of"	"the"	"stairs"	"he"	"run_into"	"somebody"	"stand"	"there"	"angrily"	"in"	"a"	"dressing_gown"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
