"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:32:07::"	"vote"	"to"	"every"	"the"	"every_vote"	"vote_to"	"to_the"	"his_every_vote"	"every_vote_to"	"vote_to_the"	"to_the_closest"	"PRP$"	"DT"	"NN"	"VB"	"VB"	"DT"	"JJS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"legislator"	"from"	"brasstown_bald"	"to"	"is"	"going_to"	"have"	"his"	"every"	"vote"	"subject"	"to"	"the"	"closest"	"scrutiny"	"as"	"a"	"test"	"of"	"his"	"political"	"allegiances"	"not"	"his"	"convictions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"harmony"	"to"	"and"	"severe"	"and_harmony"	"harmony_to"	"to_severe"	"peace_and_harmony"	"and_harmony_to"	"harmony_to_severe"	"to_severe_stresses"	"NN"	"CC"	"NN"	"VB"	"VB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"gov._jimmie_h._davis"	"administration"	"appear"	"to"	"face"	"a"	"difficult"	"year"	"in"	"the"	"governor"	"theme"	"of"	"peace"	"and"	"harmony"	"subject"	"to"	"severe"	"stresses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"been"	"to"	"have"	"a"	"have_been"	"been_to"	"to_a"	"to_have_been"	"have_been_to"	"been_to_a"	"to_a_vast"	"TO"	"VB"	"VB"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doubts"	"thus"	"inculcate"	"leave"	"me"	"flounder"	"for_a_while"	"and"	"like"	"some"	"higher"	"critical"	"friends"	"try"	"to"	"continue"	"to"	"use"	"the"	"as"	"the"	"word_of_god"	"while"	"at_the_same_time"	"hold"	"it"	"to"	"have"	"been"	"subject"	"to"	"a"	"vast"	"number"	"of"	"redactions"	"and"	"interpolations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"be"	"both"	"would"	"to"	"would_be"	"be_both"	"both_to"	"it_would_be"	"would_be_both"	"be_both_to"	"both_to_the"	"PRP"	"MD"	"VB"	"VB"	"DT"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"if"	"one"	"hydrogen_atom"	"were"	"place"	"at"	"the"	"surface"	"a"	"large"	"sphere"	"of"	"hydrogen_atoms"	"it"	"would"	"be"	"subject"	"both"	"to"	"the"	"gravitation"	"of"	"the"	"sphere"	"and"	"the"	"charge-excess"	"of"	"all"	"those"	"atoms"	"in"	"the"	"sphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"to"	"i"	"crippling"	"i_was"	"was_to"	"to_crippling"	"but_i_was"	"i_was_to"	"was_to_crippling"	"to_crippling_fines"	"CC"	"PRP"	"VB"	"VB"	"VB"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_only"	"be"	"the"	"court"	"prohibitive"	"but"	"i"	"was"	"subject"	"to"	"crippling"	"fines"	"in_addition"	"to"	"usurious"	"interest"	"on"	"the"	"unpaid"	"debts"	"which"	"the"	"governmen"	"claim"	"that"	"metronome"	"and"	"i"	"owe"	"a"	"severe"	"financial"	"blow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:taxable:00"	"∅"	"to"	"∅"	"the"	"∅_∅"	"∅_to"	"to_the"	"∅_∅_∅"	"∅_∅_to"	"∅_to_the"	"to_the_limitation"	"ε"	"ε"	"ε"	"JJ"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"to"	"pay"	"as"	"prescribe"	"by"	"section"	"of_this"	"title"	"an"	"amount"	"not"	"exceed"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"general"	"."	"the"	"∅"	"the_general"	"general_."	"._∅"	"of_the_general"	"the_general_."	"general_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_charles_men"	"consist_of"	"not"	"of"	"a"	"connected"	"narrative"	"but"	"of"	"a"	"of"	"short_story"	"each"	"depict"	"a"	"special"	"phase"	"of"	"the"	"general"	"subject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"on"	"their"	"on_the"	"the_of"	"of_their"	"sensitive_on_the"	"on_the_of"	"the_of_their"	"of_their_complicity"	"JJ"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_englander"	"be"	"sensitive"	"on"	"the"	"subject"	"of"	"their"	"complicity"	"in"	"negro"	"slavery"	"at"	"the"	"time"	"of"	"the"	"drafting"	"of"	"the"	"declaration_of_independence"	"as"	"person"	"explain"	"in"	"his"	"autobiography"	"the"	"clause"	"reprobate"	"the"	"enslaving"	"the"	"inhabitant"	"of"	"africa"	"was"	"strike_out"	"in"	"complaisance"	"to"	"south_carolina"	"and"	"georgia"	"who"	"had"	"never"	"attempt"	"to"	"restrain"	"the"	"importation"	"of"	"slave"	"and"	"who"	"on_the_contrary"	"still"	"wish"	"to"	"continue"	"it"	
"1:09:01::"	"jewish"	"probably"	"its"	"would"	"its_jewish"	"jewish_probably"	"probably_would"	"that_its_jewish"	"its_jewish_probably"	"jewish_probably_would"	"probably_would_not"	"IN"	"PRP$"	"JJ"	"NN"	"RB"	"MD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"so"	"pleased"	"with"	"the"	"quality"	"of"	"her"	"biographical"	"study"	"of"	"person"	"that"	"he"	"submit"	"it"	"to"	"the"	"century_magazine"	"or"	"harper"	"but"	"he"	"decide"	"that"	"its"	"jewish"	"subject"	"probably"	"would"	"not"	"interest"	"them"	"and"	"publish"	"it"	"in"	"the_messenger"	"so"	"our"	"reader"	"will"	"be"	"benefit"	"instead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:taxable:00"	"be"	"to"	"may"	"withholding"	"may_be"	"be_to"	"to_withholding"	"united_states_may_be"	"may_be_to"	"be_to_withholding"	"to_withholding_of"	"NN"	"MD"	"VB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nonresident"	"alien"	"live"	"in"	"canada"	"or"	"mexico"	"earn"	"wage"	"in"	"the"	"united_states"	"may"	"be"	"subject"	"to"	"withholding"	"of"	"tax"	"on"	"their"	"wage"	"the"	"same"	"as"	"if"	"they"	"be"	"citizen"	"of"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
