"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"
"1:11:00::"	"another"	"."	"was"	"∅"	"was_another"	"another_."	"._∅"	"there_was_another"	"was_another_."	"another_._∅"	"._∅_∅"	"EX"	"VBD"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"there"	"another"	"factor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"other"	"increase"	"∅"	"operating_cost"	"∅_other"	"other_increase"	"increase_operating_cost"	"∅_∅_other"	"∅_other_increase"	"other_increase_operating_cost"	"increase_operating_cost_include"	"ε"	"ε"	"JJ"	"NN"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"factor"	"increase"	"operating_cost"	"include"	"the"	"higher"	"unit_cost"	"of"	"each"	"flying"	"hour"	"up"	"in"	"two"	"year"	"and"	"of"	"each"	"steam"	"hour"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"technological"	"is"	"of"	"also"	"of_technological"	"technological_is"	"is_also"	"impact_of_technological"	"of_technological_is"	"technological_is_also"	"is_also_illustrate"	"NN"	"IN"	"JJ"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"technological"	"factor"	"is"	"also"	"illustrate"	"by"	"the"	"history"	"of"	"the"	"high"	"energy"	"fuel"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"additional"	"was"	"an"	"help"	"an_additional"	"additional_was"	"was_help"	"and_an_additional"	"an_additional_was"	"additional_was_help"	"was_help_to"	"CC"	"DT"	"JJ"	"NN"	"VBD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"additional"	"factor"	"was"	"help"	"to"	"make"	"woman"	"more"	"sexually"	"self-assertive"	"the"	"comparatively"	"recent"	"discovery"	"of"	"the"	"true"	"depth"	"of"	"female"	"desire"	"and"	"response"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"same"	"consider"	"the"	"by"	"the_same"	"same_consider"	"consider_by"	"substantially_the_same"	"the_same_consider"	"same_consider_by"	"consider_by_non-catholic"	"RB"	"DT"	"JJ"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"be"	"the"	"same"	"factor"	"consider"	"by"	"non-catholic"	"in"	"family_planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"complicated"	"-"	"utterly"	"political"	"utterly_complicated"	"complicated_-"	"-_political"	"of_utterly_complicated"	"utterly_complicated_-"	"complicated_-_political"	"-_political_,"	"IN"	"RB"	"JJ"	"NN"	"ε"	"JJ"	"ε"	"in"	"the"	"policy"	"officer"	"mind"	"thus"	"begin"	"to"	"take_shape"	"as"	"a"	"galaxy"	"of"	"utterly"	"complicated"	"political"	"military"	"economic"	"financial"	"legal"	"legislative"	"procedural"	"administrative"	"to"	"be"	"sort_out"	"and"	"handle"	"within"	"a"	"political_system"	"which"	"move"	"by"	"consent"	"in_relation_to"	"an"	"external"	"environment"	"which"	"cannot"	"be"	"under_control"	
"1:09:00::"	"common"	"in"	"a"	"anxiety"	"a_common"	"common_in"	"in_anxiety"	"with_a_common"	"a_common_in"	"common_in_anxiety"	"in_anxiety_and"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"question"	"may"	"be"	"raise"	"whether"	"not"	"we"	"are"	"with"	"a"	"common"	"factor"	"in"	"anxiety"	"and"	"compulsivity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"first"	"change"	"first_the"	"the_of"	"of_change"	"place_first_the"	"first_the_of"	"the_of_change"	"of_change_which"	"VB"	"RB"	"DT"	"NN"	"IN"	"NN"	"WDT"	"the"	"modern"	"student"	"who"	"know"	"what"	"was"	"to"	"come"	"next"	"be"	"likely"	"to"	"place"	"the"	"of"	"change"	"which"	"be"	"visible"	"in"	"the"	"eighth"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"than"	"."	"unreconstructed"	"∅"	"unreconstructed_than"	"than_."	"._∅"	"remain_unreconstructed_than"	"unreconstructed_than_."	"than_._∅"	"._∅_∅"	"VB"	"JJ"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"among"	"bourbon"	"the"	"racial"	"issue"	"may"	"have"	"less"	"to"	"with"	"their"	"unreconstructed"	"than"	"factor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"valuable"	"you"	"most"	"can"	"most_valuable"	"valuable_you"	"you_can"	"the_most_valuable"	"most_valuable_you"	"valuable_you_can"	"you_can_find"	"RB"	"RB"	"JJ"	"NN"	"PRP"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"water"	"interest"	"be"	"of"	"the"	"most"	"valuable"	"factor"	"you"	"can"	"find"	"for"	"a"	"recreation"	"site"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
