"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:32:02::"	"who"	"that"	","	"the"	",_who"	"who_that"	"that_the"	"acting_judge_john_m._karns_,_who"	",_who_that"	"who_that_the"	"that_the_prosecution"	"NNP"	"ε"	"WP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"last"	"cases"	"in"	"the"	"investigation"	"of"	"the"	"nov"	"election"	"dismiss"	"yesterday"	"by"	"acting_judge_john_m._karns"	"who"	"charge"	"that"	"the"	"prosecution"	"obtain"	"evidence"	"by"	"unfair"	"and"	"fundamentally"	"illegal"	"means"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"was"	"with"	"also"	"the"	"also_was"	"was_with"	"with_the"	",_also_was"	"also_was_with"	"was_with_the"	"with_the_store"	"ε"	"RB"	"VBD"	"VB"	"IN"	"DT"	"NN"	"who"	"was"	"sentence"	"to"	"years"	"in"	"the"	"federal"	"prison"	"at"	"mcneil_island"	"last"	"april"	"for"	"robbery"	"of"	"the"	"hillsdale"	"branch"	"of"	"multnomah_bank"	"also"	"was"	"with"	"the"	"store"	"holdup"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"of"	"employes"	"practice"	"for"	"practice_of"	"of_employes"	"employes_for"	"the_practice_of"	"practice_of_employes"	"of_employes_for"	"employes_for_meals"	"DT"	"NN"	"IN"	"VB"	"NNS"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"charge"	"employes"	"for"	"meals"	"whether"	"they"	"eat"	"at"	"the"	"hospital"	"or"	"not"	"should"	"be"	"abolish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"was"	"with"	"thomas"	"four"	"thomas_was"	"was_with"	"with_four"	"∅_thomas_was"	"thomas_was_with"	"was_with_four"	"with_four_counts"	"ε"	"NNP"	"VBD"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"charge"	"with"	"four"	"counts"	"of"	"assault_and_battery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"be"	"to"	"shall"	"any"	"shall_be"	"be_to"	"to_any"	"tax_shall_be"	"shall_be_to"	"be_to_any"	"to_any_owner"	"NN"	"MD"	"VB"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"change"	"our"	"taxing"	"law"	"no"	"tax"	"shall"	"be"	"charge"	"to"	"any"	"owner"	"for"	"additions"	"or"	"improvements"	"to"	"his"	"properties"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"city_controller_alexander_hemphill"	"tuesday"	"∅"	"that"	"∅_city_controller_alexander_hemphill"	"city_controller_alexander_hemphill_tuesday"	"tuesday_that"	"∅_∅_city_controller_alexander_hemphill"	"∅_city_controller_alexander_hemphill_tuesday"	"city_controller_alexander_hemphill_tuesday_that"	"tuesday_that_the"	"ε"	"ε"	"NNP"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"charge"	"tuesday"	"that"	"the"	"bids"	"on"	"the"	"frankford_elevated"	"repair"	"project"	"were"	"rig"	"to"	"the"	"advantage"	"of"	"a"	"private"	"contracting"	"company"	"which"	"have"	"an"	"inside"	"track"	"with"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and_others"	"with"	"psychologists"	"control"	"psychologists_and_others"	"and_others_with"	"with_control"	",_psychologists_and_others"	"psychologists_and_others_with"	"and_others_with_control"	"with_control_the"	"ε"	"NNS"	"RB"	"VB"	"IN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the"	"policy"	"makers"	"generals"	"psychologists"	"and_others"	"charge"	"with"	"control"	"the"	"actions"	"of"	"the"	"button"	"pushers"	"and"	"their"	"hardware"	"the"	"answers"	"to"	"my"	"questions"	"vary"	"partly"	"according"	"to_a_man"	"flair"	"for"	"what"	"the"	"professionals"	"in_this"	"field"	"call"	"scenarios"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"crown"	","	"the"	"the"	"the_crown"	"crown_,"	",_the"	"cottage_the_crown"	"the_crown_,"	"crown_,_the"	",_the_krogers"	"NN"	"DT"	"NN"	"VB"	"ε"	"DT"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"their"	"cottage"	"the"	"crown"	"charge"	"the"	"krogers"	"receive"	"secrets"	"from"	"the"	"mystery"	"man"	"usually"	"on"	"the"	"first"	"saturday"	"evening"	"of"	"each_month"	"and"	"spend"	"much"	"of"	"the"	"week-end"	"get_off"	"the"	"secrets"	"off"	"to"	"moscow"	"either"	"on"	"a"	"powerful"	"transmitter"	"bury"	"under"	"the"	"kitchen"	"floor"	"or"	"as"	"dots"	"post"	"period"	"marks"	"in"	"used"	"books"	
"2:32:02::"	"are"	"in"	"defendants"	"six"	"defendants_are"	"are_in"	"in_six"	"eight_defendants_are"	"defendants_are_in"	"are_in_six"	"in_six_indictments"	"CD"	"NNS"	"VBP"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"three"	"miles_j._cooperman"	"sheldon_teller"	"and"	"richard_austin"	"eight"	"defendants"	"are"	"charge"	"in"	"six"	"indictments"	"with"	"conspiracy"	"to"	"violate"	"federal"	"narcotic"	"laws"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"critic"	"him"	"autobiographical"	"be"	"autobiographical_critic"	"critic_him"	"him_be"	"heavily_autobiographical_critic"	"autobiographical_critic_him"	"critic_him_be"	"him_be_important"	"RB"	"JJ"	"NN"	"VB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whether"	"in"	"his"	"forthcoming"	"book"	"c._p._snow"	"commit"	"the"	"errors"	"of"	"judgment"	"and"	"fact"	"with"	"which"	"your"	"heavily"	"autobiographical"	"critic"	"charge"	"him"	"be"	"important"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
