"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"1:26:01::"	"plantation"	"."	"with"	"∅"	"with_plantation"	"plantation_."	"._∅"	"deal_with_plantation"	"with_plantation_."	"plantation_._∅"	"._∅_∅"	"VB"	"VB"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"low-class"	"character"	"have"	"but"	"few"	"counterpart"	"earlier"	"southern"	"novel"	"deal"	"with"	"plantation"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"low"	"include"	"and"	"person"	"and_low"	"low_include"	"include_person"	"character_and_low"	"and_low_include"	"low_include_person"	"include_person_,"	"NN"	"CC"	"JJ"	"NN"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"others"	"who"	"write_of"	"character"	"and"	"low"	"life"	"include"	"person"	"creator"	"of"	"the"	"person"	"of"	"arkansas"	"and"	"person"	"the"	"person"	"person"	"whose"	"character"	"person"	"bear"	"a"	"close"	"kinship"	"to"	"person"	"in"	"both"	"his"	"willingness"	"to"	"take_advantage"	"cruel"	"advantage"	"of"	"all"	"and"	"sundry"	"and"	"the"	"sharpness"	"with"	"which"	"he"	"habitually"	"carry_out"	"his"	"will"	"and"	"person"	"whose"	"tennessee"	"hillbilly"	"character"	"person"	"perpetrate"	"more"	"unmalicious"	"mischief"	"and"	"more"	"unintended"	"pain"	"than"	"any"	"character"	"in"	"literature"	
"1:26:02::"	"her"	"person"	"of"	"had"	"of_her"	"her_person"	"person_had"	"part_of_her"	"of_her_person"	"her_person_had"	"person_had_n't"	"NN"	"IN"	"PRP$"	"NN"	"NNP"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"your"	"people"	"still"	"alive"	"he"	"ask"	"try"	"touch"	"a"	"part"	"of"	"her"	"life"	"person"	"had"	"n't"	"discuss"	"so"	"he"	"could"	"have"	"something"	"of"	"her"	"for"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"limit"	"the"	"limit_the"	"the_of"	"of_the"	"to_limit_the"	"limit_the_of"	"the_of_the"	"of_the_commission"	"TO"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"complete"	"its"	"affairs"	"in"	"connection"	"with"	"settlement"	"of"	"group"	"claim"	"arise"	"under"	"the"	"yugoslav_claims_agreement_of_1948"	"not"	"late"	"than"	"december_31"	"provided"	"that"	"nothing"	"provision"	"shall"	"be"	"construe"	"to"	"limit"	"the"	"life"	"of"	"the"	"commission"	"or"	"its"	"authority"	"to"	"act_on"	"future"	"agreement"	"which"	"may"	"be"	"effect"	"under"	"the"	"provision"	"of_this"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"the"	"of"	"enjoy"	"the"	"enjoy_the"	"the_of"	"of_the"	"he_enjoy_the"	"enjoy_the_of"	"the_of_the"	"of_the_artist"	"PRP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"decide"	"to"	"become"	"a"	"painter"	"he"	"enter"	"the"	"studio"	"person"	"in"	"paris"	"where"	"he"	"enjoy"	"the"	"life"	"of"	"the"	"artist"	"but"	"soon"	"find"	"that"	"whatever"	"talent"	"he"	"might"	"have"	"did"	"not"	"lie_in"	"that"	"direction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"farm"	"."	"of"	"∅"	"of_farm"	"farm_."	"._∅"	"part_of_farm"	"of_farm_."	"farm_._∅"	"._∅_∅"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"physical"	"labor"	"and"	"undesirable"	"be"	"a"	"part"	"of"	"farm"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:02::"	"my"	"i"	"in"	"learn"	"in_my"	"my_i"	"i_learn"	"``_in_my"	"in_my_i"	"my_i_learn"	"i_learn_,"	"ε"	"IN"	"PRP$"	"NN"	"PRP"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look"	"my"	"friend"	"he"	"say"	"in"	"life"	"i"	"learn"	"how"	"be"	"it"	"the"	"proverb"	"say"	"better"	"an"	"ounce"	"of"	"prevention"	"to"	"a"	"pound"	"of"	"cure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"better"	"."	"a"	"∅"	"a_better"	"better_."	"._∅"	"∅_a_better"	"a_better_."	"better_._∅"	"._∅_∅"	"ε"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"better"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"between"	"and"	"battle"	"death"	"battle_between"	"between_and"	"and_death"	"the_battle_between"	"battle_between_and"	"between_and_death"	"and_death_in"	"DT"	"NN"	"IN"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"ask"	"the"	"battle"	"between"	"life"	"and"	"death"	"in"	"his"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:01::"	"emotional"	"which"	"on"	"may"	"on_emotional"	"emotional_which"	"which_may"	",_on_emotional"	"on_emotional_which"	"emotional_which_may"	"which_may_have"	"ε"	"IN"	"JJ"	"NN"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"a"	"second"	"feature"	"of"	"the"	"of"	"literature"	"good"	"literature"	"on"	"emotional"	"life"	"which"	"may"	"have"	"some"	"special"	"value"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
