"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"1:18:00::"	"be"	"."	"we"	"∅"	"we_be"	"be_."	"._∅"	"when_we_be"	"we_be_."	"be_._∅"	"._∅_∅"	"WRB"	"PRP"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"were"	"fence"	"in"	"old"	"day"	"when"	"we"	"be"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"for"	"."	"environment"	"∅"	"environment_for"	"for_."	"._∅"	"healthful_environment_for"	"environment_for_."	"for_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"farm"	"provide"	"a"	"and"	"healthful"	"environment"	"for"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"own"	"to"	"his"	"a"	"his_own"	"own_to"	"to_a"	"send_his_own"	"his_own_to"	"own_to_a"	"to_a_mixed"	"VB"	"PRP$"	"JJ"	"NN"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"must"	"confess"	"that"	"i"	"prefer"	"the"	"liberal"	"who"	"personally"	"affected"	"who"	"be"	"willing"	"to"	"send"	"his"	"own"	"child"	"to"	"a"	"mixed"	"school"	"as"	"proof"	"of"	"his"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"our"	"''"	"segregate"	"."	"segregate_our"	"our_''"	"''_."	"long_since_segregate_our"	"segregate_our_''"	"our_''_."	"''_._∅"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yale"	"historian"	"write"	"a_few"	"year"	"ago"	"in"	"the"	"yale_review"	"say"	"in"	"new_england"	"have"	"long_since"	"segregate"	"our"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"of"	","	"procreation"	"but"	"procreation_of"	"of_,"	",_but"	"the_procreation_of"	"procreation_of_,"	"of_,_but"	",_but_concede"	"DT"	"NN"	"IN"	"NN"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"lambeth_conference"	"again"	"affirm"	"the"	"primary"	"purpose"	"marriage"	"to"	"be"	"the"	"procreation"	"of"	"child"	"but"	"concede"	"that"	"in"	"certain"	"limited"	"circumstance"	"contraception"	"might"	"be"	"morally"	"legitimate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"minor"	"is"	"a"	"allow"	"a_minor"	"minor_is"	"is_allow"	"∅_a_minor"	"a_minor_is"	"minor_is_allow"	"is_allow_a"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"minor"	"child"	"is"	"allow"	"a"	"personal"	"exemption"	"of"	"on"	"his"	"own"	"return"	"regardless"	"of"	"how"	"much"	"money"	"he"	"may"	"earn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"your"	"be"	"if"	"under"	"if_your"	"your_be"	"be_under"	"∅_if_your"	"if_your_be"	"your_be_under"	"be_under_19"	"ε"	"IN"	"PRP$"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"child"	"be"	"under"	"or"	"be"	"a"	"student"	"you"	"may"	"also"	"claim"	"an"	"exemption"	"for"	"him"	"if"	"he"	"qualify"	"as"	"your"	"dependent"	"even"	"though"	"he"	"earn"	"or"	"more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"your"	"work"	"if"	"for"	"if_your"	"your_work"	"work_for"	"∅_if_your"	"if_your_work"	"your_work_for"	"work_for_you"	"ε"	"IN"	"PRP$"	"NN"	"VB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"child"	"work"	"for"	"you"	"you"	"may"	"deduct"	"reasonable"	"wage"	"you"	"pay"	"to"	"him"	"for"	"services"	"he"	"render"	"in"	"your"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	","	"to"	"person"	"to_the"	"the_,"	",_person"	"call_to_the"	"to_the_,"	"the_,_person"	",_person_let"	"VB"	"TO"	"DT"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"as"	"call"	"to"	"the"	"child"	"person"	"let"	"her"	"gaze"	"seek"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"."	"molest"	"∅"	"molest_the"	"the_."	"._∅"	"him_molest_the"	"molest_the_."	"the_._∅"	"._∅_∅"	"PRP"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"his"	"inner"	"thought"	"cringe"	"at"	"it"	"he"	"force"	"himself"	"to"	"think_back"	"recreate"	"the"	"scene"	"in"	"which"	"person"	"claim"	"have"	"catch"	"him"	"molest"	"the"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
