"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:38:00::"	"and"	"into"	"-"	"the"	"-_and"	"and_into"	"into_the"	"touchdown_-_and"	"-_and_into"	"and_into_the"	"into_the_airfield"	"NN"	"ε"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"manage"	"to"	"maneuver"	"the"	"missile"	"to"	"a"	"landing"	"speed"	"of"	"m."	"p."	"h."	"fast"	"even"	"for"	"modern"	"jet_plane"	"touchdown"	"and"	"bank"	"into"	"the"	"airfield"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"president"	"sigh"	","	"sigh_the"	"the_president"	"president_,"	",_sigh_the"	"sigh_the_president"	"the_president_,"	"president_,_``"	"ε"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"person"	"sigh"	"bank"	"president"	"the"	"best"	"hearted"	"boy"	"in"	"the"	"world"	"but"	"absentminded"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"be"	"up"	"it"	"with"	"it_be"	"be_up"	"up_with"	"for_it_be"	"it_be_up"	"be_up_with"	"up_with_soil"	"IN"	"PRP"	"VB"	"VB"	"JJ"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"a"	"long"	"low"	"room"	"like"	"root_cellar"	"for"	"it"	"be"	"bank"	"up"	"with"	"soil"	"and"	"vine"	"had"	"run"	"rampant"	"over"	"that"	"too"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"of"	"through"	"french_window"	"through_the"	"the_of"	"of_french_window"	"come_in_through_the"	"through_the_of"	"the_of_french_window"	"of_french_window_."	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"ballroom"	"below"	"the"	"dark"	"give_way"	"to"	"moonlight"	"come_in"	"through"	"the"	"bank"	"of"	"french_window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"force"	","	"would"	"insurance_firm"	"would_force"	"force_,"	",_insurance_firm"	",_would_force"	"would_force_,"	"force_,_insurance_firm"	",_insurance_firm_,"	"ε"	"MD"	"VB"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bill"	"which"	"person"	"say"	"draft"	"personally"	"would"	"force"	"bank"	"insurance_firm"	"pipeline_company"	"and"	"corporation"	"to"	"report"	"such"	"property"	"to"	"the"	"state_treasurer"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"force"	"to"	"would"	"violate"	"would_force"	"force_to"	"to_violate"	"it_would_force"	"would_force_to"	"force_to_violate"	"to_violate_their"	"PRP"	"MD"	"VB"	"NN"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"location"	"lawyer"	"represent"	"the"	"group"	"sound"	"the"	"keynote"	"when"	"he"	"say"	"it"	"would"	"force"	"bank"	"to"	"violate"	"their"	"contractual"	"obligation"	"with"	"depositor"	"and"	"undermine"	"the"	"confidence"	"of"	"bank"	"customer"	
"1:14:00::"	"of"	"customer"	"confidence"	"."	"confidence_of"	"of_customer"	"customer_."	"the_confidence_of"	"confidence_of_customer"	"of_customer_."	"customer_._∅"	"DT"	"NN"	"IN"	"NN"	"NN"	"ε"	"ε"	"location"	"lawyer"	"represent"	"the"	"group"	"sound"	"the"	"opposition"	"keynote"	"when"	"he"	"say"	"it"	"would"	"force"	"bank"	"to"	"violate"	"their"	"contractual"	"obligation"	"with"	"depositor"	"and"	"undermine"	"the"	"confidence"	"of"	"customer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	","	"confidence"	"you"	"confidence_in"	"in_,"	",_you"	"destroy_confidence_in"	"confidence_in_,"	"in_,_you"	",_you_do"	"VB"	"NN"	"IN"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"confidence"	"in"	"bank"	"you"	"do"	"something"	"to"	"the"	"economy"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"to"	","	"pocket"	"insurance_company"	"pocket_to"	"to_,"	",_insurance_company"	"'_pocket_to"	"pocket_to_,"	"to_,_insurance_company"	",_insurance_company_and"	"ε"	"NN"	"TO"	"NN"	"ε"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"sponsor"	"of"	"the"	"bill"	"say"	"a"	"failure"	"to"	"enact"	"it"	"would"	"amount"	"to"	"make"	"a"	"gift"	"out_of"	"the"	"pocket"	"to"	"bank"	"insurance_company"	"and"	"pipeline_company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:01::"	"the"	"."	"on"	"∅"	"on_the"	"the_."	"._∅"	"wait_on_the"	"on_the_."	"the_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"officer"	"with"	"a"	"squad"	"man"	"had"	"been"	"wait"	"on"	"the"	"bank"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
