"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"1:06:03::"	"a"	"in"	"of"	"the"	"of_a"	"a_in"	"in_the"	"address_of_a"	"of_a_in"	"a_in_the"	"in_the_x-region"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"an"	"occurrence"	"f"	"is"	"isolate"	"during"	"text"	"reading"	"a"	"random_memory"	"address"	"f"	"the"	"address"	"a"	"cell"	"in"	"the"	"x-region"	"is"	"compute"	"from"	"the"	"form"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"many"	","	"∅"	"bacteria"	"∅_many"	"many_,"	",_bacteria"	"∅_∅_many"	"∅_many_,"	"many_,_bacteria"	",_bacteria_,"	"ε"	"ε"	"JJ"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cell"	"bacteria"	"and"	"microorganism"	"be"	"transparent"	"to"	"visible_light"	"and"	"must"	"be"	"stain"	"for"	"microscopic"	"investigation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"the"	"and"	"many_of"	"microorganism"	"many_of_the"	"the_and"	"and_microorganism"	"∅_many_of_the"	"many_of_the_and"	"the_and_microorganism"	"and_microorganism_which"	"ε"	"JJ"	"DT"	"NN"	"CC"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"cell"	"and"	"microorganism"	"which"	"be"	"transparent"	"to"	"visible_light"	"absorb"	"or"	"reflect"	"the"	"much"	"short"	"wavelength"	"of"	"the"	"ultraviolet_spectrum"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"the"	"were"	"reaction"	"scratch"	"reaction_the"	"the_were"	"were_scratch"	"follow_reaction_the"	"reaction_the_were"	"the_were_scratch"	"were_scratch_with"	"VB"	"NN"	"DT"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"the"	"cell"	"were"	"scratch"	"with"	"a"	"file"	"and"	"open"	"under"	"a"	"aqueous"	"sodium_iodide"	"solution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"reaction"	"and"	"typical"	"make"	"typical_reaction"	"reaction_and"	"and_make"	"a_typical_reaction"	"typical_reaction_and"	"reaction_and_make"	"and_make_appropriate"	"DT"	"JJ"	"NN"	"NN"	"CC"	"VB"	"JJ"	"possible"	"make"	"estimate"	"of"	"the"	"quantum"	"yield"	"by"	"observe"	"the"	"extent"	"of"	"reduction"	"of"	"a"	"uranyl_oxalate"	"actinometer"	"solution"	"illuminate"	"for"	"a"	"known"	"time"	"in"	"a"	"typical"	"reaction"	"and"	"make"	"appropriate"	"conversion"	"base"	"on"	"the"	"difference"	"in"	"the"	"absorption_spectrum"	"of"	"uranyl_oxalate"	"and"	"of"	"chlorine"	"and"	"consider"	"the"	"spectral"	"distribution"	"of"	"the"	"light"	"source"	"0"	
"1:06:03::"	"reaction"	"to"	"typical"	"which"	"typical_reaction"	"reaction_to"	"to_which"	"when_typical_reaction"	"typical_reaction_to"	"reaction_to_which"	"to_which_0.3"	"WRB"	"JJ"	"NN"	"NN"	"RB"	"RB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"reaction"	"cell"	"to"	"which"	"of"	"an"	"atmosphere"	"of"	"oxygen"	"had"	"been"	"add"	"were"	"illuminate"	"chlorine"	"and"	"phosgene"	"were"	"produce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:03::"	"reaction"	"over"	"the"	"the"	"the_reaction"	"reaction_over"	"over_the"	"from_the_reaction"	"the_reaction_over"	"reaction_over_the"	"over_the_range"	"IN"	"DT"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"series"	"the"	"relative"	"light"	"intensity"	"was"	"vary"	"by"	"vary"	"distance"	"of"	"the"	"lamp"	"from"	"the"	"reaction"	"cell"	"over"	"the"	"range"	"from"	"to"	"cm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"of"	","	"autofluorescence"	"was"	"autofluorescence_of"	"of_,"	",_was"	"or_autofluorescence_of"	"autofluorescence_of_,"	"of_,_was"	",_was_not"	"CC"	"NN"	"IN"	"NN"	"ε"	"VBD"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"specific"	"staining"	"by"	"deae_cellulose"	"treat"	"f"	"and"	"f"	"although"	"clearly"	"distinguishable"	"under"	"the"	"microscope"	"from"	"either"	"nonspecific"	"staining"	"autofluorescence"	"of"	"cell"	"was"	"not"	"satisfactorily"	"photograph"	"to"	"show"	"such"	"difference"	"in_spite_of"	"many"	"attempt"	"with"	"black_and_white"	"and"	"color"	"photography"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"pseudophloem"	"the"	"the"	"distribution"	"the_pseudophloem"	"pseudophloem_the"	"the_distribution"	"within_the_pseudophloem"	"the_pseudophloem_the"	"pseudophloem_the_distribution"	"the_distribution_of"	"IN"	"DT"	"NN"	"NN"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"within"	"pseudophloem"	"cell"	"the"	"distribution"	"of"	"wtv"	"antigen"	"be"	"irregular"	"in"	"the"	"cytoplasm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"walled"	"in"	"thick"	"the"	"thick_walled"	"walled_in"	"in_the"	"a_few_thick_walled"	"thick_walled_in"	"walled_in_the"	"in_the_xylem"	"JJ"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"specific"	"staining"	"by"	"both"	"direct"	"and"	"indirect"	"method"	"show"	"that"	"wtv"	"antigen"	"was"	"concentrated"	"in"	"the"	"pseudophloem"	"tissue"	"in"	"a_few"	"thick"	"walled"	"cell"	"in"	"the"	"xylem"	"region"	"but"	"be"	"not"	"detectable"	"in"	"any"	"tissue"	"of"	"the"	"root"	"and"	"stem"	"tumor"	"0"	"0"	"0"	"0"	
"1:03:00::"	"as"	"coalesce"	"∅"	"into"	"∅_as"	"as_coalesce"	"coalesce_into"	"∅_∅_as"	"∅_as_coalesce"	"as_coalesce_into"	"coalesce_into_organism"	"ε"	"ε"	"IN"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cell"	"coalesce"	"into"	"organism"	"they"	"build"	"new"	"unnatural"	"and"	"internally"	"control"	"environment"	"to"	"cope"	"even"	"more"	"successfully"	"with"	"the"	"entropy"	"increasing"	"property"	"of"	"the"	"external"	"world"	
"1:03:00::"	"f"	","	"*"	"which"	"*_f"	"f_,"	",_which"	"*_*_f"	"*_f_,"	"f_,_which"	",_which_had"	"ε"	"ε"	"NN"	"NN"	"ε"	"WDT"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"red_blood_cell"	"for"	"the"	"rh_antibody"	"test"	"were"	"use"	"within"	"after"	"draw"	"except"	"for"	"the"	"f"	"cell"	"which"	"had"	"been"	"glycerolize"	"and"	"store"	"at"	"c"	"for"	"approximately"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:03:00::"	"r"	"use"	"model"	"barbital"	"model_r"	"r_use"	"use_barbital"	"spinco_model_r"	"model_r_use"	"r_use_barbital"	"use_barbital_buffer"	"NNP"	"NN"	"NN"	"NN"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"paper_electrophoresis"	"was"	"carry_out"	"on"	"the"	"sample"	"in"	"a"	"spinco"	"model"	"r"	"cell"	"use"	"barbital"	"buffer"	"ph"	"ionic"	"strength"	"at"	"room_temperature"	"on"	"whatman"	"mm"	"filter_paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
