"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:15:00::"	"in"	"."	"exist"	"∅"	"exist_in"	"in_."	"._∅"	"no_more_exist_in"	"exist_in_."	"in_._∅"	"._∅_∅"	"RB"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"public"	"present"	"attitude"	"toward"	"business"	"stem"	"from"	"the"	"that"	"the"	"rugged"	"capitalist"	"entrepreneur"	"no_more"	"exist"	"in"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"be"	"corporation"	"in_reality"	"corporation_in"	"in_be"	"be_in_reality"	"the_corporation_in"	"corporation_in_be"	"in_be_in_reality"	"be_in_reality_our"	"DT"	"NN"	"IN"	"NN"	"VB"	"RB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"in"	"america"	"be"	"in_reality"	"our"	"form"	"of"	"socialism"	"vie"	"in_a_sense"	"with"	"the"	"socialistic"	"form"	"that"	"has"	"emerge"	"within"	"governmental"	"bureaucracy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"that"	"had"	"be"	"become"	"be_that"	"that_had"	"had_become"	"first_be_that"	"be_that_had"	"that_had_become"	"had_become_-"	"JJ"	"VB"	"IN"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"that"	"america"	"had"	"become"	"or"	"was"	"in_danger_of"	"become"	"a"	"second-rate"	"military"	"power"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"that"	"'s"	"be"	"political"	"be_that"	"that_'s"	"'s_political"	"charge_be_that"	"be_that_'s"	"that_'s_political"	"'s_political_position"	"NN"	"VB"	"IN"	"NN"	"POS"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"that"	"america"	"political"	"position"	"the"	"world"	"has"	"progressively"	"deteriorate"	"in"	"recent"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"and"	"revolution"	"in"	"revolution_in"	"in_and"	"and_in"	"the_revolution_in"	"revolution_in_and"	"in_and_in"	"and_in_france"	"DT"	"NN"	"IN"	"NN"	"CC"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"student"	"day"	"be"	"at_a"	"time"	"when"	"europe"	"be"	"a"	"new"	"intellectual"	"ferment"	"follow"	"the"	"revolution"	"in"	"america"	"and"	"in"	"france"	"germany"	"and"	"italy"	"were"	"rise"	"from"	"divisive"	"nationalism"	"and"	"a"	"strong"	"wave"	"of"	"intellectual"	"awareness"	"was"	"sweep"	"the"	"continent"	"0"	"0"	
"1:15:00::"	"rich"	"-"	"of"	"the"	"of_rich"	"rich_-"	"-_the"	"dollar_of_rich"	"of_rich_-"	"rich_-_the"	"-_the_avant-garde"	"NN"	"IN"	"JJ"	"NN"	"ε"	"DT"	"JJ"	"was"	"much"	"influence"	"by"	"paris"	"during"	"the"	"twenties"	"the"	"paris"	"which"	"be"	"the"	"artistic"	"center"	"of"	"the"	"western"	"world"	"the"	"social"	"paris"	"to"	"which"	"russian"	"aristocracy"	"migrate"	"the"	"chic"	"paris"	"which"	"attract"	"the"	"tourist"	"dollar"	"of"	"rich"	"the"	"avant-garde"	"paris"	"of"	"person"	"stravinsky"	"person"	"person"	"picasso"	"the"	"laissez-faire"	"paris"	"of"	"dadaism"	"and"	"ultramodern"	"art"	"the"	"paris"	"sympathique"	"which"	"take"	"young"	"composer"	"to"	"her"	"bosom"	"with"	"such"	"quick"	"and"	"easy"	"enthusiasm"	
"1:15:00::"	"in"	"the"	"historically"	"appeal"	"historically_in"	"in_the"	"the_appeal"	"∅_historically_in"	"historically_in_the"	"in_the_appeal"	"the_appeal_of"	"ε"	"RB"	"IN"	"NN"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"america"	"the"	"appeal"	"of"	"city"	"has"	"be"	"their"	"color"	"and"	"life"	"the"	"variety"	"of"	"experience"	"they"	"offer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"urge"	"to"	"and"	"say"	"and_urge"	"urge_to"	"to_say"	"''_and_urge"	"and_urge_to"	"urge_to_say"	"to_say_it"	"ε"	"CC"	"VB"	"NN"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president_of_the_united_states"	"proclaim"	"the"	"first"	"sunday"	"november"	"as"	"national_grandmothers_'_day"	"and"	"urge"	"america"	"to"	"say"	"it"	"with"	"flower"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"stand"	"folklore"	"in"	"folklore_in"	"in_stand"	"stand_in"	"of_folklore_in"	"folklore_in_stand"	"in_stand_in"	"stand_in_direct"	"IN"	"NN"	"IN"	"NN"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"popularity"	"folklore"	"in"	"america"	"stand"	"in"	"direct"	"proportion"	"to"	"the"	"popularity"	"of"	"nationalism"	"in"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"in"	"."	"nationalism"	"∅"	"nationalism_in"	"in_."	"._∅"	"of_nationalism_in"	"nationalism_in_."	"in_._∅"	"._∅_∅"	"IN"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"popularity"	"of"	"folklore"	"in"	"america"	"stand"	"direct"	"proportion"	"to"	"the"	"popularity"	"of"	"nationalism"	"in"	"america"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
