"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"1:21:00::"	"the"	"incur"	"for"	"by"	"for_the"	"the_incur"	"incur_by"	"reimbursement_for_the"	"for_the_incur"	"the_incur_by"	"incur_by_the"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"shall"	"be"	"deducted"	"from"	"the"	"amount"	"of"	"each"	"payment"	"make"	"pursuant"	"to"	"subsection"	"c"	"of"	"section"	"as"	"reimbursement"	"the"	"expense"	"incur"	"by"	"the"	"united_states"	"an"	"amount"	"equal"	"to"	"per_centum"	"of"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"fixed"	"and"	"meet"	"minimum"	"meet_fixed"	"fixed_and"	"and_minimum"	"to_meet_fixed"	"meet_fixed_and"	"fixed_and_minimum"	"and_minimum_live"	"TO"	"VB"	"JJ"	"NN"	"CC"	"JJ"	"VB"	"part-time"	"farming"	"give"	"a"	"measure"	"of"	"security"	"if"	"the"	"regular"	"job"	"is"	"lose"	"provide"	"the"	"farm"	"is"	"own"	"free_of"	"debt"	"and"	"furnish"	"enough"	"income"	"to"	"fixed"	"expense"	"and"	"minimum"	"live"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"your"	"in"	"are"	"this"	"are_your"	"your_in"	"in_this"	"∅_are_your"	"are_your_in"	"your_in_this"	"in_this_area"	"ε"	"VBP"	"PRP$"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"expense"	"in"	"this"	"area"	"commensurate"	"with"	"the"	"number"	"of"	"employee"	"who"	"benefit"	"from"	"your"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"necessary"	"attributable"	"and"	"to"	"and_necessary"	"necessary_attributable"	"attributable_to"	"ordinary_and_necessary"	"and_necessary_attributable"	"necessary_attributable_to"	"attributable_to_a"	"JJ"	"CC"	"JJ"	"NN"	"JJ"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"businessman"	"deduct"	"ordinary"	"and"	"necessary"	"expense"	"attributable"	"to"	"a"	"trade"	"or"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"necessary"	"and"	"and"	"certain"	"and_necessary"	"necessary_and"	"and_certain"	"ordinary_and_necessary"	"and_necessary_and"	"necessary_and_certain"	"and_certain_deduction"	"JJ"	"CC"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"hold"	"property"	"for"	"the"	"production"	"of"	"rent"	"or"	"royalty"	"you"	"in"	"compute"	"adjusted_gross_income"	"ordinary"	"and"	"necessary"	"expense"	"and"	"certain"	"deduction"	"attributable"	"to"	"the"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"all"	"attributable"	"deduct"	"to"	"deduct_all"	"all_attributable"	"attributable_to"	"salesman_deduct_all"	"deduct_all_attributable"	"all_attributable_to"	"attributable_to_earn"	"NN"	"VB"	"DT"	"NN"	"JJ"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"deduct"	"all"	"expense"	"attributable"	"to"	"earn"	"a"	"salary"	"commission"	"or"	"compensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"deduct"	"of"	"employee"	"travel"	"employee_deduct"	"deduct_of"	"of_travel"	"∅_employee_deduct"	"employee_deduct_of"	"deduct_of_travel"	"of_travel_,"	"ε"	"NN"	"VB"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"deduct"	"expense"	"of"	"travel"	"meal"	"and"	"lodge"	"while"	"away"	"from"	"home"	"in_connection_with"	"the"	"performance"	"of"	"their"	"services"	"as"	"employee"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"-_at_the"	"at_the_of"	"the_of_the"	"of_the_more"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"RB"	"system"	"we"	"tend"	"to"	"view"	"what"	"be"	"called"	"positivism"	"fundamentally"	"a"	"movement"	"to"	"democratize"	"policy"	"by"	"increase"	"the"	"power"	"of"	"parliament"	"the"	"elected"	"representative"	"the"	"of"	"the"	"more"	"conservative"	"judiciary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"at"	"blossom"	"at_the"	"the_of"	"of_blossom"	"foliage_at_the"	"at_the_of"	"the_of_blossom"	"of_blossom_."	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"day"	"will"	"come"	"in"	"midsummer"	"when"	"you"	"find"	"your"	"plant"	"become"	"leggy"	"run"	"to"	"tall-growing"	"at"	"the"	"expense"	"of"	"blossom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"and"	"∅"	"time"	"∅_the"	"the_and"	"and_time"	"∅_∅_the"	"∅_the_and"	"the_and_time"	"and_time_involved"	"ε"	"ε"	"DT"	"NN"	"CC"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expense"	"and"	"time"	"involved"	"be"	"astronomical"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
