"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"
"1:08:01::"	"his"	"with"	"cleanse"	"a"	"cleanse_his"	"his_with"	"with_a"	"he_cleanse_his"	"cleanse_his_with"	"his_with_a"	"with_a_small"	"PRP"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"his"	"mouth"	"with"	"a"	"small"	"quantity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"wide"	"compress"	"his"	"."	"his_wide"	"wide_compress"	"compress_."	"∅_his_wide"	"his_wide_compress"	"wide_compress_."	"compress_._∅"	"ε"	"PRP$"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wide"	"mouth"	"compress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"his"	","	"open"	"and"	"open_his"	"his_,"	",_and"	"could_open_his"	"open_his_,"	"his_,_and"	",_and_it"	"MD"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"hear"	"the"	"click"	"of"	"the"	"receiver"	"before"	"he"	"could"	"open"	"his"	"mouth"	"and"	"it"	"take"	"him"	"no"	"more"	"than"	"three"	"second"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	";"	"split"	"the"	"split_her"	"her_;"	";_the"	"that_split_her"	"split_her_;"	"her_;_the"	";_the_tooth"	"IN"	"VB"	"PRP$"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"could"	"n't"	"see"	"grin"	"that"	"split"	"her"	"mouth"	"the"	"tooth"	"that"	"shine"	"into"	"the"	"phone"	"be"	"like"	"a"	"shark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"'s"	"but"	"kid"	"his"	"kid_'s"	"'s_but"	"but_his"	"the_kid_'s"	"kid_'s_but"	"'s_but_his"	"but_his_mouth"	"DT"	"NN"	"POS"	"NN"	"CC"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"begin"	"pour"	"in"	"the"	"kid"	"mouth"	"but"	"his"	"mouth"	"fill"	"without"	"any"	"get"	"down"	"his"	"throat"	"and"	"in"	"a"	"second"	"it"	"was"	"drip"	"from"	"his"	"chin"	
"1:08:01::"	"his"	"fill"	"but"	"without"	"but_his"	"his_fill"	"fill_without"	"mouth_but_his"	"but_his_fill"	"his_fill_without"	"fill_without_any"	"NN"	"CC"	"PRP$"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"begin"	"pour"	"whisky"	"in"	"kid"	"mouth"	"but"	"his"	"mouth"	"fill"	"without"	"any"	"get"	"down"	"his"	"throat"	"and"	"in"	"a"	"second"	"it"	"was"	"drip"	"from"	"his"	"chin"	"0"	"0"	
"1:08:01::"	"his"	"be"	"``"	"open"	"``_his"	"his_be"	"be_open"	"∅_``_his"	"``_his_be"	"his_be_open"	"be_open_''"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mouth"	"be"	"open"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"the"	"or"	"or"	"the"	"or_the"	"the_or"	"or_the"	"throat_or_the"	"or_the_or"	"the_or_the"	"or_the_stomach"	"NN"	"CC"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"heart"	"i"	"say"	"finally"	"be"	"now"	"either"	"in"	"throat"	"or"	"the"	"mouth"	"or"	"the"	"stomach"	"or"	"the"	"shoe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"his"	"slightly"	","	"opened"	",_his"	"his_slightly"	"slightly_opened"	"child_,_his"	",_his_slightly"	"his_slightly_opened"	"slightly_opened_,"	"NN"	"ε"	"PRP$"	"NN"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"look"	"at"	"child"	"his"	"mouth"	"slightly"	"opened"	"his"	"eye"	"dull"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:01::"	"the"	"be"	"and"	"edentulous"	"and_the"	"the_be"	"be_edentulous"	",_and_the"	"and_the_be"	"the_be_edentulous"	"be_edentulous_."	"ε"	"CC"	"DT"	"NN"	"VB"	"JJ"	"ε"	"be"	"that"	"of"	"a"	"well"	"developed"	"somewhat"	"debilitate"	"white_man"	"weigh"	"lb"	"there"	"be"	"bilateral"	"pterygium"	"and"	"arcus_senilis"	"and"	"the"	"be"	"edentulous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
