"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:32:02::"	"which"	"to"	","	"be"	",_which"	"which_to"	"to_be"	"expansion_,_which"	",_which_to"	"which_to_be"	"to_be_substantial"	"NN"	"ε"	"WDT"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_view"	"of"	"the"	"expansion"	"which"	"promise"	"to"	"be"	"substantial"	"he"	"say"	"the"	"odds"	"appear"	"to"	"favor"	"rising"	"interest_rates"	"in"	"coming"	"months"	"but"	"there"	"be"	"reason"	"to"	"believe"	"the"	"change"	"will"	"not"	"be"	"as"	"abrupt"	"as"	"in"	"nor"	"as"	"severe"	"as"	"in"	"late"	"and"	
"2:32:00::"	"i"	"to"	"as"	"do"	"as_i"	"i_to"	"to_do"	",_as_i"	"as_i_to"	"i_to_do"	"to_do_."	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"going_to"	"turn_on"	"my"	"generator"	"on"	"as"	"i"	"promise"	"to"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"also"	"to"	"pittsburgh"	"be"	"pittsburgh_also"	"also_to"	"to_be"	"in_pittsburgh_also"	"pittsburgh_also_to"	"also_to_be"	"to_be_of"	"IN"	"NNP"	"RB"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"forthcoming"	"in"	"pittsburgh"	"also"	"promise"	"to"	"be"	"of"	"unusual"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"to"	"them"	"observe"	"them_and"	"and_to"	"to_observe"	"thank_them_and"	"them_and_to"	"and_to_observe"	"to_observe_the"	"VB"	"PRP"	"CC"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hank"	"them"	"and"	"promise"	"to"	"observe"	"the"	"rules"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"to"	"department"	"eat"	"department_,"	",_to"	"to_eat"	"the_department_,"	"department_,_to"	",_to_eat"	"to_eat_his"	"DT"	"NN"	"ε"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"james_p._mitchell"	"when"	"he"	"be"	"the"	"of"	"the"	"department"	"promise"	"to"	"eat"	"his"	"hat"	"if"	"unemployment"	"did"	"n't"	"drop"	"below"	"three"	"million"	"a_couple_of"	"years"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"by"	"to"	"law"	"build"	"law_by"	"by_to"	"to_build"	"world_law_by"	"law_by_to"	"by_to_build"	"to_build_a"	"NN"	"NN"	"IN"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"meanwhile"	"in"	"moscow"	"khrushchev"	"was"	"add"	"his"	"bit"	"the"	"march"	"of"	"world"	"law"	"by"	"promise"	"to"	"build"	"a"	"bomb"	"with"	"a"	"wallop"	"equal_to"	"million"	"tons"	"of"	"tnt"	"to"	"knock"	"sense"	"into"	"the"	"heads"	"of"	"those"	"backward"	"oafs"	"who"	"can"	"n't"	"see"	"the"	"justice"	"of"	"surrender"	"west_berlin"	"to"	"communism"	
"2:32:00::"	"he"	"nearly"	"∅"	"200"	"∅_he"	"he_nearly"	"nearly_200"	"∅_∅_he"	"∅_he_nearly"	"he_nearly_200"	"nearly_200_democratic"	"ε"	"ε"	"PRP"	"VB"	"RB"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"promise"	"nearly"	"democratic"	"county"	"committee_members"	"at"	"the"	"meeting"	"in"	"the"	"puddingstone_inn"	"when"	"i"	"come_back"	"here"	"after"	"the"	"november"	"election"	"you"	"think"	"you"	"be"	"my"	"man"	"you"	"be"	"the"	"kind_of"	"governor"	"we"	"be"	"glad"	"we"	"elect"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"days"	"president_kennedy"	"many"	"would"	"many_days"	"days_president_kennedy"	"president_kennedy_would"	"for_many_days"	"many_days_president_kennedy"	"days_president_kennedy_would"	"president_kennedy_would_reply"	"IN"	"JJ"	"NNS"	"VB"	"NNP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"press"	"for"	"many"	"days"	"promise"	"president_kennedy"	"would"	"reply"	"to"	"the_most"	"vital"	"domestic"	"and"	"foreign"	"problems"	"confront"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"khrushchev"	"upon"	"which"	"grab"	"which_khrushchev"	"khrushchev_upon"	"upon_grab"	",_which_khrushchev"	"which_khrushchev_upon"	"khrushchev_upon_grab"	"upon_grab_power"	"ε"	"WDT"	"NNP"	"VB"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"be"	"to"	"speed_up"	"domestic"	"in"	"the"	"ussr"	"which"	"khrushchev"	"promise"	"upon"	"grab"	"power"	"and"	"try"	"to"	"end"	"the"	"permanent"	"recession"	"in"	"russian"	"living"	"standards"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"to"	"because"	"get"	"because_he"	"he_to"	"to_get"	"payroll_because_he"	"because_he_to"	"he_to_get"	"to_get_my"	"NN"	"IN"	"PRP"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"put"	"arger"	"on"	"payroll"	"because"	"he"	"promise"	"to"	"get"	"my"	"firm"	"the"	"stevedore"	"account"	"at"	"navy"	"pier"	"stein"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
