"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:31:00::"	"be"	"on"	"will"	"need"	"will_be"	"be_on"	"on_need"	")_will_be"	"will_be_on"	"be_on_need"	"on_need_regardless_of"	"ε"	"MD"	"VB"	"VB"	"VB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"basis"	"that"	"all"	"citizens"	"of"	"the"	"state"	"are"	"entitle"	"to"	"benefit"	"equally"	"in"	"the"	"of"	"its"	"resources"	"plans"	"for"	"the"	"provision"	"of"	"essential"	"services"	"such_as"	"water"	"will"	"be"	"base"	"on"	"need"	"regardless_of"	"arbitrary"	"political"	"boundaries"	"within"	"the"	"framework"	"of"	"the"	"state"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"on"	"will"	"the"	"will_be"	"be_on"	"on_the"	"budget_will_be"	"will_be_on"	"be_on_the"	"on_the_state"	"NN"	"MD"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"state"	"development"	"budget"	"will"	"reflect"	"the"	"capital"	"needs"	"of"	"all"	"the"	"agencies"	"and"	"the"	"priority"	"of"	"the"	"projects"	"in"	"the"	"budget"	"will"	"be"	"base"	"on"	"the"	"state"	"plan"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"on"	"``"	"very"	"``_is"	"is_on"	"on_very"	"pessimism_``_is"	"``_is_on"	"is_on_very"	"on_very_limited"	"NN"	"ε"	"VB"	"VB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sprinkel"	"strongly"	"refute"	"the"	"current"	"neo-stagnationist"	"thesis"	"that"	"we"	"are"	"face"	"a"	"of"	"limited"	"and"	"slow"	"growth"	"declare"	"that"	"this"	"pessimism"	"is"	"base"	"on"	"very"	"limited"	"and"	"questionable"	"evidence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"restrictions"	"on"	"housing"	"race"	"housing_restrictions"	"restrictions_on"	"on_race"	"of_housing_restrictions"	"housing_restrictions_on"	"restrictions_on_race"	"on_race_,"	"IN"	"NN"	"NNS"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"does"	"the"	"local"	"realtor"	"see"	"in"	"the"	"context"	"of"	"housing"	"restrictions"	"base"	"on"	"race"	"religion"	"or"	"ethnic"	"attachment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"awkwardly"	"on"	","	"the"	",_awkwardly"	"awkwardly_on"	"on_the"	"wall_,_awkwardly"	",_awkwardly_on"	"awkwardly_on_the"	"on_the_john_hersey"	"NNP"	"ε"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"straight"	"dramas"	"there"	"be"	"all_the_way"	"home"	"which"	"owe"	"much"	"of"	"its"	"poetic"	"power"	"to"	"james_agee"	"novel"	"a"	"death"	"in"	"the"	"family"	"the"	"wall"	"awkwardly"	"base"	"on"	"the"	"john_hersey"	"novel"	"advise"	"and"	"consent"	"lively"	"but"	"shallow"	"theater"	"draw"	"from"	"the"	"mountainously"	"detailed"	"bestseller"	"face"	"of"	"a"	"hero"	"closed"	"base"	"on"	"a"	"pierre_boulle"	"novel"	"0"	"0"	"0"	
"2:31:00::"	","	"on"	")"	"a"	")_,"	",_on"	"on_a"	"closed_)_,"	")_,_on"	",_on_a"	"on_a_pierre_boulle"	"JJ"	"ε"	"ε"	"VB"	"IN"	"DT"	"NNP"	"dramas"	"there"	"be"	"all_the_way"	"home"	"which"	"owe"	"much"	"of"	"its"	"poetic"	"power"	"to"	"the"	"james_agee"	"novel"	"a"	"death"	"in"	"the"	"family"	"the"	"wall"	"awkwardly"	"base"	"on"	"the"	"john_hersey"	"novel"	"advise"	"and"	"consent"	"lively"	"but"	"shallow"	"theater"	"draw"	"from"	"the"	"mountainously"	"detailed"	"bestseller"	"face"	"of"	"a"	"hero"	"closed"	"base"	"on"	"a"	"novel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"on"	"junctures"	"mother"	"junctures_was"	"was_on"	"on_mother"	"and_junctures_was"	"junctures_was_on"	"was_on_mother"	"on_mother_,"	"CC"	"NNS"	"VB"	"VB"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"smith"	"first"	"workout"	"with"	"stresses"	"and"	"junctures"	"was"	"base"	"on"	"mother"	"which"	"spell"	"in"	"our"	"culture"	"a"	"good_deal"	"more_than"	"bread"	"alone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"largely"	"meeting"	"on"	"meeting_was"	"was_largely"	"largely_on"	"the_meeting_was"	"meeting_was_largely"	"was_largely_on"	"largely_on_the"	"DT"	"NN"	"VBD"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"disapproval"	"of"	"meeting"	"was"	"base"	"largely"	"on"	"the"	"belief"	"that"	"the"	"timing"	"could"	"hardly"	"be"	"worse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"on"	"novel"	"the"	"novel_was"	"was_on"	"on_the"	"new_novel_was"	"novel_was_on"	"was_on_the"	"on_the_marquis_alfonso"	"JJ"	"NN"	"VB"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"ago"	"it"	"was"	"bruit"	"that"	"primary"	"character"	"in"	"erich_maria_remarque"	"new"	"novel"	"was"	"base"	"on"	"the"	"marquis_alfonso"	"de"	"portago"	"the"	"spanish"	"nobleman"	"who"	"die"	"drive"	"in"	"the"	"mille_miglia"	"automobile_race"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"on"	"recommendation"	"the"	"recommendation_was"	"was_on"	"on_the"	"this_recommendation_was"	"recommendation_was_on"	"was_on_the"	"on_the_fact"	"DT"	"NN"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"was"	"base"	"on"	"the"	"fact"	"that"	"the"	"hymen"	"be"	"not"	"the"	"only"	"barrier"	"to"	"smooth"	"consummation"	"of"	"the"	"sex_act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
