"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"1:18:00::"	"closest"	"orbiting"	"the"	"around"	"the_closest"	"closest_orbiting"	"orbiting_around"	"he_the_closest"	"the_closest_orbiting"	"closest_orbiting_around"	"orbiting_around_her"	"PRP"	"DT"	"JJS"	"NN"	"VBG"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"the"	"he"	"the"	"closest"	"planet"	"orbiting"	"around"	"her"	"the"	"rest"	"of"	"the"	"world"	"existing"	"and"	"visible"	"yet"	"removed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"a"	"on"	"find"	"which"	"find_a"	"a_on"	"on_which"	"had_find_a"	"find_a_on"	"a_on_which"	"on_which_human_being"	"VBD"	"VB"	"DT"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"it"	"find"	"a"	"planet"	"on"	"which"	"human_being"	"could"	"live"	"and"	"which"	"was"	"already"	"inhabit"	"by"	"sentient"	"being"	"say"	"person"	"forget"	"in"	"his"	"enthusiasm"	"that"	"he"	"had"	"not"	"been"	"ask"	"to"	"speak"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"of"	"on"	"a_thousand"	"on_the"	"the_of"	"of_a_thousand"	"creature_on_the"	"on_the_of"	"the_of_a_thousand"	"of_a_thousand_larger"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"ego"	"be"	"what"	"it"	"be"	"i"	"put_in"	"science_fiction"	"has"	"always"	"assume"	"the"	"creature"	"on"	"the"	"of"	"a_thousand"	"larger"	"solar_system"	"than"	"ours"	"must"	"look_like"	"gigantic"	"tube-nosed_fruit_bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"and"	"as"	"moon"	"a"	"moon_and"	"and_as"	"as_a"	"the_moon_and"	"moon_and_as"	"and_as_a"	"as_a_new"	"DT"	"NN"	"CC"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"recently"	"become"	"practical"	"to"	"the"	"radio_emission"	"of"	"the"	"moon"	"and"	"planet"	"as"	"a"	"new"	"source"	"of"	"information"	"about"	"these"	"heavenly_body"	"and"	"their"	"atmosphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"a"	"which"	"of"	"have"	"of_a"	"a_which"	"which_have"	"radio_emission_of_a"	"of_a_which"	"a_which_have"	"which_have_an"	"NN"	"IN"	"DT"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"observation"	"of"	"radio_emission"	"of"	"a"	"planet"	"which"	"have"	"an"	"extensive"	"atmosphere"	"will"	"probe"	"the"	"atmosphere"	"to_a_greater_extent"	"than"	"those"	"use"	"short"	"wavelength"	"and"	"should"	"in"	"some"	"case"	"give"	"unobtainable"	"information"	"about"	"the"	"characteristic"	"of"	"the"	"solid"	"surface"	
"1:17:00::"	"remaining"	","	"the"	"only"	"the_remaining"	"remaining_,"	",_only"	"of_the_remaining"	"the_remaining_,"	"remaining_,_only"	",_only_mars"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"remaining"	"planet"	"only"	"mars"	"and"	"saturn"	"have"	"been"	"observe"	"as"	"radio_source"	"and"	"not"	"very"	"much"	"information"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"and"	"begin"	"moon"	"with"	"moon_and"	"and_begin"	"begin_with"	"the_moon_and"	"moon_and_begin"	"and_begin_with"	"begin_with_the"	"DT"	"NN"	"CC"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"study"	"of"	"the"	"of"	"the"	"moon"	"and"	"planet"	"begin"	"with"	"the"	"detection"	"of"	"the"	"thermal"	"radiation"	"of"	"the"	"moon"	"at"	"cm"	"wavelength"	"by"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"a"	"was"	"of"	"first"	"of_a"	"a_was"	"was_first"	"radio_emission_of_a"	"of_a_was"	"a_was_first"	"was_first_detect"	"NN"	"IN"	"DT"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"a"	"planet"	"was"	"first"	"detect"	"in"	"when"	"person"	"and"	"person"	"identify"	"the"	"origin"	"of"	"interference"	"like"	"radio_noise"	"on"	"their"	"record"	"at"	"about"	"meter"	"wavelength"	"as"	"emission"	"from"	"jupiter"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"the"	"."	"and"	"∅"	"and_the"	"the_."	"._∅"	"moon_and_the"	"and_the_."	"the_._∅"	"._∅_∅"	"NN"	"CC"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"the"	"concept"	"of"	"apparent"	"blackbody"	"temperature"	"is"	"use"	"describe"	"the"	"radiation"	"receive"	"the"	"moon"	"and"	"the"	"planet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	"and"	"should"	"moon"	"be"	"moon_and"	"and_should"	"should_be"	"the_moon_and"	"moon_and_should"	"and_should_be"	"should_be_negligible"	"DT"	"NN"	"CC"	"NN"	"MD"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"radio_radiation"	"of"	"the"	"sun"	"is"	"reflect"	"from"	"the"	"moon"	"and"	"planet"	"should"	"be"	"negligible"	"compare"	"with"	"their"	"thermal_emission"	"at"	"centimeter"	"wavelength"	"except"	"possibly"	"time"	"of"	"exceptional"	"outburst"	"of"	"solar"	"radio_noise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
