"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"1:14:01::"	"year"	"has"	"40"	"advocate"	"40_year"	"year_has"	"has_advocate"	"past_40_year"	"40_year_has"	"year_has_advocate"	"has_advocate_a"	"JJ"	"JJ"	"NN"	"NN"	"VBZ"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"year"	"congress"	"has"	"advocate"	"a"	"carefully"	"planned"	"balanced"	"and"	"competitive"	"railway_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"in"	","	"representative"	"take_pride"	"representative_in"	"in_,"	",_take_pride"	"their_representative_in"	"representative_in_,"	"in_,_take_pride"	",_take_pride_great"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"people"	"of"	"the"	"district"	"of"	"new_york"	"i"	"as"	"their"	"representative"	"in"	"congress"	"take_pride"	"great"	"pride"	"in"	"the"	"group"	"as"	"one"	"of"	"the"	"great"	"and"	"authoritative"	"newspaper"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"of"	","	"member"	"officer"	"member_of"	"of_,"	",_officer"	",_member_of"	"member_of_,"	"of_,_officer"	",_officer_in"	"ε"	"NN"	"IN"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"the"	"strategy"	"of"	"blockade"	"therefore"	"that"	"be"	"suddenly"	"at"	"center"	"of"	"attention"	"of"	"administration"	"official"	"member"	"of"	"congress"	"officer"	"in"	"the"	"pentagon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"in"	"assemble"	"united_states_of_america"	","	"united_states_of_america_in"	"in_assemble"	"assemble_,"	"the_united_states_of_america_in"	"united_states_of_america_in_assemble"	"in_assemble_,"	"assemble_,_that"	"DT"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"act"	"of"	"july"	"stat."	"as"	"amend"	"u._s._c."	"is"	"further"	"amend"	"to"	"read"	"as_follows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"to"	"of"	"provide_for"	"of_the"	"the_to"	"to_provide_for"	"policy_of_the"	"of_the_to"	"the_to_provide_for"	"to_provide_for_the"	"NN"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"increasing"	"shortage"	"of"	"usable"	"surface"	"and"	"ground_water"	"in"	"many"	"part"	"of"	"the"	"nation"	"and"	"the"	"importance"	"of"	"find"	"new"	"source"	"of"	"supply"	"to"	"meet"	"its"	"present"	"and"	"future"	"water"	"need"	"it"	"be"	"the"	"policy"	"of"	"to"	"provide_for"	"the"	"development"	"of"	"practicable"	"low-cost"	"means"	"for"	"the"	"large-scale"	"production"	"of"	"water"	"of"	"a"	"quality"	"suitable"	"for"	"municipal"	"industrial"	"agricultural"	"and"	"beneficial"	"consumptive"	"use"	"from"	"saline"	"water"	"and"	"for"	"study"	"and"	"research"	"related"	"thereto"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"from_time_to_time"	"to"	"authorization"	"to_the"	"the_from_time_to_time"	"from_time_to_time_authorization"	"recommend_to_the"	"to_the_from_time_to_time"	"the_from_time_to_time_authorization"	"from_time_to_time_authorization_for"	"VB"	"TO"	"DT"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recommend"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"great"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	
"1:14:01::"	"the"	"at"	"and"	"the"	"and_the"	"the_at"	"at_the"	"president_and_the"	"and_the_at"	"the_at_the"	"at_the_beginning"	"NN"	"CC"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"shall"	"make"	"to"	"the"	"president"	"and"	"the"	"congress"	"at"	"the"	"beginning"	"of"	"each"	"regular"	"session"	"of"	"the"	"action"	"taken"	"or"	"institute"	"by"	"him"	"under"	"the"	"provision"	"of_this"	"act"	"and"	"of"	"prospective"	"action"	"during"	"the"	"ensuing"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"in"	"assemble"	"united_states_of_america"	","	"united_states_of_america_in"	"in_assemble"	"assemble_,"	"the_united_states_of_america_in"	"united_states_of_america_in_assemble"	"in_assemble_,"	"assemble_,_that"	"DT"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"make"	"or"	"cause"	"to"	"be"	"make"	"a"	"study"	"cover"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"the"	"not"	"to"	"more_than"	"to_the"	"the_not"	"not_more_than"	",_to_the"	"to_the_not"	"the_not_more_than"	"not_more_than_two"	"ε"	"TO"	"DT"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"the"	"secretary_of_the_interior"	"shall"	"submit"	"a"	"report"	"of"	"his"	"finding"	"together"	"with"	"recommendation"	"for"	"an"	"effective"	"safety"	"program"	"for"	"metal"	"and"	"nonmetallic"	"mine"	"exclude"	"coal"	"and"	"lignite"	"mine"	"base"	"upon"	"such"	"finding"	"to"	"congress"	"not"	"more_than"	"two"	"year"	"after"	"the"	"date"	"of"	"enactment"	"of_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:01::"	"in"	"assemble"	"united_states_of_america"	","	"united_states_of_america_in"	"in_assemble"	"assemble_,"	"the_united_states_of_america_in"	"united_states_of_america_in_assemble"	"in_assemble_,"	"assemble_,_that"	"DT"	"NN"	"IN"	"NN"	"VB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"establish"	"and"	"maintain"	"a"	"program"	"of"	"stabilization"	"payment"	"to"	"small"	"domestic"	"producer"	"of"	"lead"	"and"	"zinc"	"ore"	"and"	"concentrate"	"in_order"	"to"	"stabilize"	"the"	"mining"	"of"	"lead"	"and"	"zinc"	"by"	"small"	"domestic"	"producer"	"on"	"public"	"indian"	"and"	"land"	"as"	"provide"	"in_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
