"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"3:00:00::"	"or"	","	"1000"	"certified"	"1000_or"	"or_,"	",_certified"	"$_1000_or"	"1000_or_,"	"or_,_certified"	",_certified_pursuant"	"ε"	"JJ"	"CC"	"JJ"	"ε"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"make"	"payment"	"in_full"	"of"	"the"	"of"	"award"	"of"	"or"	"less"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"anyone"	"tall"	"possible"	"than"	"possible_anyone"	"anyone_tall"	"tall_than"	"view_possible_anyone"	"possible_anyone_tall"	"anyone_tall_than"	"tall_than_the"	"NN"	"TO"	"NNP"	"JJ"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"view"	"possible"	"anyone"	"less"	"tall"	"than"	"the"	"fence"	"be"	"that"	"obtain"	"from"	"an"	"upper"	"bough"	"of"	"the"	"apple_tree"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"successful"	"have"	"in"	"have_be"	"be_successful"	"successful_in"	"in_general_have_be"	"have_be_successful"	"be_successful_in"	"successful_in_cope_with"	"RB"	"VBP"	"VB"	"RB"	"JJ"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"obvious"	"enough"	"linguist"	"in_general"	"have"	"be"	"less"	"successful"	"in"	"cope_with"	"tone_system"	"than"	"with"	"consonant"	"or"	"vowel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"much"	"attention"	"receive"	"from"	"receive_much"	"much_attention"	"attention_from"	"has_receive_much"	"receive_much_attention"	"much_attention_from"	"attention_from_linguist"	"VBZ"	"VB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"design"	"of"	"has"	"receive"	"much"	"less"	"attention"	"from"	"linguist"	"than"	"the"	"problem"	"deserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"cost"	"in"	"living"	"the"	"living_cost"	"cost_in"	"in_the"	"of_living_cost"	"living_cost_in"	"cost_in_the"	"in_the_country"	"IN"	"NN"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"generally"	"the"	"same"	"of"	"living"	"cost"	"less"	"in"	"the"	"country"	"than"	"in"	"the"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"for"	"attention"	"settle"	"and"	"settle_for"	"for_attention"	"attention_and"	"customer_settle_for"	"settle_for_attention"	"for_attention_and"	"attention_and_fewer"	"NN"	"VB"	"VB"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"will"	"your"	"customer"	"settle"	"for"	"less"	"attention"	"and"	"fewer"	"frills"	"in_return_for"	"some"	"benefit"	"they"	"can"	"share"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"not"	"humanely"	"was"	"treat"	"was_not"	"not_humanely"	"humanely_treat"	"slave_was_not"	"was_not_humanely"	"not_humanely_treat"	"humanely_treat_than"	"NN"	"VBD"	"RB"	"RB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"pre"	"civil_war"	"year"	"the"	"argue"	"that"	"the"	"slave"	"was"	"not"	"less"	"humanely"	"treat"	"than"	"the"	"factory_worker"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"be"	"than"	"allotment"	"the"	"allotment_be"	"be_than"	"than_the"	"unadjusted_allotment_be"	"allotment_be_than"	"be_than_the"	"than_the_minimum"	"JJ"	"NN"	"VB"	"RB"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"funds"	"recoup"	"by"	"reduction"	"in"	"item"	"above"	"are"	"use"	"first"	"to"	"increase"	"the"	"unadjusted"	"allotment"	"to"	"the"	"specified"	"minimum"	"in"	"those"	"state"	"the"	"unadjusted"	"allotment"	"be"	"less"	"than"	"the"	"minimum"	"allotment"	"item"	"above"	"and"	"second"	"to"	"increase"	"uniformly"	"the"	"allotment"	"to"	"those"	"state"	"whose"	"allotment"	"be"	"below"	"their"	"maximum"	"with"	"adjustment"	"to"	"prevent"	"the"	"allotment"	"of"	"any"	"state"	"from"	"thereby"	"exceed"	"its"	"maximum"	
"4:02:01::"	"no"	"than"	"be"	"six"	"be_no"	"no_than"	"than_six"	"there_be_no"	"be_no_than"	"no_than_six"	"than_six_or"	"EX"	"VB"	"RB"	"RB"	"RB"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"no"	"less"	"than"	"six"	"or"	"seven"	"saloon"	"in"	"location"	"not"	"count"	"the"	"lower_class"	"dive"	"all"	"vie"	"for"	"the"	"trade"	"of"	"celebrate"	"miner"	"and"	"teamster"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"time"	"applicant"	"was"	"applicant_,"	",_time"	"time_was"	"the_applicant_,"	"applicant_,_time"	",_time_was"	"time_was_waste"	"DT"	"NN"	"ε"	"JJ"	"NN"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"point_of_view"	"the"	"applicant"	"less"	"time"	"was"	"waste"	"in"	"being"	"evaluate"	"and"	"they"	"get"	"a"	"meal"	"out"	"of"	"it"	"as_well_as"	"some"	"insight"	"into"	"their"	"performance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
