"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:18:00::"	"rice"	","	"be"	"and"	"be_rice"	"rice_,"	",_and"	"-_be_rice"	"be_rice_,"	"rice_,_and"	",_and_the"	"ε"	"VB"	"NN"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"practically"	"all"	"the"	"people"	"of"	"laos"	"he"	"explain"	"two"	"million"	"of"	"them"	"be"	"rice"	"farmer"	"and"	"the"	"means"	"and"	"motive"	"of"	"modern"	"war"	"be"	"as"	"strange"	"to"	"them"	"as"	"clock"	"and"	"steel"	"plow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"cannot"	","	"leave"	",_the"	"the_cannot"	"cannot_leave"	"livestock_,_the"	",_the_cannot"	"the_cannot_leave"	"cannot_leave_the"	"NN"	"ε"	"DT"	"NN"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"if"	"there"	"no"	"livestock"	"the"	"farmer"	"cannot"	"leave"	"the"	"farm"	"for"	"long"	"period"	"particularly"	"during"	"the"	"growing_season"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"part-time"	"to"	"a"	"own"	"a_part-time"	"part-time_to"	"to_own"	"for_a_part-time"	"a_part-time_to"	"part-time_to_own"	"to_own_the"	"IN"	"DT"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"may"	"not"	"profitable"	"for"	"a"	"part-time"	"farmer"	"to"	"own"	"the"	"laborsaving"	"machinery"	"that"	"a"	"full-time"	"farmer"	"can"	"invest"	"in"	"profitably"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"full-time"	"can"	"a"	"invest"	"a_full-time"	"full-time_can"	"can_invest"	"that_a_full-time"	"a_full-time_can"	"full-time_can_invest"	"can_invest_in"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"may"	"not"	"be"	"profitable"	"for"	"a"	"part-time"	"to"	"own"	"the"	"laborsaving"	"machinery"	"that"	"a"	"full-time"	"farmer"	"can"	"invest"	"in"	"profitably"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"part-time"	"need"	"a"	"unusual"	"a_part-time"	"part-time_need"	"need_unusual"	"∅_a_part-time"	"a_part-time_need"	"part-time_need_unusual"	"need_unusual_skill"	"ε"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farmer"	"need"	"unusual"	"skill"	"to"	"get"	"as"	"high"	"production"	"per"	"hen"	"per"	"cow"	"or"	"per"	"acre"	"as"	"can"	"be"	"obtain"	"by"	"a"	"competent"	"full-time"	"farmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"full-time"	"."	"competent"	"∅"	"competent_full-time"	"full-time_."	"._∅"	"a_competent_full-time"	"competent_full-time_."	"full-time_._∅"	"._∅_∅"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"farmer"	"need"	"unusual"	"skill"	"to"	"get"	"as"	"high"	"production"	"per"	"hen"	"per"	"cow"	"or"	"per"	"acre"	"as"	"can"	"be"	"obtain"	"by"	"a"	"competent"	"full-time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"part-time"	"and"	"a"	"his"	"a_part-time"	"part-time_and"	"and_his"	"∅_a_part-time"	"a_part-time_and"	"part-time_and_his"	"and_his_family"	"ε"	"DT"	"JJ"	"NN"	"CC"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part-time"	"farmer"	"and"	"his"	"family"	"can"	"use"	"their"	"spare_time"	"profitably"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"small-scale"	"."	"the"	"∅"	"the_small-scale"	"small-scale_."	"._∅"	"to_the_small-scale"	"the_small-scale_."	"small-scale_._∅"	"._∅_∅"	"TO"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cost"	"of"	"power"	"and"	"machinery"	"be"	"a"	"serious"	"problem"	"to"	"the"	"small-scale"	"farmer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"location"	","	"but"	"he"	"but_location"	"location_,"	",_he"	"nothing_but_location"	"but_location_,"	"location_,_he"	",_he_have"	"NN"	"CC"	"NNP"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"in"	"person"	"eye"	"they"	"nothing"	"but"	"location"	"farmer"	"he"	"have"	"as"	"much"	"to"	"learn"	"about"	"them"	"as"	"they"	"have"	"to"	"learn"	"about"	"the"	"way"	"of"	"truly"	"rural"	"living"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"to"	"'"	"available"	"cooperative"	"available_to"	"to_'"	"'_cooperative"	"make_available_to"	"available_to_'"	"to_'_cooperative"	"'_cooperative_by"	"VB"	"JJ"	"TO"	"NN"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"distinct"	"class"	"of"	"are"	"make"	"available"	"to"	"farmer"	"cooperative"	"by"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
