"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"2:32:00::"	"''"	"to"	"problem"	"a"	"problem_''"	"''_to"	"to_a"	"housing_development_problem_''"	"problem_''_to"	"''_to_a"	"to_a_dilemma"	"NN"	"NNP"	"ε"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"providence_journal"	"editorial"	"jan."	"entitled"	"east_greenwich"	"faces"	"housing_development"	"problem"	"point"	"to"	"a"	"dilemma"	"that"	"face"	"communities"	"such_as"	"ours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"to"	"however"	"a"	"however_,"	",_to"	"to_a"	",_however_,"	"however_,_to"	",_to_a"	"to_a_vast"	"ε"	"RB"	"ε"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"recent"	"studies"	"by"	"the"	"commission"	"on"	"and"	"housing"	"and_others"	"however"	"point"	"to"	"a"	"vast"	"complex"	"of"	"factors"	"that"	"often"	"do"	"not"	"warrant"	"this"	"conclusion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"towards"	"corelli"	"the"	"corelli_and"	"and_towards"	"towards_the"	"shake_off_corelli_and"	"corelli_and_towards"	"and_towards_the"	"towards_the_mid-century"	"VB"	"NNP"	"CC"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"couperin"	"la_steinkerque"	"with"	"its"	"battle"	"music"	"brevity"	"wit"	"and"	"simplicity"	"already"	"shake_off"	"corelli"	"and"	"point"	"towards"	"the"	"mid-century"	"elegances"	"that"	"end"	"the"	"baroque"	"era"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"another"	"where"	"illustrate"	"person"	"illustrate_another"	"another_where"	"where_person"	"to_illustrate_another"	"illustrate_another_where"	"another_where_person"	"where_person_touch"	"JJ"	"VB"	"DT"	"NN"	"WRB"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"early"	"humorist"	"already"	"mention"	"can"	"be"	"use"	"to"	"illustrate"	"another"	"point"	"where"	"person"	"touch"	"authentic"	"southern"	"material"	"and"	"also"	"earlier"	"literary"	"treatment"	"of"	"those"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"185"	"serve"	"of"	"in_common"	"of_185"	"185_serve"	"serve_in_common"	"total_of_185"	"of_185_serve"	"185_serve_in_common"	"serve_in_common_with"	"NN"	"RB"	"CD"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"has"	"point_out"	"that"	"this"	"control"	"if"	"approve"	"by"	"the"	"group"	"give"	"the"	"combined"	"group"	"group"	"a"	"total"	"of"	"point"	"serve"	"in_common"	"with"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"where"	"to"	"they"	"to_the"	"the_where"	"where_they"	"design_to_the"	"to_the_where"	"the_where_they"	"where_they_can"	"NN"	"JJ"	"JJ"	"NN"	"WRB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"engineering"	"research"	"and"	"technical"	"development"	"work"	"to"	"determine"	"by"	"laboratory"	"and"	"pilot"	"plant"	"testing"	"the"	"result"	"of"	"the"	"research"	"and"	"study"	"in_order"	"to"	"develop"	"process"	"and"	"plant"	"design"	"to"	"the"	"point"	"where"	"they"	"can"	"be"	"demonstrate"	"on"	"a"	"large"	"and"	"practical"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"between"	"within"	"or"	"the"	"or_between"	"between_within"	"within_the"	",_or_between"	"or_between_within"	"between_within_the"	"within_the_same"	"ε"	"CC"	"RB"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"term"	"state"	"include"	"the"	"commonwealth"	"of"	"puerto_rico"	"and"	"any"	"possession"	"united_states"	"and"	"the"	"term"	"commerce"	"mean"	"commerce"	"between"	"any"	"state"	"and"	"place"	"outside"	"thereof"	"or"	"between"	"point"	"within"	"the"	"same"	"state"	"but"	"through"	"any"	"place"	"outside"	"thereof"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"four"	"i"	"underline"	"made"	"underline_four"	"four_i"	"i_made"	"to_underline_four"	"underline_four_i"	"four_i_made"	"i_made_in"	"TO"	"VB"	"JJ"	"NN"	"PRP"	"VBD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"should_like"	"underline"	"four"	"point"	"i"	"made"	"in"	"my"	"first"	"report"	"with"	"respect_to"	"vocational"	"education"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"certain"	","	"a"	"of_course"	"a_certain"	"certain_,"	",_of_course"	"beyond_a_certain"	"a_certain_,"	"certain_,_of_course"	",_of_course_,"	"IN"	"DT"	"JJ"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"certain"	"point"	"of_course"	"no"	"woman"	"can"	"be"	"dominant"	"nature"	"has"	"see"	"to"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"this"	"with"	"take_up"	"person"	"take_up_this"	"this_with"	"with_person"	"person_take_up_this"	"take_up_this_with"	"this_with_person"	"with_person_,"	"NNP"	"VB"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"this"	"point"	"with"	"person"	"who"	"shrug_off"	"it"	"off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
