"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:40:00::"	"museum"	"new"	"the"	"accessions"	"the_museum"	"museum_new"	"new_accessions"	"and_the_museum"	"the_museum_new"	"museum_new_accessions"	"new_accessions_of"	"CC"	"DT"	"NNP"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"space"	"was"	"provide"	"for"	"short-time"	"medical"	"exhibits"	"and"	"the"	"museum"	"collect"	"new"	"accessions"	"of"	"microscopes"	"medical"	"surgical"	"and"	"diagnostic"	"instruments"	"uniform"	"and"	"similar"	"items"	"of"	"historical"	"medico-military"	"significance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"were"	"to"	"trading_stamps"	"buy"	"trading_stamps_were"	"were_to"	"to_buy"	"enough_trading_stamps_were"	"trading_stamps_were_to"	"were_to_buy"	"to_buy_a"	"JJ"	"NN"	"VBD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enough"	"were"	"collect"	"to"	"buy"	"a"	"passenger"	"station_wagon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"family"	"around"	"cool"	"the"	"cool_family"	"family_around"	"around_the"	"a_cool_family"	"cool_family_around"	"family_around_the"	"around_the_pool"	"DT"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"ago"	"while"	"we"	"were"	"go_through"	"the"	"mud-sweat-and-tears"	"construction"	"period"	"we"	"were"	"each"	"solace"	"by"	"the"	"vision"	"of"	"early"	"morning"	"dips"	"and"	"evening"	"home-comings"	"to"	"cool"	"collect"	"around"	"the"	"pool"	"with"	"a"	"buffet"	"table"	"lay_out"	"nearby"	"for"	"the"	"lord"	"and"	"master"	"delectation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"been"	"by"	"have"	"ben_bagley"	"have_been"	"been_by"	"by_ben_bagley"	"double_entries_have_been"	"have_been_by"	"been_by_ben_bagley"	"by_ben_bagley_and"	"NN"	"VBP"	"VBN"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"double_entries"	"have"	"been"	"collect"	"by"	"ben_bagley"	"and"	"michael_mcwhinney"	"along"	"with"	"rodgers"	"and"	"hart"	"songs"	"that"	"disappear"	"permanently"	"en_route"	"to"	"new_york"	"and_others"	"that"	"reach"	"broadway"	"but"	"have"	"not"	"become"	"part"	"of"	"the"	"constantly"	"hear"	"rodgers"	"and"	"hart"	"repertory"	"in"	"a"	"delightfully"	"refreshing"	"album"	"rodgers"	"and"	"hart_revisited"	"spruce"	"records"	"fifth_avenue"	"new_york"	
"2:35:01::"	"projects"	"from"	"of"	"various"	"of_projects"	"projects_from"	"from_various"	"lists_of_projects"	"of_projects_from"	"projects_from_various"	"from_various_ministries"	"NNS"	"IN"	"NNS"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"others"	"have"	"so-called"	"development"	"plans"	"but"	"some"	"these"	"be"	"little"	"more_than"	"lists"	"of"	"projects"	"collect"	"from"	"various"	"ministries"	"while"	"be"	"statements"	"of"	"goals"	"without"	"analysis"	"of"	"the"	"actions"	"require"	"to"	"attain"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"elements"	"want"	"of"	"want_to"	"to_elements"	"elements_of"	"who_want_to"	"want_to_elements"	"to_elements_of"	"elements_of_the"	"WP"	"VB"	"VB"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"will"	"serve"	"to"	"show_off"	"the"	"ory"	"style"	"in"	"fine"	"and"	"be"	"a"	"must"	"for"	"those"	"who"	"want"	"to"	"collect"	"elements"	"of"	"the"	"old-time"	"jazz"	"before"	"it"	"be"	"too"	"late"	"to"	"lay_hands_on"	"the"	"gems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"they"	"than"	"amount_of_money"	"in"	"amount_of_money_they"	"they_than"	"than_in"	"the_amount_of_money_they"	"amount_of_money_they_than"	"they_than_in"	"than_in_the"	"DT"	"NN"	"PRP"	"VB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"its"	"spokesmen"	"seem"	"interested"	"in"	"the"	"amount_of_money"	"they"	"collect"	"than"	"in"	"the"	"principles"	"they"	"purport"	"to"	"advocate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"be"	"at"	"not"	"firehouses"	"not_be"	"be_at"	"at_firehouses"	"will_not_be"	"not_be_at"	"be_at_firehouses"	"at_firehouses_this"	"MD"	"RB"	"VB"	"VB"	"IN"	"NNS"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"toys"	"not"	"be"	"collect"	"at"	"firehouses"	"this"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"around"	"base"	"sit"	"pay"	"sit_around"	"around_base"	"base_pay"	"scouts_sit_around"	"sit_around_base"	"around_base_pay"	"base_pay_the"	"NNS"	"VB"	"IN"	"VB"	"NN"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"nine"	"scouts"	"sit"	"around"	"collect"	"base"	"pay"	"the"	"day"	"helva"	"was"	"commission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"stamps"	"hobbies"	","	"hobbies_,"	",_stamps"	"stamps_,"	"always_hobbies_,"	"hobbies_,_stamps"	",_stamps_,"	"stamps_,_coins"	"RB"	"NNS"	"ε"	"VB"	"NNS"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"there"	"hobbies"	"collect"	"stamps"	"coins"	"timetables"	"salt"	"and"	"pepper"	"shakers"	"elephants"	"dogs"	"dolls"	"shells"	"or"	"shall"	"we"	"just"	"say"	"collect"	"anything"	"your"	"heart"	"desire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
