"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"
"1:28:00::"	"the"	"."	"from"	"∅"	"from_the"	"the_."	"._∅"	"derivation_from_the"	"from_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"chief"	"characteristic"	"of"	"experience"	"the"	"mode"	"of"	"causal"	"efficacy"	"one"	"of"	"derivation"	"from"	"the"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"40"	"for"	"year"	"for_the"	"the_40"	"40_year"	"∅_for_the"	"for_the_40"	"the_40_year"	"40_year_congress"	"ε"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"past"	"year"	"congress"	"has"	"advocate"	"a"	"carefully"	"planned"	"balanced"	"and"	"competitive"	"railway_system"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"move"	"person"	"eye"	"'"	"eye_move"	"move_person"	"person_'"	"dreamy_eye_move"	"eye_move_person"	"move_person_'"	"person_'_shoulder"	"JJ"	"NN"	"VB"	"RB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"that"	"be"	"your"	"business"	"person"	"say"	"person"	"and"	"his"	"dreamy"	"eye"	"past"	"person"	"shoulder"	"to"	"gaze"	"vaguely"	"out"	"the"	"ground_glass"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"?"	"of"	"∅"	"of_the"	"the_?"	"?_∅"	"art_of_the"	"of_the_?"	"the_?_∅"	"?_∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"i"	"respond"	"could"	"not"	"similar"	"thing"	"be"	"about"	"the"	"art"	"of"	"the"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"several"	"for"	"year"	"for_the"	"the_several"	"several_year"	"act_for_the"	"for_the_several"	"the_several_year"	"several_year_have"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"department_of_defense"	"act"	"for"	"the"	"past"	"several"	"year"	"have"	"contain"	"a"	"rider"	"which"	"limit"	"competitive"	"bid"	"by"	"firm"	"in"	"country"	"on"	"certain"	"military"	"supply"	"item"	
"1:28:00::"	"the"	","	"in"	"unusual"	"in_the"	"the_,"	",_unusual"	",_in_the"	"in_the_,"	"the_,_unusual"	",_unusual_."	"ε"	"RB"	"RB"	"NN"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"such"	"case"	"in"	"the"	"past"	"unusual"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"her"	","	","	"he"	",_her"	"her_,"	",_he"	"friend_,_her"	",_her_,"	"her_,_he"	",_he_leave"	"NN"	"ε"	"PRP$"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"at"	"the"	"end"	"of"	"the"	"half-hour"	"rack"	"his"	"brain"	"think_of"	"over_and_over_again"	"of"	"person"	"her"	"friend"	"past"	"he"	"leave"	"the"	"bedroom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stride"	"the"	"he"	"now"	"he_stride"	"stride_the"	"the_now"	"∅_he_stride"	"he_stride_the"	"stride_the_now"	"the_now_frightened"	"ε"	"PRP"	"VB"	"RB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stride"	"past"	"the"	"now"	"frightened"	"man"	"enter"	"the"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"whiz"	"."	"auto"	"∅"	"auto_whiz"	"whiz_."	"._∅"	"∅_auto_whiz"	"auto_whiz_."	"whiz_._∅"	"._∅_∅"	"ε"	"NN"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"whiz"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	","	"into"	"eight"	"into_the"	"the_,"	",_eight"	"farther_into_the"	"into_the_,"	"the_,_eight"	",_eight_,"	"RB"	"RB"	"RB"	"NN"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"with"	"the"	"universal"	"list"	"as"	"his"	"weapon"	"person"	"has"	"extend"	"his"	"march"	"conquest"	"farther"	"and"	"into"	"the"	"past"	"eight"	"ten"	"twelve"	"millennium"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
