"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"2:32:04::"	"president"	"double"	"the"	"the"	"the_president"	"president_double"	"double_the"	",_the_president"	"the_president_double"	"president_double_the"	"double_the_present"	"ε"	"DT"	"NNP"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"area"	"of"	"community"	"services"	"the"	"president"	"call_for"	"double"	"the"	"present"	"million"	"dollar"	"a"	"year"	"federal"	"grants"	"for"	"nursing_home"	"construction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"party"	"government"	"the"	"operation"	"the_party"	"party_government"	"government_operation"	",_the_party"	"the_party_government"	"party_government_operation"	"government_operation_of"	"ε"	"DT"	"NN"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"that"	"when"	"he"	"be"	"socialist"	"in"	"the"	"party"	"call_for"	"government"	"operation"	"of"	"all"	"utilities"	"and"	"the"	"pooling"	"of"	"all"	"resources"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"martin"	"patience"	"∅"	"on"	"∅_martin"	"martin_patience"	"patience_on"	"∅_∅_martin"	"∅_martin_patience"	"martin_patience_on"	"patience_on_the"	"ε"	"ε"	"NNP"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"call_for"	"patience"	"on"	"the"	"part"	"of"	"americans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"schedule"	"a"	"his"	"noon"	"his_schedule"	"schedule_a"	"a_noon"	"∅_his_schedule"	"his_schedule_a"	"schedule_a_noon"	"a_noon_speech"	"ε"	"PRP$"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"schedule"	"call_for"	"a"	"noon"	"speech"	"monday"	"in"	"eugene"	"at"	"the"	"emerald_empire_kiwanis_club"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"his"	"a"	"with"	"fresh"	"with_his"	"his_a"	"a_fresh"	"diplomacy_with_his"	"with_his_a"	"his_a_fresh"	"a_fresh_approach"	"NN"	"IN"	"PRP$"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"u._s."	"and"	"soviet"	"heads"	"of"	"government"	"have"	"meet"	"three_times"	"since"	"in"	"introduce"	"a"	"new"	"word"	"into"	"international"	"diplomacy"	"with"	"his"	"call_for"	"a"	"fresh"	"approach"	"to"	"the"	"problem"	"of"	"peace"	"at"	"the"	"summit"	"of"	"the"	"nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"is"	"."	"brand"	"∅"	"brand_is"	"is_."	"._∅"	"different_brand_is"	"brand_is_."	"is_._∅"	"._∅_∅"	"JJ"	"NN"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"problem"	"be"	"not"	"merely"	"that"	"more"	"outside"	"teachers"	"needed"	"but"	"that"	"a"	"different"	"brand"	"is"	"call_for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"be"	"at_all"	"what"	"."	"what_be"	"be_at_all"	"at_all_."	"be_what_be"	"what_be_at_all"	"be_at_all_."	"at_all_._∅"	"VB"	"WP"	"VB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_any_case"	"it"	"be"	"by_no_means"	"clear"	"that"	"structured"	"organs"	"of"	"participation"	"be"	"what"	"be"	"call_for"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"detroit"	"a"	"in"	"firmer"	"in_detroit"	"detroit_a"	"a_firmer"	"vice-president_richard_m._nixon_in_detroit"	"in_detroit_a"	"detroit_a_firmer"	"a_firmer_and"	"NNP"	"IN"	"NNP"	"VB"	"DT"	"JJR"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"former"	"in"	"detroit"	"call_for"	"a"	"firmer"	"and"	"tougher"	"policy"	"toward"	"the"	"soviet_union"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"require"	"expenditures"	"is"	"over"	"is_require"	"require_expenditures"	"expenditures_over"	"assistance_is_require"	"is_require_expenditures"	"require_expenditures_over"	"expenditures_over_lengthy"	"NN"	"VBZ"	"VB"	"VB"	"NNS"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"the"	"individual"	"projects"	"which"	"development"	"assistance"	"is"	"require"	"call_for"	"expenditures"	"over"	"lengthy"	"periods"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:04::"	"1954"	"desegregation"	"of"	"."	"of_1954"	"1954_desegregation"	"desegregation_."	"fall_of_1954"	"of_1954_desegregation"	"1954_desegregation_."	"desegregation_._∅"	"NN"	"IN"	"CD"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"student"	"newspaper"	"the"	"emory_wheel"	"as"	"as"	"the"	"fall"	"of"	"call_for"	"desegregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
