"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"4:02:00::"	")"	","	"b"	"have"	"b_)"	")_,"	",_have"	"(_b_)"	"b_)_,"	")_,_have"	",_have_great"	"ε"	"NN"	"ε"	"RB"	"ε"	"VB"	"JJ"	"the"	"congress"	"from_time_to_time"	"authorization"	"for"	"construction"	"and"	"operation"	"or"	"for"	"participation"	"in"	"the"	"construction"	"and"	"operation"	"of"	"a"	"demonstration"	"plant"	"for"	"any"	"process"	"which"	"he"	"determine"	"on"	"the"	"basis"	"of"	"subsection"	"a"	"and"	"b"	"above"	"have"	"promise"	"of"	"accomplish"	"the"	"purpose"	"of_this"	"act"	"such"	"recommendation"	"to"	"be"	"accompany"	"by"	"a"	"report"	"on"	"the"	"size"	"location"	"and"	"cost"	"of"	"the"	"proposed"	"plant"	"and"	"the"	"engineering"	"and"	"economic"	"detail"	"with_respect_thereto"	
"4:02:01::"	"far"	"worldly"	"elevate"	"care"	"elevate_far"	"far_worldly"	"worldly_care"	"are_elevate_far"	"elevate_far_worldly"	"far_worldly_care"	"worldly_care_."	"VBP"	"VB"	"RB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"its"	"most"	"ecstatic"	"moment"	"and"	"wife"	"are"	"elevate"	"far"	"above"	"worldly"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"2"	"."	"item"	")"	"item_2"	"2_."	"._)"	"in_item_2"	"item_2_."	"2_._)"	"._)_∅"	"IN"	"NN"	"JJ"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"of"	"to"	"the"	"average"	"per_capita"	"income"	"of"	"the"	"divide"	"by"	"the"	"result"	"obtain"	"in"	"item"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"4"	";"	"item"	"except"	"item_4"	"4_;"	";_except"	"in_item_4"	"item_4_;"	"4_;_except"	";_except_that"	"IN"	"NN"	"JJ"	"RB"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"no"	"state"	"shall"	"have"	"an"	"allotment"	"percentage"	"less_than"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"8"	","	"item"	"for"	"item_8"	"8_,"	",_for"	"in_item_8"	"item_8_,"	"8_,_for"	",_for_all"	"IN"	"NN"	"JJ"	"RB"	"ε"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"sum"	"of"	"product"	"obtain"	"in"	"item"	"above"	"for"	"all"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"11"	")"	"item"	"be"	"item_11"	"11_)"	")_be"	"in_item_11"	"item_11_)"	"11_)_be"	")_be_great"	"IN"	"NN"	"JJ"	"RB"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"result"	"obtain"	"in"	"item"	"above"	"be"	"great"	"than"	"its"	"maximum"	"allotment"	"and"	"if"	"so"	"lower"	"its"	"unadjusted"	"allotment"	"to"	"its"	"maximum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"11"	")"	"item"	"be"	"item_11"	"11_)"	")_be"	"in_item_11"	"item_11_)"	"11_)_be"	")_be_less_than"	"IN"	"NN"	"JJ"	"RB"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"result"	"obtain"	"in"	"item"	"above"	"be"	"less_than"	"its"	"minimum"	"base"	"allotment"	"and"	"if"	"so"	"raise"	"its"	"unadjusted"	"allotment"	"to"	"its"	"minimum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"4"	";"	"item"	"except"	"item_4"	"4_;"	";_except"	"in_item_4"	"item_4_;"	"4_;_except"	";_except_that"	"IN"	"NN"	"JJ"	"RB"	"ε"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"state"	"it"	"be"	"the"	"difference"	"obtain"	"subtract"	"from"	"the"	"result"	"obtain"	"in"	"item"	"above"	"except"	"that"	"no"	"state"	"shall"	"have"	"a"	"federal"	"share"	"less_than"	"nor"	"more_than"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"and"	"."	"`"	"∅"	"`_and"	"and_."	"._∅"	"180_`_and"	"`_and_."	"and_._∅"	"._∅_∅"	"CD"	"ε"	"CC"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"thermal"	"exchange"	"of"	"chlorine"	"between"	"f"	"and"	"liquid"	"f"	"be"	"readily"	"at"	"temperature"	"in"	"the"	"range"	"of"	"and"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	","	"∅"	"the"	"∅_∅"	"∅_,"	",_the"	"∅_∅_∅"	"∅_∅_,"	"∅_,_the"	",_the_glowing"	"ε"	"ε"	"ε"	"RB"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"glowing"	"ivory"	"baton"	"of"	"their"	"searchlight"	"point"	"at"	"the"	"cloud"	"dilute"	"the"	"valley"	"dark"	"to"	"a"	"pallid"	"light"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
