"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"4:02:01::"	"∅"	"a"	"∅"	"desired"	"∅_∅"	"∅_a"	"a_desired"	"∅_∅_∅"	"∅_∅_a"	"∅_a_desired"	"a_desired_acreage"	"ε"	"ε"	"ε"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"desired"	"acreage"	"is"	"offer"	"only"	"as"	"part"	"of"	"a"	"larger"	"tract"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"the"	"complex"	"still"	"problem"	"still_the"	"the_complex"	"complex_problem"	"be_still_the"	"still_the_complex"	"the_complex_problem"	"complex_problem_of"	"VB"	"RB"	"DT"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"still"	"the"	"sometimes"	"complex"	"problem"	"of"	"help"	"camper"	"choose"	"the"	"best"	"equipment"	"for"	"their"	"individual"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	"this"	"∅"	"lead"	"∅_∅"	"∅_this"	"this_lead"	"∅_∅_∅"	"∅_∅_this"	"∅_this_lead"	"this_lead_to"	"ε"	"ε"	"ε"	"RB"	"DT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"lead"	"to"	"his"	"become"	"demandingly"	"dominant"	"in"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"combat"	"elicit"	"into"	"from"	"into_combat"	"combat_elicit"	"elicit_from"	"initiation_into_combat"	"into_combat_elicit"	"combat_elicit_from"	"elicit_from_soldier"	"NN"	"IN"	"NN"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"initiation"	"combat"	"sometimes"	"elicit"	"from"	"soldier"	"correspondent"	"choice"	"comment"	"about"	"their"	"experience"	"and"	"reaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"∅"	"it"	"∅"	"be"	"∅_∅"	"∅_it"	"it_be"	"∅_∅_∅"	"∅_∅_it"	"∅_it_be"	"it_be_not"	"ε"	"ε"	"ε"	"RB"	"PRP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"not"	"a"	"verbal"	"stereotype"	"a"	"how"	"be"	"you"	"now"	"or"	"an"	"i"	"want"	"to"	"go_home"	"or"	"whatever"	"but"	"a"	"nonverbal"	"one"	"which"	"reveal"	"itself"	"gradually"	"as"	"the"	"condensed"	"expression"	"of"	"more"	"than"	"one"	"latent"	"meaning"	"0"	
"4:02:01::"	","	"hyphenated"	"''"	"by"	"''_,"	",_hyphenated"	"hyphenated_by"	"son_of_a_bitch_''_,"	"''_,_hyphenated"	",_hyphenated_by"	"hyphenated_by_vicious"	"NN"	"ε"	"ε"	"RB"	"JJ"	"IN"	"JJ"	"suddenly"	"the"	"spanish"	"become"	"an"	"english"	"in"	"which"	"only"	"one"	"word"	"emerge"	"with"	"clarity"	"and"	"precision"	"son_of_a_bitch"	"sometimes"	"by"	"vicious"	"jab"	"of"	"a"	"beer_bottle"	"into"	"person"	"quivering"	"rib"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"stress"	"show"	"of"	"construction"	"of_stress"	"stress_show"	"show_construction"	"pattern_of_stress"	"of_stress_show"	"stress_show_construction"	"show_construction_unambiguously"	"NN"	"IN"	"NN"	"RB"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"clear"	"pattern"	"of"	"stress"	"sometimes"	"show"	"construction"	"unambiguously"	"in"	"the"	"spoken_language"	"where"	"without"	"the"	"help"	"of"	"context"	"it"	"would"	"be"	"ambiguous"	"in"	"the"	"written"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"and"	"not"	"dinner"	"for"	"dinner_and"	"and_not"	"not_for"	"for_dinner_and"	"dinner_and_not"	"and_not_for"	"not_for_supper"	"VB"	"NN"	"CC"	"RB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"gone"	"all"	"day"	"not"	"come_in"	"for"	"dinner"	"and"	"sometimes"	"not"	"for"	"supper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	","	"discuss"	"television_program"	"the"	"television_program_,"	",_discuss"	"discuss_the"	"on_television_program_,"	"television_program_,_discuss"	",_discuss_the"	"discuss_the_christian"	"IN"	"NN"	"ε"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"catholic"	"priest"	"have"	"appear"	"on"	"television_program"	"sometimes"	"discuss"	"the"	"christian"	"faith"	"on"	"an"	"equal"	"footing"	"with"	"protestant"	"clergyman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"and"	"experiment"	","	"themselves"	",_and"	"and_experiment"	"experiment_themselves"	"trial_,_and"	",_and_experiment"	"and_experiment_themselves"	"experiment_themselves_are"	"NN"	"ε"	"CC"	"RB"	"NN"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experiment"	"are"	"often"	"compose"	"several"	"identical"	"trial"	"and"	"sometimes"	"experiment"	"themselves"	"are"	"repeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
