"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"2:37:00::"	"i"	"confident"	"``"	"the"	"``_i"	"i_confident"	"confident_the"	"∅_``_i"	"``_i_confident"	"i_confident_the"	"confident_the_stock"	"ε"	"ε"	"PRP"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feel"	"confident"	"the"	"stock"	"will"	"qualify"	"for"	"the"	"national"	"list"	"he"	"say"	"mean"	"its"	"market_price"	"would"	"be"	"quote"	"regularly"	"in"	"newspapers"	"all_over"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"he"	"braced"	","	"."	",_he"	"he_braced"	"braced_."	"virginia_street_,_he"	",_he_braced"	"he_braced_."	"braced_._∅"	"NNP"	"ε"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"eat"	"breakfast"	"in"	"a"	"sullen"	"mood"	"but"	"afterwards"	"he"	"walk"	"out"	"onto"	"virginia_street"	"he"	"feel"	"braced"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"stomach"	"all"	"my"	"lines"	"my_stomach"	"stomach_all"	"all_lines"	"hungry_my_stomach"	"my_stomach_all"	"stomach_all_lines"	"all_lines_of"	"JJ"	"PRP$"	"NN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"hungry"	"my"	"stomach"	"feel"	"all"	"lines"	"of"	"communication"	"had"	"been"	"sever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"i"	"compelled"	"∅"	"to"	"∅_i"	"i_compelled"	"compelled_to"	"∅_∅_i"	"∅_i_compelled"	"i_compelled_to"	"compelled_to_write"	"ε"	"ε"	"PRP"	"VB"	"JJ"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feel"	"compelled"	"to"	"write"	"this"	"because"	"i"	"be"	"greatly"	"concerned"	"with"	"the"	"problem"	"of"	"community"	"growth_rate"	"and"	"the"	"relation"	"between"	"types"	"of"	"growth"	"in"	"a"	"town"	"such_as"	"east_greenwich"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"being"	"almost"	"are"	"immediately"	"are_being"	"being_almost"	"almost_immediately"	"recovery_are_being"	"are_being_almost"	"being_almost_immediately"	"almost_immediately_by"	"NN"	"VBP"	"VBG"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"dealer"	"stocks"	"of"	"new"	"equipment"	"average"	"about"	"below"	"a"	"year"	"the"	"affects"	"of"	"the"	"rural"	"recovery"	"are"	"being"	"feel"	"almost"	"immediately"	"by"	"the"	"country"	"farm"	"equipment"	"manufacturers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"his"	"this"	"lips"	"this_he"	"he_his"	"his_lips"	"with_this_he"	"this_he_his"	"he_his_lips"	"his_lips_thicken"	"IN"	"DT"	"PRP"	"VB"	"PRP$"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"he"	"feel"	"his"	"lips"	"thicken"	"and"	"his"	"mind"	"go"	"slack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"the"	","	"knife"	",_he"	"he_the"	"the_knife"	"thigh_,_he"	",_he_the"	"he_the_knife"	"the_knife_grind"	"NN"	"ε"	"PRP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"b"	"dikkat"	"cut"	"the"	"head"	"mercer"	"thigh"	"he"	"feel"	"the"	"knife"	"grind"	"against"	"the"	"cartilage"	"which"	"hold"	"the"	"head"	"to"	"his"	"own"	"body"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:10::"	"to"	"for"	"pause"	"the"	"pause_to"	"to_for"	"for_the"	"dave_pause_to"	"pause_to_for"	"to_for_the"	"for_the_latch"	"NNP"	"VB"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"door"	"pause"	"to"	"feel"	"for"	"the"	"latch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"his"	"dave"	"arm"	"dave_and"	"and_his"	"his_arm"	"reach_dave_and"	"dave_and_his"	"and_his_arm"	"his_arm_go"	"VB"	"NNP"	"CC"	"VB"	"PRP$"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"she"	"dave"	"and"	"feel"	"his"	"arm"	"go"	"around"	"her"	"feel"	"him"	"pull"	"her"	"to"	"the"	"safety"	"of"	"his"	"person"	"she"	"know"	"with"	"the"	"certainty"	"of"	"despair"	"that"	"something"	"bad"	"had"	"happen"	"to"	"lauren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"him"	"her"	"pull"	"her_,"	",_him"	"him_pull"	"around_her_,"	"her_,_him"	",_him_pull"	"him_pull_her"	"RB"	"PRP$"	"ε"	"VB"	"PRP"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"she"	"reach"	"dave"	"and"	"his"	"arm"	"go"	"around"	"her"	"feel"	"him"	"pull"	"her"	"to"	"the"	"safety"	"of"	"his"	"person"	"she"	"know"	"with"	"the"	"certainty"	"of"	"despair"	"that"	"something"	"bad"	"had"	"happen"	"to"	"lauren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
