"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:35:00::"	"again"	"the"	"are"	"drums"	"are_again"	"again_the"	"the_drums"	"nebraska_are_again"	"are_again_the"	"again_the_drums"	"the_drums_to"	"NNP"	"VBP"	"RB"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sen._john._mcclellan"	"of"	"arkansas"	"and"	"of"	"nebraska"	"are"	"again"	"beat"	"the"	"drums"	"to"	"place"	"the"	"unions"	"under"	"the"	"anti-monopoly"	"laws"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"and"	"him"	"choke"	"."	"choke_and"	"and_him"	"him_."	"after_choke_and"	"choke_and_him"	"and_him_."	"him_._∅"	"IN"	"VB"	"CC"	"VB"	"PRP"	"ε"	"ε"	"attack"	"samuel_verstandig"	"proprietor"	"of"	"a"	"food"	"store"	"in"	"the"	"block"	"aiken"	"street"	"tell"	"police"	"two"	"negroes"	"assault"	"him"	"in"	"his"	"store"	"and"	"steal"	"from"	"the"	"cash_register"	"after"	"choke"	"and"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"the"	"rush"	"russians"	"rush_to"	"to_the"	"the_russians"	"our_rush_to"	"rush_to_the"	"to_the_russians"	"the_russians_,"	"PRP$"	"NN"	"TO"	"VB"	"DT"	"NNPS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unfortunately"	"in"	"rush"	"to"	"beat"	"the"	"russians"	"we"	"have"	"forget"	"these"	"truth-packed"	"words"	"of"	"jesus_christ"	"what"	"shall"	"it"	"profit"	"a"	"man"	"if"	"he"	"shall"	"gain"	"the"	"whole"	"world"	"that"	"include"	"outer_space"	"and"	"lose"	"his"	"own"	"soul"	
"2:38:00::"	"stop"	"and"	"heart"	"the"	"heart_stop"	"stop_and"	"and_the"	"the_heart_stop"	"heart_stop_and"	"stop_and_the"	"and_the_lifeblood"	"DT"	"NN"	"VB"	"VB"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hughes"	"say"	"monday"	"it"	"be"	"the"	"apparent"	"intention"	"of"	"the"	"republican_party"	"to"	"campaign"	"on"	"carcass"	"of_what"	"they"	"call"	"eisenhower_republicanism"	"but"	"the"	"heart"	"stop"	"beat"	"and"	"the"	"lifeblood"	"congeal"	"after"	"eisenhower"	"retire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"rain"	"in"	"that"	"atop"	"that_rain"	"rain_in"	"in_atop"	"after_that_rain"	"that_rain_in"	"rain_in_atop"	"in_atop_the"	"RB"	"RB"	"NN"	"VB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"say"	"without"	"turn"	"her"	"after"	"that"	"rain"	"beat"	"in"	"atop"	"the"	"dust"	"there"	"be"	"n't"	"a"	"thing"	"that"	"won"	"n't"	"be"	"streaked"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"competition"	"you"	"if"	"to_it"	"if_competition"	"competition_you"	"you_to_it"	"∅_if_competition"	"if_competition_you"	"competition_you_to_it"	"you_to_it_,"	"ε"	"IN"	"NN"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"competition"	"beat"	"you"	"to_it"	"this"	"exciting"	"new"	"product"	"era"	"can"	"have"	"real"	"headache"	"in_store"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"assignment"	"call_out"	","	"call_out_the"	"the_assignment"	"assignment_,"	"was_call_out_the"	"call_out_the_assignment"	"the_assignment_,"	"assignment_,_but"	"VBD"	"VB"	"DT"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"day_watch"	"platoon"	"commander"	"was"	"call_out"	"the"	"beat"	"assignment"	"but"	"person"	"could"	"n't"	"make"	"the"	"name"	"mean"	"anything"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:03::"	"to"	"''"	"team"	","	"team_to"	"to_''"	"''_,"	"the_team_to"	"team_to_''"	"to_''_,"	"''_,_person"	"DT"	"NN"	"TO"	"VB"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"definitely"	"be"	"team"	"to"	"beat"	"person"	"say"	"here"	"the"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"was"	"by"	"who"	"person"	"who_was"	"was_by"	"by_person"	",_who_was"	"who_was_by"	"was_by_person"	"by_person_twice"	"ε"	"WP"	"VBD"	"VB"	"IN"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"group"	"who"	"will"	"be"	"the"	"unhappy"	"over"	"the"	"news"	"that"	"probably"	"will"	"sit_out"	"most"	"of"	"the"	"series"	"be"	"person"	"who"	"was"	"beat"	"by"	"person"	"twice"	"last"	"season"	"on"	"dramatic"	"home_run"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"it"	"glove"	"out"	"glove_and"	"and_it"	"it_out"	"'s_glove_and"	"glove_and_it"	"and_it_out"	"it_out_for"	"POS"	"NN"	"CC"	"VB"	"PRP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"bounce"	"a"	"hard"	"off"	"person"	"glove"	"and"	"beat"	"it"	"out"	"for"	"a"	"single"	"and"	"when"	"person"	"grab"	"the"	"ball"	"and"	"throw"	"it"	"over"	"first_baseman"	"person"	"head"	"person"	"took"	"third"	"and"	"person"	"second"	"on"	"the"	"error"	"0"	"0"	
