"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"
"1:09:01::"	"further"	"suggest"	"a"	"by"	"a_further"	"further_suggest"	"suggest_by"	"∅_a_further"	"a_further_suggest"	"further_suggest_by"	"suggest_by_the"	"ε"	"DT"	"JJ"	"VBZ"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"possibility"	"suggest"	"by"	"the"	"example"	"of"	"the"	"g._i."	"bill"	"and"	"also"	"by"	"some"	"recent"	"trend"	"in"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"sell"	"∅"	"the"	"∅_the"	"the_sell"	"sell_the"	"∅_∅_the"	"∅_the_sell"	"the_sell_the"	"sell_the_property"	"ε"	"ε"	"DT"	"IN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"possibility"	"sell"	"the"	"property"	"later_on"	"for"	"suburban"	"subdivision"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"the"	"move"	"investigate"	"midweek"	"investigate_the"	"the_move"	"move_midweek"	"you_investigate_the"	"investigate_the_move"	"the_move_midweek"	"move_midweek_holiday"	"PRP"	"VB"	"DT"	"IN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"investigate"	"the"	"possibility"	"move"	"midweek"	"holiday"	"forward"	"to"	"monday"	"or"	"back"	"to"	"friday"	"in_order"	"to"	"have"	"an"	"uninterrupted"	"work"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"the"	"operate"	"be"	"your"	"be_the"	"the_operate"	"operate_your"	"what_be_the"	"be_the_operate"	"the_operate_your"	"operate_your_cafeteria"	"WP"	"VB"	"DT"	"IN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"the"	"possibility"	"operate"	"your"	"cafeteria"	"for"	"a"	"single"	"shift"	"only"	"and"	"rely_upon"	"vending_machine"	"or"	"prepackaged"	"sandwich"	"for"	"the"	"second"	"and"	"third"	"shift"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"there"	"having"	"are"	"cafeteria"	"are_there"	"there_having"	"having_cafeteria"	"∅_are_there"	"are_there_having"	"there_having_cafeteria"	"having_cafeteria_help"	"ε"	"VBP"	"RB"	"IN"	"VBG"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"possibility"	"having"	"cafeteria"	"help"	"work"	"part-time"	"on"	"custodial"	"or"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"price"	"recognize"	"level"	"recognize_the"	"the_price"	"price_level"	"union_recognize_the"	"recognize_the_price"	"the_price_level"	"price_level_increase"	"NN"	"VB"	"DT"	"IN"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"assume"	"further"	"the"	"union"	"recognize"	"the"	"possibility"	"price"	"level"	"increase"	"may"	"offset"	"wage"	"rate"	"increase"	"and"	"it"	"does"	"not"	"entirely"	"disregard"	"the"	"effect"	"of"	"price"	"increase"	"arise"	"from"	"its"	"own"	"wage"	"increase"	"upon"	"the"	"real"	"wage"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"not"	"such"	"be"	"such_a"	"a_not"	"not_be"	"that_such_a"	"such_a_not"	"a_not_be"	"not_be_permit"	"IN"	"JJ"	"DT"	"MD"	"RB"	"VB"	"VB"	"not"	"a"	"medieval"	"mental"	"quirk"	"or"	"an"	"attitude"	"unnourished"	"by"	"sense"	"to"	"believe"	"that"	"husband"	"and"	"wife"	"should"	"not"	"be"	"subject"	"to"	"such"	"a"	"risk"	"or"	"such"	"a"	"not"	"be"	"permit"	"to"	"endanger"	"the"	"confidentiality"	"of"	"the"	"marriage"	"relationship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"been"	"provided"	"exhaust"	"provided_the"	"the_been"	"been_exhaust"	",_provided_the"	"provided_the_been"	"the_been_exhaust"	"been_exhaust_,"	"ε"	"VBD"	"DT"	"VBP"	"VBN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"follow"	"then"	"the"	"possibility"	"been"	"exhaust"	"that"	"the"	"only"	"real"	"alternative"	"be"	"the"	"general"	"viewpoint"	"of"	"the"	"left"	"which"	"has"	"been"	"represent"	"on"	"the"	"continent"	"by"	"person"	"and"	"to"	"some"	"extent"	"at_least"	"is"	"find"	"in"	"much"	"that"	"be"	"significant"	"in"	"american"	"and"	"english"	"theology"	
"1:09:01::"	"fruitful"	"obtain"	"particularly"	"unambiguous"	"particularly_fruitful"	"fruitful_obtain"	"obtain_unambiguous"	"offer_particularly_fruitful"	"particularly_fruitful_obtain"	"fruitful_obtain_unambiguous"	"obtain_unambiguous_basic"	"VB"	"RB"	"JJ"	"IN"	"VB"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"of"	"the"	"simplicity"	"the"	"molecule"	"isotopic"	"exchange"	"reaction"	"between"	"elemental"	"halogen"	"and"	"corresponding"	"carbon_tetrahalide"	"would"	"appear"	"to"	"offer"	"particularly"	"fruitful"	"possibility"	"obtain"	"unambiguous"	"basic"	"kinetic"	"data"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"∅"	"the"	"∅"	"speed"	"∅_∅"	"∅_the"	"the_speed"	"∅_∅_∅"	"∅_∅_the"	"∅_the_speed"	"the_speed_and"	"ε"	"ε"	"ε"	"IN"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"speed"	"and"	"power"	"of"	"the"	"body"	"beautiful"	"he"	"see"	"before"	"him"	"person"	"want"	"no."	"to"	"be"	"not_only"	"the"	"best"	"home_run"	"hitter"	"but"	"also"	"the"	"best"	"bunter"	"base_runner"	"and"	"outfielder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
