"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"1:27:02::"	"thermometric"	","	"the"	"to"	"the_thermometric"	"thermometric_,"	",_to"	"as_the_thermometric"	"the_thermometric_,"	"thermometric_,_to"	",_to_measure"	"IN"	"DT"	"JJ"	"NN"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"acoustical"	"interferometer"	"has"	"been"	"construct"	"and"	"with"	"helium"	"gas"	"as"	"the"	"thermometric"	"fluid"	"to"	"measure"	"temperature"	"near"	"and"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"four"	"test"	"only"	","	"only_four"	"four_test"	"test_,"	"be_only_four"	"only_four_test"	"four_test_,"	"test_,_it"	"VB"	"RB"	"JJ"	"NN"	"VB"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"there"	"only"	"four"	"fluid"	"test"	"it"	"be"	"apparent"	"that"	"there"	"be"	"two"	"distinct"	"type"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"silicone"	","	"a"	"label"	"a_silicone"	"silicone_,"	",_label"	"on_a_silicone"	"a_silicone_,"	"silicone_,_label"	",_label_12500"	"IN"	"DT"	"NN"	"NN"	"ε"	"VB"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"figure"	"show"	"the"	"on"	"a"	"silicone"	"fluid"	"label"	"cps"	"which"	"give"	"a"	"high"	"normal"	"pressure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"two"	"which"	"the"	"give"	"the_two"	"two_which"	"which_give"	"∅_the_two"	"the_two_which"	"two_which_give"	"which_give_the"	"ε"	"DT"	"JJ"	"NN"	"WDT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"fluid"	"which"	"give"	"the"	"small"	"negative"	"pressure"	"be"	"polybutene"	"with"	"molecular_weight"	"which"	"were"	"state"	"to"	"be"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"of"	"undergo"	"study"	"shear"	"study_of"	"of_undergo"	"undergo_shear"	"birefringence_study_of"	"study_of_undergo"	"of_undergo_shear"	"undergo_shear_."	"NN"	"NN"	"IN"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concept"	"of"	"the"	"strain"	"energy"	"as"	"a"	"person"	"function"	"difference"	"f"	"and"	"exert"	"a"	"force"	"normal"	"to"	"the"	"shearing"	"face"	"be"	"compatible"	"with"	"the"	"information"	"obtain"	"optical"	"birefringence"	"study"	"of"	"fluid"	"undergo"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"viscoelastic"	"that"	"in"	"is"	"in_viscoelastic"	"viscoelastic_that"	"that_is"	"stress_in_viscoelastic"	"in_viscoelastic_that"	"viscoelastic_that_is"	"that_is_not"	"NN"	"IN"	"JJ"	"NN"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"another"	"means"	"which"	"should"	"show"	"the"	"and"	"relative"	"value"	"of"	"the"	"stress"	"in"	"viscoelastic"	"fluid"	"that"	"is"	"not"	"mention"	"as_such"	"in"	"the"	"literature"	"and"	"that"	"be"	"the"	"shape"	"of"	"the"	"suspended"	"drop"	"of"	"low"	"viscosity"	"fluid"	"in"	"shear"	"field"	
"1:27:02::"	"viscosity"	"in"	"low"	"shear"	"low_viscosity"	"viscosity_in"	"in_shear"	"of_low_viscosity"	"low_viscosity_in"	"viscosity_in_shear"	"in_shear_field"	"IN"	"JJ"	"NN"	"NN"	"IN"	"NN"	"NN"	"another"	"means"	"which"	"should"	"show"	"the"	"direction"	"and"	"relative"	"value"	"of"	"the"	"stress"	"in"	"viscoelastic"	"fluid"	"that"	"is"	"not"	"mention"	"as_such"	"in"	"the"	"literature"	"and"	"that"	"be"	"the"	"shape"	"of"	"the"	"suspended"	"drop"	"of"	"low"	"viscosity"	"in"	"shear"	"field"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"viscosity"	"suspend"	"low"	"in"	"low_viscosity"	"viscosity_suspend"	"suspend_in"	"with_low_viscosity"	"low_viscosity_suspend"	"viscosity_suspend_in"	"suspend_in_high"	"IN"	"JJ"	"NN"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"be"	"reasonable"	"with"	"low"	"viscosity"	"fluid"	"suspend"	"in"	"high"	"viscosity"	"fluid"	"which"	"are"	"subject"	"to"	"low"	"rate"	"of"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"viscosity"	"which"	"high"	"are"	"high_viscosity"	"viscosity_which"	"which_are"	"in_high_viscosity"	"high_viscosity_which"	"viscosity_which_are"	"which_are_subject"	"IN"	"JJ"	"NN"	"NN"	"WDT"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"be"	"reasonable"	"assumption"	"with"	"viscosity"	"fluid"	"suspend"	"in"	"high"	"viscosity"	"fluid"	"which"	"are"	"subject"	"to"	"low"	"rate"	"of"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:02::"	"excessive"	"retention"	"of"	"."	"of_excessive"	"excessive_retention"	"retention_."	"because_of_excessive"	"of_excessive_retention"	"excessive_retention_."	"retention_._∅"	"IN"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"feb"	"purify"	"corticotropin"	"acth_gel"	"unit"	"daily"	"intramuscularly"	"was"	"start"	"but"	"had_to"	"be"	"discontinue"	"week"	"because"	"of"	"excessive"	"fluid"	"retention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
