"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"2:38:00::"	"music"	"firm"	"architectonic"	"above"	"architectonic_music"	"music_firm"	"firm_above"	"his_architectonic_music"	"architectonic_music_firm"	"music_firm_above"	"firm_above_the"	"PRP$"	"JJ"	"NN"	"VB"	"NN"	"IN"	"DT"	"colonnaded"	"cedar-roofed"	"southern"	"mansion"	"be"	"directly"	"traceable"	"via"	"the"	"grey"	"and"	"buff"	"stone"	"of"	"grey-skied"	"england"	"to"	"the"	"golden"	"stucco"	"of"	"one"	"particular"	"part"	"of"	"the_blue"	"south"	"the"	"palladian"	"orbit"	"stretch"	"out"	"from"	"vicenza"	"the"	"old"	"mind"	"of"	"andrea_palladio"	"still"	"smile"	"from"	"behind"	"many_an"	"old"	"rocking_chair"	"on"	"a"	"southern"	"porch"	"the"	"deep"	"friezes"	"of"	"his"	"architectonic"	"music"	"firm"	"above"	"the"	"shallower"	"freeze"	"in"	"the"	"kitchen"	"his"	"feeling"	"for"	"light"	"and"	"shade"	"bring"	"a"	"glitter"	"from"	"a"	"tall"	"mint_julep"	"his"	"sense"	"of"	"columns"	"frame"	"the"	"warm"	"velvet"	"night"	"has"	"bring_together"	"a_million"	"couple"	"of"	"mating"	"lips"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"actually"	"to"	"would"	"7.5"	"would_actually"	"actually_to"	"to_7.5"	"tax_would_actually"	"would_actually_to"	"actually_to_7.5"	"to_7.5_per_cent"	"NN"	"MD"	"RB"	"VB"	"TO"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"payroll"	"would"	"actually"	"rise"	"to"	"per_cent"	"start"	"jan."	"if"	"the"	"plan"	"is"	"approve"	"because"	"the"	"levy"	"is"	"already"	"scheduled"	"to"	"go_up"	"by"	"per_cent"	"on_that"	"date"	"to"	"pay"	"for"	"social_security"	"costs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"the"	"need"	"meet"	"for"	"meet_the"	"the_need"	"need_for"	"to_meet_the"	"meet_the_need"	"the_need_for"	"need_for_health_care"	"VB"	"VB"	"DT"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"say"	"the"	"nation"	"medical"	"and"	"dental_schools"	"cannot"	"now"	"the"	"student"	"load"	"need"	"to"	"meet"	"the"	"rise"	"need"	"for"	"health_care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"august"	"to"	"and"	"2418"	"and_august"	"august_to"	"to_2418"	"july_and_august"	"and_august_to"	"august_to_2418"	"to_2418_units"	"NNP"	"CC"	"NNP"	"VB"	"TO"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tractor"	"production"	"at"	"massey-ferguson"	"ltd."	"of"	"in"	"july"	"and"	"august"	"rise"	"to"	"units"	"from"	"in"	"the_like"	"period"	"a"	"year"	"earlier"	"say"	"john_staiger"	"vice_president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"after"	"for"	"april"	"two"	"april_after"	"after_for"	"for_two"	"in_april_after"	"april_after_for"	"after_for_two"	"for_two_consecutive"	"IN"	"NNP"	"IN"	"VB"	"IN"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"consumer"	"spending"	"edge"	"in"	"april"	"after"	"rise"	"for"	"two"	"consecutive"	"months"	"the"	"government"	"report"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"borrowing_costs"	"with"	"short-term"	"tuesday"	"short-term_borrowing_costs"	"borrowing_costs_with"	"with_tuesday"	"'s_short-term_borrowing_costs"	"short-term_borrowing_costs_with"	"borrowing_costs_with_tuesday"	"with_tuesday_weekly"	"POS"	"JJ"	"NN"	"VB"	"IN"	"NNP"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"government"	"borrowing_costs"	"rise"	"with"	"tuesday"	"weekly"	"offering"	"of"	"treasury_bills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"ashore"	"in"	"sirens"	"a"	"sirens_ashore"	"ashore_in"	"in_a"	"air_raid_sirens_ashore"	"sirens_ashore_in"	"ashore_in_a"	"in_a_keening"	"NN"	"NNS"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unsinkable"	"slow"	"and"	"stop"	"hundreds"	"of"	"brilliant"	"white"	"flares"	"sway"	"down"	"from"	"the"	"black"	"the"	"air_raid"	"sirens"	"ashore"	"rise"	"in"	"a"	"keening"	"shriek"	"the"	"anti-aircraft"	"guns"	"coughed"	"and"	"chattered"	"and"	"above"	"it"	"all"	"motors"	"roar"	"and"	"the"	"bombs"	"come"	"whispering"	"and"	"wailing"	"and"	"crash"	"down"	"among"	"the"	"ships"	"at"	"anchor"	"at"	"bari"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"has"	"at_least"	"hours"	"15"	"hours_has"	"has_at_least"	"at_least_15"	"program_hours_has"	"hours_has_at_least"	"has_at_least_15"	"at_least_15_per_cent"	"NN"	"NNS"	"VBZ"	"VB"	"RB"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"decade"	"the"	"of"	"negro-appeal"	"radio"	"program"	"hours"	"has"	"rise"	"at_least"	"per_cent"	"and"	"the"	"number"	"of"	"negro-appeal"	"stations"	"has"	"increase"	"per_cent"	"according"	"to"	"a"	"research"	"man"	"quote"	"by"	"sponsor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"it"	","	"as"	"will"	"as_it"	"it_,"	",_will"	",_as_it"	"as_it_,"	"it_,_will"	",_will_be"	"ε"	"IN"	"PRP"	"VB"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interama"	"it"	"rise"	"will"	"be"	"a"	"living"	"monument"	"to"	"greater_miami"	"ability"	"to"	"get"	"together"	"on"	"worthwhile"	"enterprises"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:03::"	"is"	"in"	"government"	"massachusetts"	"government_is"	"is_in"	"in_massachusetts"	"in_government_is"	"government_is_in"	"is_in_massachusetts"	"in_massachusetts_."	"IN"	"NN"	"VBZ"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"wave"	"of"	"public"	"against"	"corruption"	"in"	"government"	"is"	"rise"	"in"	"massachusetts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
