"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:30:00::"	"been"	"recently"	"has"	"might"	"has_been"	"been_recently"	"recently_might"	"what_has_been"	"has_been_recently"	"been_recently_might"	"recently_might_be"	"WP"	"VBZ"	"VBN"	"VB"	"RB"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"has"	"been"	"happen"	"recently"	"might"	"be"	"describe"	"as"	"creeping"	"mannerism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"in_what"	"to"	"find"	"it"	"find_in_what"	"in_what_to"	"to_it"	"be_find_in_what"	"find_in_what_to"	"in_what_to_it"	"to_it_on"	"VB"	"VB"	"RB"	"VB"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"measure"	"of"	"how"	"hot"	"the"	"be"	"can"	"be"	"find"	"in_what"	"happen"	"to"	"it"	"on"	"the"	"market"	"as"	"soon"	"as"	"trading"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"mr._martinelli"	"to"	"and"	"hold"	"and_mr._martinelli"	"mr._martinelli_to"	"to_hold"	"days_and_mr._martinelli"	"and_mr._martinelli_to"	"mr._martinelli_to_hold"	"to_hold_that"	"NNS"	"CC"	"NNP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"law"	"which"	"govern"	"home_rule"	"charter"	"petitions"	"state"	"that"	"they"	"must"	"be"	"refer"	"the"	"chairman_of_the_board"	"of"	"canvassers"	"for"	"verification"	"of"	"the"	"signatures"	"within"	"days"	"and"	"mr._martinelli"	"happen"	"to"	"hold"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"had"	"to"	"bad"	"lauren"	"bad_had"	"had_to"	"to_lauren"	"something_bad_had"	"bad_had_to"	"had_to_lauren"	"to_lauren_."	"NN"	"JJ"	"VBD"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"she"	"reach"	"dave"	"and"	"feel"	"his"	"arm"	"go"	"around"	"her"	"feel"	"him"	"pull"	"her"	"to"	"safety"	"of"	"his"	"person"	"she"	"know"	"with"	"the"	"certainty"	"of"	"despair"	"that"	"something"	"bad"	"had"	"happen"	"to"	"lauren"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"is"	"."	"what"	"∅"	"what_is"	"is_."	"._∅"	"show_what_is"	"what_is_."	"is_._∅"	"._∅_∅"	"VB"	"WP"	"VBZ"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"new"	"report"	"on"	"the"	"earnings"	"records"	"of"	"toll"	"roads"	"in"	"the_most"	"recent"	"period"	"end"	"in"	"february"	"or"	"march"	"show"	"what"	"is"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"'s"	"in"	"what"	"textiles"	"what_'s"	"'s_in"	"in_textiles"	"∅_what_'s"	"what_'s_in"	"'s_in_textiles"	"in_textiles_can"	"ε"	"WP"	"POS"	"VB"	"IN"	"NNS"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"happen"	"in"	"textiles"	"can"	"be"	"handwriting"	"on"	"the"	"wall"	"for"	"lines"	"have"	"difficulty"	"compete"	"with"	"imports"	"from"	"low-wage"	"countries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"would"	"so"	"it"	"fast"	"it_would"	"would_so"	"so_fast"	"tell_it_would"	"it_would_so"	"would_so_fast"	"so_fast_people"	"VB"	"PRP"	"MD"	"VB"	"RB"	"RB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"remember"	"tell"	"it"	"would"	"happen"	"so"	"fast"	"people"	"would"	"think"	"it"	"take_place"	"overnight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"have"	"to"	"would"	"missy"	"would_have"	"have_to"	"to_missy"	"what_would_have"	"would_have_to"	"have_to_missy"	"to_missy_if"	"WP"	"MD"	"VB"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"i"	"dig_in"	"behind"	"one"	"of"	"the"	"bales"	"we"	"were"	"use"	"as"	"protection"	"i"	"grudgingly"	"myself"	"agree"	"with"	"oso"	"logic"	"especially"	"when"	"i"	"imagine"	"what"	"would"	"have"	"happen"	"to"	"missy"	"if"	"old_knife"	"large"	"party"	"of"	"screeching"	"warriors"	"had"	"overrun"	"our"	"company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"never"	"in"	"could"	"my"	"could_never"	"never_in"	"in_my"	"this_could_never"	"could_never_in"	"never_in_my"	"in_my_native"	"DT"	"MD"	"RB"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"never"	"happen"	"in"	"my"	"native"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"just"	"."	"not"	"∅"	"not_just"	"just_."	"._∅"	"do_not_just"	"not_just_."	"just_._∅"	"._∅_∅"	"VBP"	"RB"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soignee"	"pools"	"alas"	"not"	"just"	"happen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
