"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"
"2:32:02::"	"to"	"them"	"world"	"."	"world_to"	"to_them"	"them_."	"dog_world_to"	"world_to_them"	"to_them_."	"them_._∅"	"NN"	"NN"	"TO"	"VB"	"PRP"	"ε"	"ε"	"be"	"the"	"custom"	"for"	"the"	"past"	"several"	"years"	"john_cross"	"jr."	"bench_show_chmn."	"of"	"westminster"	"arrange"	"for"	"the"	"juniors"	"meeting"	"before"	"the"	"class"	"and"	"invite"	"two"	"speakers"	"from"	"the"	"dog"	"world"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"be"	"to"	"may"	"the"	"may_be"	"be_to"	"to_the"	",_may_be"	"may_be_to"	"be_to_the"	"to_the_society"	"ε"	"MD"	"VB"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mail_orders"	"for"	"the"	"season"	"and"	"orders"	"for"	"tickets"	"at"	"may"	"be"	"address"	"to"	"the"	"society"	"chestnut"	"street"	"san_francisco"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"now"	"ourselves"	"we"	"to"	"we_now"	"now_ourselves"	"ourselves_to"	",_we_now"	"we_now_ourselves"	"now_ourselves_to"	"ourselves_to_our"	"ε"	"PRP"	"RB"	"VB"	"PRP"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"outline"	"an"	"approach"	"to"	"the"	"theory"	"practice"	"of"	"preventive"	"casework"	"we"	"now"	"address"	"ourselves"	"to"	"our"	"final"	"question"	"what"	"place"	"should"	"brief"	"crisis-oriented"	"preventive"	"casework"	"occupy"	"in"	"our"	"total"	"spectrum"	"of"	"services"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"he"	"him"	"as"	"-"	"as_he"	"he_him"	"him_-"	",_as_he"	"as_he_him"	"he_him_-"	"him_-_james"	"ε"	"IN"	"PRP"	"VB"	"PRP"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"write"	"to"	"his"	"colleague"	"george_herbert_palmer"	"glorious"	"palmer"	"as"	"he"	"address"	"him"	"james"	"say"	"that"	"if"	"only"	"the"	"students"	"at"	"harvard"	"could"	"really"	"understand"	"royce"	"santayana"	"palmer"	"and"	"himself"	"and"	"see"	"that"	"their"	"varying"	"systems"	"be"	"so"	"many"	"religions"	"ways"	"of"	"front"	"life"	"and"	"worth"	"fight"	"for"	"then"	"harvard"	"would"	"have"	"a"	"genuine"	"philosophic"	"universe"	"0"	
"2:32:02::"	"to"	"a"	"hour"	"meeting"	"hour_to"	"to_a"	"a_meeting"	"very_hour_to"	"hour_to_a"	"to_a_meeting"	"a_meeting_of"	"RB"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a_little"	"later"	"the"	"district_attorney"	"wake_up"	"emerge"	"from"	"under"	"the"	"couch"	"look"	"at"	"his"	"watch"	"and"	"he"	"have"	"an"	"engagement"	"that"	"very"	"hour"	"to"	"address"	"a"	"meeting"	"of"	"the"	"culture_forum"	"on"	"the"	"civic_spirit"	"of"	"the"	"southland"	"in"	"the"	"byzantine"	"room"	"of"	"the"	"hotel"	"where"	"his"	"wife"	"as"	"president"	"of"	"the"	"forum"	"was"	"to"	"preside"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"himself"	"next"	"to"	"next_he"	"he_himself"	"himself_to"	"∅_next_he"	"next_he_himself"	"he_himself_to"	"himself_to_our"	"ε"	"RB"	"PRP"	"VB"	"PRP"	"TO"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"address"	"himself"	"to"	"our"	"soul"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"random_memory"	"*"	"a"	"*"	"a_random_memory"	"random_memory_*"	"*_*"	",_a_random_memory"	"a_random_memory_*"	"random_memory_*_*"	"*_*_f"	"ε"	"DT"	"NN"	"NN"	"ε"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"an"	"occurrence"	"f"	"is"	"isolate"	"text"	"reading"	"a"	"random_memory"	"address"	"f"	"the"	"address"	"of"	"a"	"cell"	"in"	"the"	"x-region"	"is"	"compute"	"from"	"the"	"form"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:04::"	"the"	"of"	","	"a"	",_the"	"the_of"	"of_a"	"f_,_the"	",_the_of"	"the_of_a"	"of_a_cell"	"NN"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"an"	"occurrence"	"f"	"is"	"isolate"	"during"	"text"	"reading"	"random_memory"	"address"	"f"	"the"	"address"	"of"	"a"	"cell"	"in"	"the"	"x-region"	"is"	"compute"	"from"	"the"	"form"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"downtown"	"."	"a"	"∅"	"a_downtown"	"downtown_."	"._∅"	"have_a_downtown"	"a_downtown_."	"downtown_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"a"	"downtown"	"address"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"say"	"old"	"say_,"	",_the"	"the_old"	"she_say_,"	"say_,_the"	",_the_old"	"the_old_portrait"	"PRP"	"VB"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"i'm"	"here"	"at_last"	"she"	"address"	"the"	"old"	"portrait"	"on"	"the"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
