"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:40:00::"	"is"	"from"	"machinery"	"a"	"machinery_is"	"is_from"	"from_a"	"this_machinery_is"	"machinery_is_from"	"is_from_a"	"from_a_dallas-based"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"murray"	"make"	"a"	"complete"	"line"	"of"	"ginning"	"equipment"	"for"	"driers"	"and"	"cleaners"	"and"	"this"	"machinery"	"is"	"purchase"	"from"	"a"	"dallas-based"	"firm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"in"	"equipment"	"financial_aid"	"need"	"financial_aid_in"	"in_equipment"	"equipment_need"	"for_financial_aid_in"	"financial_aid_in_equipment"	"in_equipment_need"	"equipment_need_for"	"IN"	"NN"	"IN"	"VB"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"advantage"	"that"	"would"	"come"	"to"	"the"	"city"	"in"	"have"	"a"	"full-time"	"director"	"he"	"say"	"that"	"east_providence"	"would"	"become"	"eligible"	"to"	"apply"	"to"	"the"	"federal_government"	"for"	"financial_aid"	"in"	"purchase"	"equipment"	"need"	"for"	"a"	"sound"	"civil_defense"	"program"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"state"	"and"	"the"	"assign"	"the_state"	"state_and"	"and_assign"	"∅_the_state"	"the_state_and"	"state_and_assign"	"and_assign_grades"	"ε"	"DT"	"NN"	"VB"	"CC"	"VB"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"purchase"	"and"	"assign"	"grades"	"of"	"cars"	"according_to_need"	"and"	"status"	"of"	"driver"	"and"	"use"	"of"	"vehicle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"state"	"automobiles"	"the"	"for"	"the_state"	"state_automobiles"	"automobiles_for"	"of_the_state"	"the_state_automobiles"	"state_automobiles_for"	"automobiles_for_use"	"IN"	"DT"	"NN"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"difficult"	"to"	"the"	"time_of_origin"	"of"	"the"	"state"	"purchase"	"automobiles"	"for"	"use"	"of"	"employees"	"in"	"rhode_island"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"a"	"new_eastwick_corp."	"1311"	"new_eastwick_corp._to"	"to_a"	"a_1311"	"the_new_eastwick_corp._to"	"new_eastwick_corp._to_a"	"to_a_1311"	"a_1311_acre"	"DT"	"NNP"	"TO"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"call_for"	"the"	"new_eastwick_corp."	"to"	"purchase"	"a"	"acre"	"tract"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"recently"	"split-level"	"their"	"home"	"their_recently"	"recently_split-level"	"split-level_home"	"on_their_recently"	"their_recently_split-level"	"recently_split-level_home"	"split-level_home_when"	"IN"	"PRP$"	"RB"	"VB"	"JJ"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kowalski"	"a"	"roofer"	"who"	"seldom"	"work"	"last"	"already"	"be"	"in_arrears"	"on"	"their"	"recently"	"purchase"	"split-level"	"home"	"when"	"the"	"tragedy"	"stagger"	"him"	"with"	"medical"	"and"	"funeral"	"bills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"been"	"by"	"has"	"brown_university"	"has_been"	"been_by"	"by_brown_university"	"brook_street_has_been"	"has_been_by"	"been_by_brown_university"	"by_brown_university_from"	"NNP"	"VBZ"	"VBN"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"two-family"	"house"	"brook_street"	"has"	"been"	"purchase"	"by"	"brown_university"	"from"	"lawrence_j._sullivan"	"accord"	"to"	"a"	"deed"	"file"	"monday"	"at"	"city_hall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"by"	","	"right"	"license"	"right_by"	"by_,"	",_license"	"or_right_by"	"right_by_,"	"by_,_license"	",_license_,"	"CC"	"NN"	"IN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"secret"	"process"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"and"	"property"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"corporation"	"such"	"to"	"stock"	"to_corporation"	"corporation_such"	"such_stock"	"apply_to_corporation"	"to_corporation_such"	"corporation_such_stock"	"such_stock_solely"	"VB"	"TO"	"NN"	"VB"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"section"	"shall"	"apply"	"to"	"corporation"	"purchase"	"such"	"stock"	"solely"	"for"	"investment"	"and"	"not"	"use"	"the"	"same"	"by"	"vote"	"or"	"otherwise"	"bring_about"	"or"	"in"	"attempt"	"to"	"bring_about"	"the"	"substantial"	"lessening"	"of"	"competition"	"0"	
"2:40:00::"	"had"	"the"	"person"	"group"	"person_had"	"had_the"	"the_group"	"∅_person_had"	"person_had_the"	"had_the_group"	"the_group_seventeen"	"ε"	"NNP"	"VBD"	"VB"	"DT"	"NNP"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"purchase"	"the"	"group"	"seventeen"	"year"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
