"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"
"2:36:00::"	"closely"	"the"	"dallas_county"	"national"	"dallas_county_closely"	"closely_the"	"the_national"	"for_dallas_county_closely"	"dallas_county_closely_the"	"closely_the_national"	"the_national_trend"	"IN"	"NNP"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"year-to-year"	"for"	"dallas_county"	"closely"	"follow"	"the"	"national"	"trend"	"estimated"	"sales"	"of"	"domestic"	"cars"	"in"	"the"	"u._s."	"for"	"first"	"three"	"months"	"of"	"be"	"about"	"or"	"per_cent"	"of"	"the"	"total"	"in"	"the"	"first_quarter"	"a"	"year"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"has"	"the"	"church"	"plan"	"church_has"	"has_the"	"the_plan"	"the_church_has"	"church_has_the"	"has_the_plan"	"the_plan_of"	"DT"	"NN"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"church"	"has"	"follow"	"the"	"plan"	"of"	"cultivation"	"of"	"prospects"	"and"	"carry_through"	"a"	"program"	"of"	"membership"	"preparation"	"as"	"outline"	"earlier"	"in_this"	"book"	"the"	"process"	"of"	"assimilation"	"and"	"growth"	"will"	"be"	"well"	"under_way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"∅"	"arrowed"	"∅"	"signs"	"∅_∅"	"∅_arrowed"	"arrowed_signs"	"∅_∅_∅"	"∅_∅_arrowed"	"∅_arrowed_signs"	"arrowed_signs_,"	"ε"	"ε"	"ε"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arrowed"	"signs"	"i"	"veer"	"right"	"toward"	"the"	"former"	"kitchens"	"complete"	"with"	"chimneys"	"which"	"now"	"house"	"one"	"of"	"the"	"world"	"greatest"	"collections"	"of"	"chinese"	"porcelain"	"and"	"a"	"fabulous"	"array"	"of"	"silver"	"dinner_services"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"b"	"manage"	"'"	"manage_to"	"to_b"	"b_'"	"did_manage_to"	"manage_to_b"	"to_b_'"	"b_'_dikkat"	"VBD"	"VB"	"TO"	"VB"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"mercer"	"manage"	"to"	"follow"	"b"	"dikkat"	"to"	"the"	"door"	"of"	"the"	"cabin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"hotel"	"the"	"downtown"	"balls"	"downtown_hotel"	"hotel_the"	"the_balls"	"a_downtown_hotel"	"downtown_hotel_the"	"hotel_the_balls"	"the_balls_of"	"DT"	"NN"	"NN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"their"	"majesties"	"the"	"queen"	"of"	"carnival"	"and"	"the"	"queen"	"of"	"comus"	"have"	"jointly"	"issue"	"invitations"	"for"	"shrove_tuesday"	"evening"	"at"	"midnight"	"at"	"which"	"time"	"they"	"entertain"	"in"	"the"	"grand"	"ballroom"	"a"	"downtown"	"hotel"	"follow"	"the"	"balls"	"of"	"rex"	"and"	"comus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"by"	"observers"	"a"	"observers_and"	"and_by"	"by_a"	"outside_observers_and"	"observers_and_by"	"and_by_a"	"by_a_conference"	"IN"	"NNS"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"since"	"last"	"fall"	"united_states"	"has"	"been"	"move"	"toward"	"a"	"pro-neutralist"	"and"	"now"	"be"	"ready"	"back"	"the_british"	"plan"	"for"	"a"	"cease-fire"	"patrol"	"by"	"outside"	"observers"	"and"	"follow"	"by"	"a"	"conference"	"of"	"interested"	"powers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"should"	"."	"it"	"∅"	"it_should"	"should_."	"._∅"	"advice_it_should"	"it_should_."	"should_._∅"	"._∅_∅"	"NN"	"PRP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"there"	"seem"	"to"	"be"	"some"	"difference_of_opinion"	"as"	"to"	"how"	"the"	"board"	"should"	"go"	"and"	"whose"	"advice"	"it"	"should"	"follow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"are"	"the"	"states"	"russian"	"states_are"	"are_the"	"the_russian"	"many_states_are"	"states_are_the"	"are_the_russian"	"the_russian_example"	"JJ"	"NNS"	"VBP"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"your"	"editorial"	"of"	"sept."	"the"	"smoldering"	"congo"	"you"	"make"	"the"	"comment"	"far"	"too"	"many"	"states"	"are"	"follow"	"the"	"russian"	"example"	"in"	"refuse"	"to"	"pay"	"their"	"assessments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"and_then"	"the"	"stockade"	"south"	"stockade_and_then"	"and_then_the"	"the_south"	"the_stockade_and_then"	"stockade_and_then_the"	"and_then_the_south"	"the_south_wall"	"DT"	"NN"	"RB"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"scuttle"	"in"	"shadow"	"along"	"east"	"wall"	"of"	"the"	"stockade"	"and_then"	"follow"	"the"	"south"	"wall"	"until"	"he"	"be"	"at_the_rear"	"of"	"the"	"two"	"frame"	"buildings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"``"	"secretary_hodges"	"∅"	"through"	"∅_``"	"``_secretary_hodges"	"secretary_hodges_through"	"∅_∅_``"	"∅_``_secretary_hodges"	"``_secretary_hodges_through"	"secretary_hodges_through_the"	"ε"	"ε"	"ε"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary_hodges"	"through"	"the"	"fiat"	"plant"	"and"	"you"	"learn"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
