"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"3:00:00::"	"fundamental"	"research"	"promote"	"and"	"promote_fundamental"	"fundamental_research"	"research_and"	"and_promote_fundamental"	"promote_fundamental_research"	"fundamental_research_and"	"research_and_basic"	"CC"	"VB"	"JJ"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"encourage"	"and"	"fundamental"	"scientific"	"research"	"and"	"basic"	"study"	"to"	"develop"	"the"	"best"	"and"	"most"	"economical"	"process"	"and"	"method"	"for"	"convert"	"saline"	"water"	"into"	"water"	"suitable"	"for"	"beneficial"	"consumptive"	"purpose"	
"3:00:00::"	","	"organization"	"educational_institution"	","	"educational_institution_,"	",_organization"	"organization_,"	"with_educational_institution_,"	"educational_institution_,_organization"	",_organization_,"	"organization_,_and"	"IN"	"NN"	"ε"	"JJ"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"enter"	"into"	"with"	"educational_institution"	"scientific"	"organization"	"and"	"industrial"	"and"	"engineering"	"firm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"federal"	"laboratory"	"of"	";"	"of_federal"	"federal_laboratory"	"laboratory_;"	"facility_of_federal"	"of_federal_laboratory"	"federal_laboratory_;"	"laboratory_;_∅"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"utilize"	"the"	"of"	"federal"	"scientific"	"laboratory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"current"	"literature"	"and"	","	"and_current"	"current_literature"	"literature_,"	"pertinent_and_current"	"and_current_literature"	"current_literature_,"	"literature_,_both"	"JJ"	"CC"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"and"	"pertinent"	"and"	"current"	"scientific"	"literature"	"both"	"domestic"	"and"	"foreign"	"and"	"issue"	"bibliographical"	"data"	"with_respect_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"progress"	"pace"	"."	"pace_of"	"of_progress"	"progress_."	"swift_pace_of"	"pace_of_progress"	"of_progress_."	"progress_._∅"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"task"	"of"	"provide"	"a"	"reasonable"	"level"	"of"	"military"	"strength"	"without"	"endanger"	"vital"	"aspect"	"our"	"security"	"is"	"greatly"	"complicate"	"by"	"the"	"swift"	"pace"	"of"	"scientific"	"progress"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"by"	"category"	"biblical"	"of"	"biblical_by"	"by_category"	"category_of"	"of_biblical_by"	"biblical_by_category"	"by_category_of"	"category_of_reality"	"IN"	"JJ"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"progress"	"of"	"science"	"over"	"these"	"last"	"century"	"and"	"the"	"gradual"	"replacement"	"of"	"biblical"	"by"	"scientific"	"category"	"of"	"reality"	"have"	"to"	"a"	"large"	"extent"	"empty"	"the"	"spirit_world"	"of"	"the"	"entity"	"which"	"previously"	"populate"	"it"	
"3:00:00::"	"pseudo"	"mumbo_jumbo"	"of"	"."	"of_pseudo"	"pseudo_mumbo_jumbo"	"mumbo_jumbo_."	"stream_of_pseudo"	"of_pseudo_mumbo_jumbo"	"pseudo_mumbo_jumbo_."	"mumbo_jumbo_._∅"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"apply"	"the"	"applicator"	"extend"	"from"	"the"	"machine"	"which"	"consist_of"	"seven"	"differently"	"colored"	"neon_tube"	"superimpose"	"on"	"a"	"rectangular"	"base"	"to"	"the"	"supposedly"	"diseased"	"portion"	"of"	"person"	"body"	"person"	"keep_up"	"a"	"steady"	"stream"	"of"	"scientific"	"mumbo_jumbo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"our"	"age"	"of"	"."	"of_our"	"our_age"	"age_."	"wonder_of_our"	"of_our_age"	"our_age_."	"age_._∅"	"NN"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"gadget"	"impressive"	"to"	"the"	"gullible"	"because"	"of"	"their"	"flash"	"light_bulb"	"tick"	"and"	"buzz"	"he"	"then"	"carry_out"	"a"	"vicious"	"medical"	"con_game"	"capitalize"	"on"	"people"	"respect"	"for"	"the"	"electrical"	"and"	"atomic"	"wonder"	"of"	"our"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"between"	"understanding"	"connection"	"and"	"connection_between"	"between_understanding"	"understanding_and"	"the_connection_between"	"connection_between_understanding"	"between_understanding_and"	"understanding_and_fear"	"DT"	"NN"	"IN"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"want"	"therefore"	"to"	"discuss"	"a"	"second"	"and"	"quite"	"fruit"	"of"	"science"	"the"	"connection"	"between"	"scientific"	"understanding"	"and"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"by"	"explanation"	"dispel"	"that"	"dispel_by"	"by_explanation"	"explanation_that"	"fear_dispel_by"	"dispel_by_explanation"	"by_explanation_that"	"explanation_that_stand_out"	"NN"	"VB"	"IN"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"certainly"	"not"	"adequately"	"train"	"to"	"describe"	"or"	"enlarge"	"on"	"fear"	"but"	"there"	"be"	"certain"	"feature"	"of"	"the"	"fear"	"dispel"	"by"	"scientific"	"explanation"	"that"	"stand_out"	"quite"	"clearly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
