"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"2:42:00::"	"have_to"	"a_few"	"'ll"	"minutes"	"'ll_have_to"	"have_to_a_few"	"a_few_minutes"	"you_'ll_have_to"	"'ll_have_to_a_few"	"have_to_a_few_minutes"	"a_few_minutes_to"	"PRP"	"MD"	"VB"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"manufacturers"	"have"	"have"	"the"	"foresight"	"to"	"provide"	"a"	"for"	"the"	"chuck"	"key"	"you"	"have_to"	"spend"	"a_few"	"minutes"	"to"	"either"	"attach"	"a"	"suitable"	"spring"	"clip"	"somewhere"	"on"	"the"	"press"	"head"	"or"	"fit"	"the"	"key"	"to"	"a"	"length"	"of"	"light"	"chain"	"and"	"fasten"	"to"	"the"	"bottom"	"of"	"the"	"motor"	"mount"	"so_that"	"the"	"key"	"be"	"out_of_the_way"	"when"	"not"	"in_use"	"0"	"0"	
"2:42:00::"	"president"	"much"	"the"	"of"	"the_president"	"president_much"	"much_of"	"∅_the_president"	"the_president_much"	"president_much_of"	"much_of_the"	"ε"	"DT"	"NNP"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president"	"spend"	"much"	"of"	"the"	"week-end"	"at"	"his"	"summer"	"home"	"on"	"cape_cod"	"write"	"the"	"first"	"drafts"	"of"	"portions"	"of"	"the"	"address"	"with"	"the"	"help"	"of"	"white_house"	"aids"	"in"	"washington"	"with"	"whom"	"he"	"talk"	"by"	"telephone"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"must"	"at_least"	"he"	"two"	"he_must"	"must_at_least"	"at_least_two"	"then_he_must"	"he_must_at_least"	"must_at_least_two"	"at_least_two_years"	"RB"	"PRP"	"MD"	"VB"	"RB"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"become"	"an"	"orthodontist"	"a"	"man"	"must"	"first"	"be"	"license"	"his"	"state"	"as"	"a"	"dentist"	"then"	"he"	"must"	"spend"	"at_least"	"two"	"years"	"in"	"additional"	"training"	"to"	"acquire"	"a"	"license"	"as"	"a"	"specialist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"will"	"several"	"children"	"days"	"children_will"	"will_several"	"several_days"	"their_children_will"	"children_will_several"	"will_several_days"	"several_days_in"	"PRP$"	"NNS"	"MD"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._major_morris"	"and"	"their"	"son-in-law"	"and"	"daughter"	"and"	"mrs._thomas_glennon"	"and"	"their"	"children"	"will"	"spend"	"several"	"days"	"in"	"brigantine"	"n._j."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"is"	"several"	"miss_eileen_grant"	"weeks"	"miss_eileen_grant_is"	"is_several"	"several_weeks"	"∅_miss_eileen_grant_is"	"miss_eileen_grant_is_several"	"is_several_weeks"	"several_weeks_visit"	"ε"	"NNP"	"VBZ"	"VB"	"JJ"	"NNS"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"spend"	"several"	"weeks"	"visit"	"in"	"florida"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"after"	"some"	","	"time"	",_after"	"after_some"	"some_time"	"drexel_park_,_after"	",_after_some"	"after_some_time"	"some_time_in"	"NNP"	"ε"	"IN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._harry_d._hoaps"	"jr."	"have"	"return"	"their"	"home"	"in"	"drexel_park"	"after"	"spend"	"some"	"time"	"in"	"delray_beach_fla."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"are"	"several"	"jr."	"weeks"	"jr._are"	"are_several"	"several_weeks"	",_jr._are"	"jr._are_several"	"are_several_weeks"	"several_weeks_in"	"ε"	"NNP"	"VBP"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"and"	"mrs._james_f._mitchell"	"with"	"their"	"daughter"	"anne"	"and"	"james"	"jr."	"are"	"spend"	"several"	"weeks"	"in"	"florida"	"and"	"will"	"visit"	"in"	"clearwater"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"to"	"from"	"graduates"	"6"	"graduates_to"	"to_from"	"from_6"	"ministerial_graduates_to"	"graduates_to_from"	"to_from_6"	"from_6_-"	"JJ"	"NNS"	"TO"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arrange"	"for"	"graduates"	"to"	"spend"	"from"	"months"	"as"	"apprentices"	"in"	"well-established"	"churches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"always"	"in"	"not"	"the"	"not_always"	"always_in"	"in_the"	"was_not_always"	"not_always_in"	"always_in_the"	"in_the_same"	"VBD"	"RB"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"evening"	"not"	"always"	"spend"	"in"	"the"	"same"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"had"	"$"	","	"58918"	",_had"	"had_$"	"$_58918"	"22_,_had"	",_had_$"	"had_$_58918"	"$_58918_out"	"CD"	"ε"	"VBD"	"VB"	"ε"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"william_smythe"	"director"	"of"	"field"	"service"	"tell"	"the"	"commissioners"	"that"	"as"	"of"	"aug."	"had"	"spend"	"out"	"of"	"its"	"budget"	"in"	"the"	"category"	"leave"	"only"	"for"	"the"	"rest"	"of"	"the"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
