"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"2:32:00::"	"she"	"a"	"after"	"scotch"	"after_she"	"she_a"	"a_scotch"	"say_after_she"	"after_she_a"	"she_a_scotch"	"a_scotch_."	"VB"	"IN"	"PRP"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"name"	"gisele"	"the"	"blonde"	"after"	"she"	"order"	"a"	"scotch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"a_couple_of"	"drive-in"	"hamburgers"	"drive-in_and"	"and_a_couple_of"	"a_couple_of_hamburgers"	"the_drive-in_and"	"drive-in_and_a_couple_of"	"and_a_couple_of_hamburgers"	"a_couple_of_hamburgers_with"	"DT"	"NN"	"CC"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"get_in"	"the"	"car"	"drive"	"to"	"the"	"drive-in"	"and"	"order"	"a_couple_of"	"hamburgers"	"with"	"everything_included"	"a"	"cup"	"of"	"coffee"	"and"	"the"	"fastest"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"has"	"a"	"commission"	"group"	"commission_has"	"has_a"	"a_group"	"interstate_commerce_commission_has"	"commission_has_a"	"has_a_group"	"a_group_of"	"NNP"	"NN"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"board"	"of"	"suspension"	"the"	"interstate_commerce"	"commission"	"has"	"order"	"a"	"group"	"of"	"railroads"	"not"	"to"	"reduce"	"their"	"freight_rates"	"on"	"grain"	"as"	"they"	"had"	"plan"	"to"	"do"	"this"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"a"	"lamp"	"wired"	"lamp_,"	",_a"	"a_wired"	"a_lamp_,"	"lamp_,_a"	",_a_wired"	"a_wired_pedestal"	"DT"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"create"	"a"	"lamp"	"order"	"a"	"wired"	"pedestal"	"from"	"any"	"lamp"	"shop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"kimmell"	"the"	"∅"	"driver"	"∅_kimmell"	"kimmell_the"	"the_driver"	"∅_∅_kimmell"	"∅_kimmell_the"	"kimmell_the_driver"	"the_driver_to"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"order"	"the"	"driver"	"to"	"back_up"	"watch"	"the"	"children"	"safely"	"across"	"and"	"was"	"approach"	"the"	"car"	"when"	"it"	"suddenly"	"take_off"	"at"	"high"	"speed"	"he"	"say"	"narrowly"	"miss"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"and"	"him"	"year"	"to"	"year_and"	"and_him"	"him_to"	"another_year_and"	"year_and_him"	"and_him_to"	"him_to_spend"	"DT"	"NN"	"CC"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"was"	"find"	"guilty"	"of"	"reckless"	"driving"	"yesterday"	"by"	"who"	"continue"	"his"	"no-driving"	"probation"	"for"	"another"	"year"	"and"	"order"	"him"	"to"	"spend"	"days"	"in"	"the"	"detroit"	"house_of_correction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"was"	"by"	"also"	"judge_james_corcoran"	"also_was"	"was_by"	"by_judge_james_corcoran"	",_also_was"	"also_was_by"	"was_by_judge_james_corcoran"	"by_judge_james_corcoran_to"	"ε"	"RB"	"VBD"	"VB"	"IN"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"defendant"	"william_l._stickney"	"of"	"park_pl."	"evanston"	"who"	"plead"	"guilty"	"to"	"reckless"	"also"	"was"	"order"	"by"	"judge_james_corcoran"	"to"	"attend"	"the"	"evanston"	"traffic"	"school"	"each"	"tuesday"	"night"	"for"	"one"	"month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"han_emperor_wu_ti"	"the"	"the"	"dynastic"	"the_han_emperor_wu_ti"	"han_emperor_wu_ti_the"	"the_dynastic"	"when_the_han_emperor_wu_ti"	"the_han_emperor_wu_ti_the"	"han_emperor_wu_ti_the_dynastic"	"the_dynastic_color"	"WRB"	"DT"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"existing"	"reverence"	"for"	"centrality"	"must"	"have"	"been"	"still"	"further"	"stimulate"	"the"	"close"	"of"	"the"	"second"	"century"	"b._c."	"when"	"the"	"han_emperor_wu_ti"	"order"	"the"	"dynastic"	"color"	"change"	"to"	"yellow"	"which"	"symbolize"	"the"	"center"	"among"	"the"	"traditional"	"five"	"directions"	"and"	"take"	"as"	"the"	"dynastic"	"number"	"believe"	"that"	"he"	"would"	"thus"	"place"	"himself"	"his"	"imperial"	"family"	"and"	"the"	"nation"	"under"	"the_most"	"auspicious"	"influences"	
"1:10:02::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"possible_in_the"	"in_the_of"	"the_of_the"	"of_the_making"	"CC"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"as"	"soon"	"possible"	"in"	"the"	"order"	"of"	"the"	"making"	"of"	"such"	"award"	"certify"	"to"	"the"	"secretary_of_the_treasury"	"and"	"to"	"the"	"secretary_of_state"	"copy"	"of"	"the"	"award"	"make"	"in"	"favor"	"of"	"the"	"government"	"of"	"the"	"united_states"	"or"	"of"	"national"	"of"	"the"	"united_states"	"under"	"this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"with"	"the"	"with_the"	"the_of"	"of_the"	"accordance_with_the"	"with_the_of"	"the_of_the"	"of_the_court"	"NN"	"RB"	"DT"	"NN"	"IN"	"DT"	"NN"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"has"	"been"	"duly"	"appoint"	"by"	"a"	"court"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"and"	"has"	"not"	"been"	"discharge"	"prior"	"to"	"the"	"date"	"of"	"payment"	"payment"	"shall"	"be"	"make"	"to"	"such"	"receiver"	"or"	"trustee"	"in"	"accordance"	"with"	"of"	"the"	"court"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
