"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"2:32:00::"	"be"	"as"	"might"	"creeping"	"might_be"	"be_as"	"as_creeping"	"recently_might_be"	"might_be_as"	"be_as_creeping"	"as_creeping_mannerism"	"RB"	"MD"	"VB"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"what"	"has"	"happen"	"recently"	"might"	"be"	"describe"	"as"	"creeping"	"mannerism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"a"	"originally"	"waterfront"	"originally_to"	"to_a"	"a_waterfront"	"naebm_originally_to"	"originally_to_a"	"to_a_waterfront"	"a_waterfront_facility"	"NNP"	"RB"	"TO"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"word"	"marina"	"was"	"by"	"naebm"	"originally"	"to"	"describe"	"a"	"waterfront"	"facility"	"where"	"recreational"	"boats"	"could"	"find"	"protection"	"and"	"basic"	"needs"	"to"	"lay_over"	"in"	"relative"	"comfort"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"the"	"16"	"baptism"	"16_,"	",_the"	"the_baptism"	"-_16_,"	"16_,_the"	",_the_baptism"	"the_baptism_of"	"ε"	"CD"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_example"	"in"	"the"	"third"	"chapter"	"of"	"verses"	"describe"	"the"	"baptism"	"of"	"jesus"	"the"	"version"	"read"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"has"	"four"	"mr._nagrin"	"``"	"mr._nagrin_has"	"has_four"	"four_``"	"∅_mr._nagrin_has"	"mr._nagrin_has_four"	"has_four_``"	"four_``_places"	"ε"	"NNP"	"VBZ"	"VB"	"CD"	"ε"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"describe"	"four"	"places"	"each"	"with"	"its"	"scenery"	"and"	"people"	"add"	"two"	"diversions"	"and"	"conclude"	"with"	"a"	"toccata"	"for"	"the"	"young"	"a"	"refreshingly"	"underplayed"	"interpretation"	"of"	"rock"	"n"	"roll"	"dancing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"maintenance"	"the"	"boundary"	"boundaries"	"boundary_maintenance"	"maintenance_the"	"the_boundaries"	"where_boundary_maintenance"	"boundary_maintenance_the"	"maintenance_the_boundaries"	"the_boundaries_or"	"WRB"	"NN"	"NN"	"VB"	"DT"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"maintenance"	"describe"	"the"	"boundaries"	"or"	"limits"	"of"	"the"	"group"	"systemic"	"linkage"	"is"	"define"	"as"	"the"	"process"	"whereby"	"one"	"or"	"more"	"of"	"the"	"elements"	"of"	"at_least"	"two"	"social_systems"	"is"	"articulate"	"in"	"such"	"a"	"manner"	"that"	"the"	"two"	"systems"	"in"	"some"	"ways"	"and"	"on"	"some"	"occasions"	"may"	"be"	"view_as"	"a"	"single"	"unit"	
"2:32:00::"	"best"	"by"	"is"	"rev._timothy_dwight"	"is_best"	"best_by"	"by_rev._timothy_dwight"	"bridge_is_best"	"is_best_by"	"best_by_rev._timothy_dwight"	"by_rev._timothy_dwight_,"	"NN"	"VBZ"	"JJS"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"two-part"	"is"	"best"	"describe"	"by"	"rev._timothy_dwight"	"president"	"of"	"yale_college"	"in"	"his"	"travels"	"in"	"new-england"	"and"	"new-york"	"publish"	"in"	"new_haven"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"for"	"idyll"	"the"	"idyll_is"	"is_for"	"for_the"	"of_this_idyll_is"	"idyll_is_for"	"is_for_the"	"for_the_reader"	"RB"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year"	"and"	"day"	"of_this"	"idyll"	"is"	"describe"	"for"	"the"	"reader"	"one"	"in_which"	"not_only"	"discovery"	"of"	"a"	"new_world"	"of"	"personality"	"is"	"chart"	"but"	"self-discovery"	"as_well"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"yesterday"	"the"	"ambassador_stevenson"	"u."	"ambassador_stevenson_yesterday"	"yesterday_the"	"the_u."	"∅_ambassador_stevenson_yesterday"	"ambassador_stevenson_yesterday_the"	"yesterday_the_u."	"the_u._n"	"ε"	"NNP"	"NN"	"VB"	"DT"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yesterday"	"describe"	"the"	"u."	"n"	"problem"	"of"	"elect"	"a"	"temporary"	"successor"	"to"	"the"	"late"	"dag_hammarskjold"	"as"	"the"	"gravest"	"crisis"	"the"	"institution"	"has"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"beautifully"	"by"	"been"	"the"	"been_beautifully"	"beautifully_by"	"by_the"	"has_been_beautifully"	"been_beautifully_by"	"beautifully_by_the"	"by_the_australian"	"VBZ"	"VBN"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"malignancy"	"of"	"such"	"landscape"	"has"	"been"	"beautifully"	"describe"	"by"	"the"	"australian"	"charles_bean"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"anthony_liebler"	"her"	"district_attorney"	"to"	"district_attorney_anthony_liebler"	"anthony_liebler_her"	"her_to"	"assistant_district_attorney_anthony_liebler"	"district_attorney_anthony_liebler_her"	"anthony_liebler_her_to"	"her_to_the"	"NNP"	"NN"	"NNP"	"VB"	"PRP"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"clothe"	"in"	"mink"	"and"	"diamonds"	"listen"	"to"	"assistant"	"district_attorney"	"anthony_liebler"	"describe"	"her"	"to"	"the"	"arraigning"	"judge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
