"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"
"2:32:00::"	"to"	","	"decide"	"he"	"decide_to"	"to_,"	",_he"	"he_decide_to"	"decide_to_,"	"to_,_he"	",_he_will"	"PRP"	"VB"	"TO"	"VB"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"decide"	"to"	"proceed"	"he"	"will"	"custom-make"	"for"	"susie"	"an"	"appliance"	"consist_of"	"bands"	"plastic"	"plates"	"fine"	"wires"	"and"	"tiny"	"springs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"only"	"along"	"can"	"its"	"can_only"	"only_along"	"along_its"	",_can_only"	"can_only_along"	"only_along_its"	"along_its_route"	"ε"	"MD"	"RB"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"has"	"be"	"a"	"working"	"session"	"of"	"an"	"that"	"by"	"its"	"very"	"nature"	"can"	"only"	"proceed"	"along"	"its"	"route"	"step_by_step"	"and"	"without"	"dramatic"	"changes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"letch"	"to"	","	"neglect"	",_letch"	"letch_to"	"to_neglect"	"vote_,_letch"	",_letch_to"	"letch_to_neglect"	"to_neglect_them"	"NN"	"ε"	"NNP"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"having"	"through"	"my"	"unflagging"	"effort"	"and"	"devotion"	"achieve"	"stardom"	"a"	"fortune"	"and"	"a"	"world-renowned"	"wife"	"an"	"age"	"when"	"most"	"young_men"	"are"	"cast"	"their"	"first"	"vote"	"letch"	"proceed"	"to"	"neglect"	"them"	"all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"to"	"orders"	"their"	"orders_to"	"to_to"	"to_their"	"specific_orders_to"	"orders_to_to"	"to_to_their"	"to_their_targets"	"JJ"	"NNS"	"TO"	"VB"	"TO"	"PRP$"	"NNS"	"us"	"imagine"	"a"	"wing"	"of"	"b-52"	"on"	"alert"	"near"	"their"	"control"	"or"	"fail-safe"	"points"	"the"	"spots"	"on"	"the"	"map"	"many"	"miles"	"from"	"soviet"	"territory"	"beyond"	"which"	"are"	"forbid"	"to"	"fly"	"without"	"specific"	"orders"	"to"	"to"	"their"	"targets"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"to"	"on"	"find"	"on_person"	"person_to"	"to_find"	"time_on_person"	"on_person_to"	"person_to_find"	"to_find_his"	"NN"	"IN"	"NNP"	"VB"	"TO"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"this"	"on"	"person"	"proceed"	"to"	"find"	"his"	"deep"	"self"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"can"	"."	"argument"	"∅"	"argument_can"	"can_."	"._∅"	"main_argument_can"	"argument_can_."	"can_._∅"	"._∅_∅"	"JJ"	"NN"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"underlie"	"these"	"conception"	"of"	"mimesis"	"are"	"certain"	"presupposition"	"concern"	"the"	"nature"	"primary"	"human"	"experience"	"which"	"require"	"some"	"exposition"	"before"	"the"	"main"	"argument"	"can"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"signal"	"fairly"	"ultrasonic"	"well"	"ultrasonic_signal"	"signal_fairly"	"fairly_well"	"of_ultrasonic_signal"	"ultrasonic_signal_fairly"	"signal_fairly_well"	"fairly_well_in"	"IN"	"JJ"	"NN"	"VB"	"RB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"body"	"contain"	"so"	"liquid"	"transmission"	"of"	"ultrasonic"	"signal"	"proceed"	"fairly"	"well"	"in"	"muscle"	"and"	"blood_vessel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"we"	"."	"as"	"∅"	"as_we"	"we_."	"._∅"	"somewhat_as_we"	"as_we_."	"we_._∅"	"._∅_∅"	"RB"	"IN"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"this"	"point"	"a"	"working"	"definition"	"of"	"idea"	"be"	"in_order"	"although"	"first"	"definition"	"will"	"have"	"to"	"be"	"qualify"	"somewhat"	"as"	"we"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"under"	"of_course"	"the"	"of_course_,"	",_under"	"under_the"	",_of_course_,"	"of_course_,_under"	",_under_the"	"under_the_supervision"	"ε"	"RB"	"ε"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"bulk"	"of"	"the"	"had"	"of_course"	"proceed"	"under"	"the"	"supervision"	"of"	"the"	"group"	"whose"	"official"	"are"	"bar"	"from"	"party"	"activity"	"and"	"probably"	"generally"	"disinterested"	"in"	"party"	"politics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"by"	"along"	"first"	"c"	"first_by"	"by_along"	"along_c"	"reach_first_by"	"first_by_along"	"by_along_c"	"along_c_from"	"VB"	"RB"	"IN"	"VB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"each"	"paired"	"vertex"	"and"	"diagonal"	"point"	"there"	"correspond"	"a"	"unique"	"corner"	"point"	"i.e."	"the"	"corner"	"on"	"c"	"reach"	"first"	"by"	"proceed"	"along"	"c"	"from"	"the"	"vertex"	"in"	"the"	"direction"	"of"	"increasing"	"t"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
