"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"
"1:18:02::"	"playwright"	","	","	"had"	",_playwright"	"playwright_,"	",_had"	"person_,_playwright"	",_playwright_,"	"playwright_,_had"	",_had_express"	"NNP"	"ε"	"NN"	"NN"	"ε"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"man"	"person"	"playwright"	"director"	"had"	"express"	"a"	"wish"	"that"	"person"	"drop_dead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"oep"	"person"	"by"	","	"by_oep"	"oep_person"	"person_,"	"development_by_oep"	"by_oep_person"	"oep_person_,"	"person_,_today"	"NN"	"IN"	"NNP"	"NN"	"NNP"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"a"	"vigorous"	"campaign"	"of"	"and"	"leadership"	"development"	"by"	"oep"	"director"	"person"	"today"	"thousand"	"of"	"secondary_school"	"college"	"and"	"university"	"have"	"shooting"	"and"	"hunting"	"education"	"in"	"their"	"physical_education"	"and"	"recreation"	"program"	"0"	"0"	"0"	"0"	
"1:18:00::"	"medical"	"of"	","	"the"	",_medical"	"medical_of"	"of_the"	"person_,_medical"	",_medical_of"	"medical_of_the"	"of_the_group"	"NNP"	"ε"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sexual_relationship"	"does"	"not"	"exist"	"in"	"a"	"declare"	"person"	"medical"	"director"	"of"	"the"	"group"	"and"	"author"	"of"	"the"	"recent"	"book"	"release"	"from"	"sexual"	"tensions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"district"	"on"	"the"	"or"	"the_district"	"district_on"	"on_or"	"reach_the_district"	"the_district_on"	"district_on_or"	"on_or_before"	"VB"	"DT"	"NN"	"NN"	"RB"	"CC"	"IN"	"mail"	"a"	"return"	"or"	"tax"	"payment"	"you"	"must"	"place"	"it"	"in"	"the"	"mail"	"in"	"ample"	"time"	"to"	"reach"	"the"	"district"	"on"	"or"	"before"	"the"	"due_date"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"assistant"	"for"	"then"	"the"	"then_assistant"	"assistant_for"	"for_the"	",_then_assistant"	"then_assistant_for"	"assistant_for_the"	"for_the_garrick_gaieties"	"ε"	"RB"	"NN"	"NN"	"IN"	"DT"	"NNPS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"assistant"	"director"	"for"	"the"	"garrick_gaieties"	"a"	"group"	"production"	"need"	"a"	"lyricist"	"for"	"a"	"song"	"he"	"had"	"write"	"he"	"just"	"happened"	"not"	"to"	"need"	"any"	"actor"	"at"	"the"	"moment"	"however"	
"1:18:00::"	"the"	"help"	"∅"	"tailor-make"	"∅_the"	"the_help"	"help_tailor-make"	"∅_∅_the"	"∅_the_help"	"the_help_tailor-make"	"help_tailor-make_a"	"ε"	"ε"	"DT"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"director"	"help"	"tailor-make"	"a"	"checklist"	"of"	"the"	"district_manager"	"error"	"by"	"ask"	"various"	"observer"	"to"	"write_out"	"sentence"	"comment"	"on"	"the"	"mistake"	"they"	"feel"	"he"	"make"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"write"	"and"	"the"	"and_the"	"the_write"	"write_the"	",_and_the"	"and_the_write"	"the_write_the"	"write_the_number"	"ε"	"CC"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"the"	"manager"	"sit"	"behind"	"the"	"group"	"so"	"he"	"could"	"see"	"and"	"count"	"the"	"hand"	"that"	"and"	"the"	"director"	"write"	"the"	"number"	"on"	"the"	"blackboard"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"athletic"	"at"	"and"	"group"	"and_athletic"	"athletic_at"	"at_group"	"teacher_and_athletic"	"and_athletic_at"	"athletic_at_group"	"at_group_,"	"NN"	"CC"	"JJ"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"serve"	"as"	"teacher"	"and"	"principal"	"oklahoma"	"high_school"	"as"	"teacher"	"and"	"athletic"	"director"	"at"	"group"	"as"	"an"	"instructor"	"at"	"the"	"group"	"and"	"as"	"an"	"associate_professor"	"of"	"education"	"at"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"of"	"person"	"the"	"person_,"	",_of"	"of_the"	"month_person_,"	"person_,_of"	",_of_the"	"of_the_group"	"NN"	"NNP"	"ε"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"earlier"	"this"	"person"	"director"	"of"	"the"	"group"	"come"	"to"	"hollywood"	"and"	"have"	"dinner"	"with"	"more_than"	"leader"	"of"	"the"	"motion_picture"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"contact"	","	"information"	"group"	"information_contact"	"contact_,"	",_group"	"further_information_contact"	"information_contact_,"	"contact_,_group"	",_group_,"	"JJ"	"NN"	"VB"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"information"	"contact"	"director"	"group"	"group"	"washington"	"dc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"public_relations"	","	"group"	"resign"	"group_public_relations"	"public_relations_,"	",_resign"	",_group_public_relations"	"group_public_relations_,"	"public_relations_,_resign"	",_resign_tuesday"	"ε"	"NNP"	"NN"	"NN"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"public_relations"	"director"	"resign"	"tuesday"	"to"	"work"	"for"	"person"	"campaign"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"first"	"of"	"the"	"the"	"the_first"	"first_of"	"of_the"	"∅_the_first"	"the_first_of"	"first_of_the"	"of_the_group"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"first"	"director"	"of"	"the"	"group"	"be"	"person"	"person"	"person"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
