"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"2:41:01::"	"help"	"orthodontic"	"to"	"problems"	"to_help"	"help_orthodontic"	"orthodontic_problems"	"∅_to_help"	"to_help_orthodontic"	"help_orthodontic_problems"	"orthodontic_problems_from"	"ε"	"TO"	"VB"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"help"	"prevent"	"orthodontic"	"problems"	"from"	"arise"	"your"	"dentist"	"can"	"do"	"these"	"things"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"thus"	"early"	","	"loss"	",_thus"	"thus_early"	"early_loss"	"decay_,_thus"	",_thus_early"	"thus_early_loss"	"early_loss_of"	"NN"	"ε"	"RB"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"can"	"decay"	"thus"	"prevent"	"early"	"loss"	"of"	"teeth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"laws"	"discrimination"	"pass"	"in"	"pass_laws"	"laws_discrimination"	"discrimination_in"	"have_pass_laws"	"pass_laws_discrimination"	"laws_discrimination_in"	"discrimination_in_the"	"VBP"	"VB"	"NNS"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"states"	"have"	"pass"	"laws"	"prevent"	"discrimination"	"in"	"the"	"sale"	"or"	"rental"	"of"	"housing"	"support"	"by"	"real_estate"	"associations"	"for"	"compliance"	"and"	"broadened"	"coverage"	"through"	"additional"	"legislation"	"could"	"help"	"remove"	"the"	"label"	"of"	"social"	"reformism"	"that"	"most"	"realtors"	"individually"	"seem"	"determined"	"to"	"avoid"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"it"	"late-comers"	";"	"from"	";_it"	"it_late-comers"	"late-comers_from"	"flux_;_it"	";_it_late-comers"	"it_late-comers_from"	"late-comers_from_miss"	"NN"	"ε"	"PRP"	"VB"	"NNS"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put_on"	"local"	"musicians"	"at_this_place"	"in"	"the"	"program"	"serve"	"a"	"triple"	"purpose"	"it"	"save"	"the"	"top"	"flight"	"jazz"	"men"	"from"	"waste"	"in_this"	"unenviable"	"spot"	"when"	"the"	"audience"	"be"	"cold"	"restless"	"and"	"in"	"flux"	"it"	"prevent"	"late-comers"	"from"	"miss"	"some"	"of"	"the"	"people"	"they"	"have"	"come"	"a"	"long"	"way"	"to"	"hear"	"and"	"it"	"give"	"the"	"resident"	"musicians"	"a"	"chance"	"to"	"perform"	"before"	"the"	"famous"	"newport"	"audience"	
"2:41:00::"	"also"	"us"	"it"	"from"	"it_also"	"also_us"	"us_from"	",_it_also"	"it_also_us"	"also_us_from"	"us_from_use"	"ε"	"PRP"	"RB"	"VB"	"PRP"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"connally"	"amendment"	"have"	"the"	"effect"	"of"	"give"	"the"	"same"	"to"	"the"	"party"	"to"	"a"	"dispute"	"with"	"the"	"united_states"	"it"	"also"	"prevent"	"us"	"from"	"use"	"the"	"court"	"effectively"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"will"	"laos"	"which"	"from"	"which_will"	"will_laos"	"laos_from"	"system_which_will"	"which_will_laos"	"will_laos_from"	"laos_from_being"	"NN"	"WDT"	"MD"	"VB"	"NNP"	"IN"	"VBG"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"united_states"	"state_department"	"officials"	"explain"	"now"	"be"	"mainly"	"interested"	"set_up"	"an"	"international"	"inspection"	"system"	"which"	"will"	"prevent"	"laos"	"from"	"being"	"use"	"as"	"a"	"base"	"for"	"communist"	"attacks"	"on"	"neighboring"	"thailand"	"and"	"south"	"viet_nam"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"vindictive"	"seek"	"legislatures"	"seek_to"	"to_vindictive"	"vindictive_legislatures"	"and_seek_to"	"seek_to_vindictive"	"to_vindictive_legislatures"	"vindictive_legislatures_from"	"CC"	"VB"	"TO"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"fight"	"hard"	"but"	"they"	"be"	"forgiving"	"former"	"foes"	"and"	"seek"	"to"	"prevent"	"vindictive"	"legislatures"	"from"	"confiscate"	"tory"	"property"	"in"	"violation"	"of"	"the"	"treaty"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"monopolistic"	"wish"	"fixing"	"wish_to"	"to_monopolistic"	"monopolistic_fixing"	"we_wish_to"	"wish_to_monopolistic"	"to_monopolistic_fixing"	"monopolistic_fixing_of"	"PRP"	"VB"	"VB"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"compare"	"this"	"statement"	"of"	"a"	"nineteenth-century"	"judge"	"with"	"how"	"congressman_martin"	"according_to"	"the"	"daily_labor_report"	"of"	"sept."	"defend"	"the"	"necessity"	"enact"	"anti-trust"	"legislation"	"in"	"the"	"field"	"of"	"labor"	"if"	"we"	"wish"	"to"	"prevent"	"monopolistic"	"fixing"	"of"	"wages"	"production"	"or"	"prices"	"and"	"if"	"we"	"wish"	"to"	"preserve"	"the"	"freedom"	"of"	"the"	"employer"	"and"	"his"	"employees"	"to"	"contract"	"on"	"wages"	"hours"	"and"	"conditions"	"of"	"employment"	"0"	"0"	
"2:41:01::"	"to"	"a"	"president_balaguer"	"threatened"	"president_balaguer_to"	"to_a"	"a_threatened"	"enable_president_balaguer_to"	"president_balaguer_to_a"	"to_a_threatened"	"a_threatened_restoration"	"VB"	"NNP"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"dominican_republic"	"achieve"	"free"	"democratic"	"government"	"it"	"will"	"be_due"	"in"	"large"	"to"	"the"	"u._s."	"show"	"of"	"force"	"that"	"enable"	"president_balaguer"	"to"	"prevent"	"a"	"threatened"	"restoration"	"of"	"trujillo"	"dictatorship"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"serious"	"design"	"inflation"	"design_to"	"to_serious"	"serious_inflation"	"policies_design_to"	"design_to_serious"	"to_serious_inflation"	"serious_inflation_;"	"NNS"	"VB"	"TO"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"not_only"	"development"	"programing"	"but"	"also"	"establish"	"tax_policies"	"design"	"to"	"equitably"	"resources"	"for"	"investment"	"fiscal"	"and"	"monetary"	"policies"	"design"	"to"	"prevent"	"serious"	"inflation"	"and"	"regulatory"	"policies"	"aim"	"to"	"attract"	"the"	"financial"	"and"	"managerial"	"resources"	"of"	"foreign"	"investment"	"and"	"to"	"prevent"	"excessive"	"luxury"	"consumption"	"by"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
