"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:40:06::"	"``"	"a"	"∅"	"card"	"∅_``"	"``_a"	"a_card"	"∅_∅_``"	"∅_``_a"	"``_a_card"	"a_card_or"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"card"	"or"	"something"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:05::"	"'ll"	"you"	"i"	"''"	"i_'ll"	"'ll_you"	"you_''"	"``_i_'ll"	"i_'ll_you"	"'ll_you_''"	"you_''_."	"ε"	"PRP"	"MD"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"go"	"broke"	"she"	"say"	"smile"	"up"	"him"	"i"	"leave"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"patient"	"the"	"the"	"hospital"	"the_patient"	"patient_the"	"the_hospital"	"when_the_patient"	"the_patient_the"	"patient_the_hospital"	"the_hospital_,"	"WRB"	"DT"	"NN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secondly"	"the"	"va"	"physician"	"that"	"when"	"the"	"patient"	"leave"	"the"	"hospital"	"he"	"is"	"no_longer"	"going_to"	"have"	"a"	"chance"	"to"	"visit"	"his"	"patient"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"people"	"their"	"evenings"	"shops"	"evenings_people"	"people_their"	"their_shops"	"summer_evenings_people"	"evenings_people_their"	"people_their_shops"	"their_shops_and"	"NN"	"NNS"	"NNS"	"VB"	"PRP$"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"spring"	"summer"	"evenings"	"people"	"leave"	"their"	"shops"	"and"	"houses"	"and"	"walk"	"up"	"through"	"the"	"lanes"	"of"	"the"	"city"	"to"	"the"	"bridge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"had"	"."	"man"	"∅"	"man_had"	"had_."	"._∅"	"fat_man_had"	"man_had_."	"had_._∅"	"._∅_∅"	"JJ"	"NN"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"glad"	"fat"	"man"	"had"	"leave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"by"	"our"	"∅"	"doors"	"∅_by"	"by_our"	"our_doors"	"∅_∅_by"	"∅_by_our"	"by_our_doors"	"our_doors_open"	"ε"	"ε"	"IN"	"VB"	"PRP$"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"leave"	"our"	"doors"	"open"	"the"	"united_states"	"give"	"peoples"	"the"	"opportunity"	"to"	"see"	"us"	"and"	"to"	"compare"	"he"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"her"	"until"	"let"	"it"	"let_her"	"her_until"	"until_it"	"n't_let_her"	"let_her_until"	"her_until_it"	"until_it_had"	"RB"	"VB"	"PRP$"	"VB"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"audience"	"n't"	"let"	"her"	"leave"	"until"	"it"	"had"	"hear"	"over"	"the"	"rainbow"	"although"	"the"	"fellow"	"that"	"keep"	"cry"	"for"	"get_happy"	"had_to"	"go_home"	"unhappy"	"about"	"that"	"item"	"anyway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"which"	"many"	"-"	"points"	"-_which"	"which_many"	"many_points"	"speech_-_which"	"-_which_many"	"which_many_points"	"many_points_obscure"	"NN"	"ε"	"WDT"	"VB"	"JJ"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_doubt"	"there"	"was"	"still"	"a_lot"	"in"	"the"	"draft"	"and"	"in"	"khrushchev"	"speech"	"which"	"leave"	"many"	"points"	"obscure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"things"	"undone"	"vital"	"to_date"	"vital_things"	"things_undone"	"undone_to_date"	"of_vital_things"	"vital_things_undone"	"things_undone_to_date"	"undone_to_date_by"	"IN"	"JJ"	"NNS"	"VB"	"JJ"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"believe"	"that"	"list"	"of"	"vital"	"things"	"leave"	"undone"	"to_date"	"by"	"the"	"eighty-seventh_congress"	"should"	"have"	"include"	"repeal"	"by"	"the"	"senate"	"of"	"the"	"connally"	"amendment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"them"	"stop"	"stranded"	"stop_,"	",_them"	"them_stranded"	"a_stop_,"	"stop_,_them"	",_them_stranded"	"them_stranded_and"	"DT"	"NN"	"ε"	"VB"	"PRP"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"home-bound"	"subway"	"riders"	"utilize"	"the"	"flushing-main_street"	"express"	"are"	"daily"	"confront"	"with"	"the"	"sight"	"the"	"local"	"depart"	"from"	"the"	"woodside"	"station"	"as"	"their"	"express"	"comes_to"	"a"	"stop"	"leave"	"them"	"stranded"	"and"	"strained"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
