"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:15:01::"	","	","	"group"	"dc"	"group_,"	",_,"	",_dc"	"the_group_,"	"group_,_,"	",_,_dc"	",_dc_,"	"DT"	"NNP"	"ε"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"washington"	"dc"	"is"	"develop"	"plan"	"to"	"utilize"	"specially"	"treated"	"lumber"	"for"	"underground"	"shelter"	"construction"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"in"	":"	"notice"	"a"	"notice_in"	"in_:"	":_a"	"attract_notice_in"	"notice_in_:"	"in_:_a"	":_a_naval"	"VB"	"NN"	"IN"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"strategy"	"bold"	"and"	"tough"	"also"	"attract"	"notice"	"in"	"washington"	"a"	"naval"	"and"	"air"	"blockade"	"to"	"cut_off"	"cuba"	"off"	"from"	"the"	"world"	"destroy"	"person"	
"1:15:01::"	"in"	","	"take_place"	"district_of_columbia"	"take_place_in"	"in_,"	",_district_of_columbia"	"meeting_take_place_in"	"take_place_in_,"	"in_,_district_of_columbia"	",_district_of_columbia_."	"NN"	"VB"	"IN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"the"	"kickoff"	"of"	"group"	"shooting"	"development"	"program"	"a"	"most"	"interesting"	"meeting"	"take_place"	"in"	"washington"	"district_of_columbia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	","	"foreign_policy"	"it"	"foreign_policy_in"	"in_,"	",_it"	"for_foreign_policy_in"	"foreign_policy_in_,"	"in_,_it"	",_it_follow"	"IN"	"NN"	"IN"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"department_of_state"	"is"	"to"	"primary"	"responsibility"	"for"	"foreign_policy"	"in"	"washington"	"it"	"follow"	"that"	"the"	"ambassador"	"is"	"expect"	"to"	"take_charge"	"overseas"	"0"	"0"	"0"	
"1:15:01::"	","	","	"location"	"or"	"location_,"	",_,"	",_or"	",_location_,"	"location_,_,"	",_,_or"	",_or_nashville"	"ε"	"NNP"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"occasionally"	"gay"	"young"	"blade"	"would"	"write"	"vividly"	"to"	"boon"	"companion"	"home"	"about"	"their"	"amorous"	"exploit"	"in"	"richmond"	"location"	"washington"	"or"	"nashville"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	","	"25"	"group"	","	"group_,"	",_25"	"25_,"	",_group_,"	"group_,_25"	",_25_,"	"25_,_dc"	"ε"	"NNP"	"ε"	"NN"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"group"	"group"	"washington"	"dc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	"."	"seattle"	"∅"	"seattle_,"	",_."	"._∅"	"and_seattle_,"	"seattle_,_."	",_._∅"	"._∅_∅"	"CC"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"group"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	","	"25"	"group"	","	"group_,"	",_25"	"25_,"	"from_group_,"	"group_,_25"	",_25_,"	"25_,_district_of_columbia"	"IN"	"NNP"	"ε"	"NN"	"CD"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"what"	"it"	"is"	"what"	"it"	"does"	"sba"	"services"	"for"	"community_economic_development"	"and"	"various"	"useful"	"publication"	"on"	"currently"	"important"	"technical"	"production"	"and"	"marketing"	"topic"	"be"	"available"	"on_request"	"from"	"group"	"washington"	"district_of_columbia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	","	"."	"seattle"	"∅"	"seattle_,"	",_."	"._∅"	"and_seattle_,"	"seattle_,_."	",_._∅"	"._∅_∅"	"CC"	"NN"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"further"	"information"	"contact"	"sba_regional"	"office"	"in"	"atlanta"	"georgia"	"boston"	"massachuset"	"chicago"	"illinois"	"cleveland"	"ohio"	"dallas"	"texas"	"denver"	"colorado"	"detroit"	"michigan"	"kansas_city"	"missouri"	"los_angeles"	"california"	"minneapolis"	"minnesota"	"new_york"	"new_york"	"philadelphia"	"pennsylvania"	"richmond"	"virginia"	"san_francisco"	"california"	"and"	"seattle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	","	"25"	"group"	","	"group_,"	",_25"	"25_,"	"from_group_,"	"group_,_25"	",_25_,"	"25_,_district_of_columbia"	"IN"	"NNP"	"ε"	"NN"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"small_business_administration_,_what_it_is_,_what_it_does"	"sba"	"business_loans_and_small_business_pooling"	"be"	"available"	"from"	"group"	"washington"	"district_of_columbia"	"and"	"its"	"regional"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
