"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"
"2:41:02::"	"year"	"a"	"last"	"law"	"last_year"	"year_a"	"a_law"	"congress_last_year"	"last_year_a"	"year_a_law"	"a_law_provide"	"NNP"	"JJ"	"NN"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"note"	"congress"	"last"	"year"	"pass"	"a"	"law"	"provide"	"grants"	"to"	"states"	"to"	"help"	"pay"	"medical_bills"	"of"	"the"	"needy"	"aged"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"time"	"the"	"as"	"demand"	"as_time"	"time_the"	"the_demand"	"that_as_time"	"as_time_the"	"time_the_demand"	"the_demand_for"	"IN"	"IN"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"veterans"	"acknowledge"	"fact"	"that"	"as"	"time"	"pass"	"the"	"demand"	"for"	"medical_care"	"at"	"va"	"hospitals"	"will"	"grow"	"proportionately"	"as"	"age"	"foster"	"illness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"measure"	"by"	"a"	"congress"	"a_measure"	"measure_by"	"by_congress"	"∅_a_measure"	"a_measure_by"	"measure_by_congress"	"by_congress_just"	"ε"	"DT"	"NN"	"VB"	"VB"	"NNP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"measure"	"pass"	"by"	"congress"	"just"	"before"	"adjourn"	"soften"	"the"	"ruling"	"impact"	"on"	"prior-year"	"returns"	"still"	"under"	"review"	"for"	"clay-mining"	"companies"	"that"	"make"	"brick"	"and"	"tile"	"products"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"have"	"."	"that"	"∅"	"that_have"	"have_."	"._∅"	"some_that_have"	"that_have_."	"have_._∅"	"._∅_∅"	"DT"	"WDT"	"VB"	"VB"	"ε"	"ε"	"ε"	"step-by-step"	"fate"	"of"	"danzig"	"and"	"the"	"west"	"german"	"misgivings"	"about"	"salami"	"tactics"	"it"	"be"	"to"	"be"	"hope"	"that"	"the"	"dispatch"	"of"	"general_clay"	"to"	"west_berlin"	"as"	"president_kennedy"	"representative"	"will"	"mark"	"a"	"stiffening"	"of"	"response"	"not_only"	"to"	"future"	"indignities"	"and"	"aggressions"	"but"	"also"	"some"	"that"	"have"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"have"	"laws"	"that"	"prevent"	"that_have"	"have_laws"	"laws_prevent"	"states_that_have"	"that_have_laws"	"have_laws_prevent"	"laws_prevent_discrimination"	"NNS"	"WDT"	"VBP"	"VB"	"NNS"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"that"	"have"	"pass"	"laws"	"prevent"	"discrimination"	"in"	"the"	"sale"	"or"	"rental"	"of"	"housing"	"support"	"by"	"real_estate"	"associations"	"for"	"compliance"	"and"	"broadened"	"coverage"	"through"	"additional"	"legislation"	"could"	"help"	"remove"	"the"	"label"	"of"	"social"	"reformism"	"that"	"most"	"realtors"	"individually"	"seem"	"determined"	"to"	"avoid"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:05::"	"them"	"him"	"watch"	"."	"watch_them"	"them_him"	"him_."	"he_watch_them"	"watch_them_him"	"them_him_."	"him_._∅"	"PRP"	"VB"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fuming"	"helpless"	"he"	"them"	"pass"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"day"	"when"	"hardly_a"	"i"	"hardly_a_day"	"day_when"	"when_i"	"and_hardly_a_day"	"hardly_a_day_when"	"day_when_i"	"when_i_did"	"CC"	"JJ"	"NN"	"VB"	"WRB"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"strongly"	"attached"	"to"	"the"	"however"	"and"	"hardly_a"	"day"	"pass"	"when"	"i"	"did"	"not"	"go"	"to"	"look"	"at"	"it"	"from"	"a"	"distance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"she"	"."	"as"	"∅"	"as_she"	"she_."	"._∅"	"head_as_she"	"as_she_."	"she_._∅"	"._∅_∅"	"NN"	"IN"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"she"	"have"	"no"	"reason"	"to"	"fear"	"these"	"that"	"whisper"	"their"	"secrets"	"above"	"her"	"head"	"as"	"she"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	","	"it"	"breast_pocket"	"over"	"breast_pocket_,"	",_it"	"it_over"	"his_breast_pocket_,"	"breast_pocket_,_it"	",_it_over"	"it_over_silently"	"PRP$"	"NN"	"ε"	"VB"	"PRP"	"IN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"squat"	"on"	"their"	"heels"	"in"	"the"	"deep"	"and"	"dill"	"find"	"a"	"cigar"	"in"	"his"	"breast_pocket"	"pass"	"it"	"over"	"silently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"was"	"."	"legislation"	"∅"	"legislation_was"	"was_."	"._∅"	"good_legislation_was"	"legislation_was_."	"was_._∅"	"._∅_∅"	"JJ"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_all"	"the"	"turmoil"	"good"	"legislation"	"was"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
