"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:41:00::"	","	"to"	"reporters"	"answer"	"reporters_,"	",_to"	"to_answer"	"to_reporters_,"	"reporters_,_to"	",_to_answer"	"to_answer_all"	"TO"	"NNS"	"ε"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maris"	"in"	"talk"	"reporters"	"try"	"to"	"answer"	"all"	"questions"	"candidly"	"and"	"fully"	"but"	"on"	"rare"	"occasions"	"he"	"shun"	"newsmen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"ever"	"to"	"you"	"reason"	"you_ever"	"ever_to"	"to_reason"	"have_you_ever"	"you_ever_to"	"ever_to_reason"	"to_reason_with"	"VBP"	"PRP"	"RB"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"ever"	"try"	"to"	"reason"	"with"	"an"	"eskimo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"was"	")"	"technique"	"."	"technique_was"	"was_)"	")_."	"this_technique_was"	"technique_was_)"	"was_)_."	")_._∅"	"DT"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"alcohol"	"ingestion"	"succeed"	"in"	"change"	"immobility"	"to"	"mobility"	"quite"	"strikingly"	"in"	"pilot"	"subject"	"the"	"only"	"one"	"with"	"whom"	"this"	"technique"	"was"	"try"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	","	"to"	"street"	"make"	"street_,"	",_to"	"to_make"	"city_street_,"	"street_,_to"	",_to_make"	"to_make_himself"	"NN"	"NN"	"ε"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"of"	"the"	"hardest"	"chores"	"a"	"detective"	"be"	"hang_around"	"on"	"a"	"city"	"street"	"try"	"to"	"make"	"himself"	"inconspicuous"	"keep_an_eye_on"	"the"	"entrance"	"of"	"an"	"office_building"	"and"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"keep"	"to"	"i"	"get"	"i_keep"	"keep_to"	"to_get"	"∅_i_keep"	"i_keep_to"	"keep_to_get"	"to_get_him"	"ε"	"PRP"	"VB"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"keep"	"try"	"to"	"get"	"him"	"to"	"take"	"my"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"a_bit"	"to"	"hold_up"	"make"	"hold_up_a_bit"	"a_bit_to"	"to_make"	"was_hold_up_a_bit"	"hold_up_a_bit_to"	"a_bit_to_make"	"to_make_a"	"VBD"	"VB"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hold_up"	"a_bit"	"try"	"to"	"make"	"a"	"left"	"turn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"and"	"to"	"loudly"	"drag"	"loudly_and"	"and_to"	"to_drag"	"curse_loudly_and"	"loudly_and_to"	"and_to_drag"	"to_drag_a"	"VB"	"RB"	"CC"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shayne"	"step"	"back"	"to"	"let"	"him"	"slump"	"to"	"the"	"ground"	"and_then"	"dive"	"him"	"through"	"the"	"open_door"	"into"	"harris"	"who"	"was"	"curse"	"loudly"	"and"	"try"	"to"	"drag"	"a"	"gun"	"from"	"a"	"shoulder_holster"	"somewhat"	"impede"	"by"	"the"	"steering_wheel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"to"	"we"	"do"	"we_be"	"be_to"	"to_do"	"what_we_be"	"we_be_to"	"be_to_do"	"to_do_''"	"WP"	"PRP"	"VB"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"call"	"the"	"cuban"	"tractor"	"plan"	"an"	"outright"	"blackmail"	"action"	"and"	"note"	"that"	"in"	"you"	"can"	"n't"	"buy_out"	"yourself"	"out"	"and"	"that"	"be"	"what"	"we"	"be"	"try"	"to"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"to"	"∅"	"run"	"∅_he"	"he_to"	"to_run"	"∅_∅_he"	"∅_he_to"	"he_to_run"	"to_run_after"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"try"	"to"	"run"	"after"	"b"	"dikkat"	"to"	"hug"	"the"	"lead"	"spacesuit"	"to"	"tell"	"b"	"dikkat"	"that"	"he"	"love"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"to"	"∅"	"ask"	"∅_he"	"he_to"	"to_ask"	"∅_∅_he"	"∅_he_to"	"he_to_ask"	"to_ask_the"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"try"	"to"	"ask"	"the"	"lady_da"	"how"	"long"	"they"	"had"	"have"	"the"	"drug"	"and_how"	"much"	"longer"	"they"	"would"	"have"	"to"	"wait"	"before"	"they"	"have"	"it"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
