"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:42:00::"	"and"	","	"smell"	"its"	"smell_and"	"and_,"	",_its"	"really_smell_and"	"smell_and_,"	"and_,_its"	",_its_color"	"RB"	"VB"	"CC"	"VB"	"ε"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"like"	"to"	"sniff"	"a"	"place"	"and"	"what"	"it"	"really"	"smell"	"and"	"look_like"	"its"	"color"	"its"	"particular"	"kind_of"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"``"	"''"	"figure"	"as"	"figure_``"	"``_''"	"''_as"	"ambiguous_figure_``"	"figure_``_''"	"``_''_as"	"''_as_reflect"	"JJ"	"NN"	"ε"	"VB"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"predict"	"that"	"kohnstamm-negative"	"subjects"	"would"	"adhere"	"to"	"liberal"	"concretistic"	"reports"	"of_what"	"the"	"ambiguous"	"figure"	"look_like"	"as"	"reflect"	"their"	"hesitancy"	"about"	"take_a_chance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"it"	"a"	"although"	"routine"	"although_it"	"it_a"	"a_routine"	"∅_although_it"	"although_it_a"	"it_a_routine"	"a_routine_technical"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"look_like"	"a"	"routine"	"technical"	"snapback"	"to"	"wall_streeters"	"it"	"was"	"accompany"	"by"	"some"	"good"	"news"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"idea"	"such"	"the"	"a"	"the_idea"	"idea_such"	"such_a"	"at_first_glance_the_idea"	"the_idea_such"	"idea_such_a"	"such_a_good"	"RB"	"DT"	"NN"	"VB"	"JJ"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trouble"	"be"	"at_first_glance"	"the"	"idea"	"look_like"	"such"	"a"	"good"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"who"	"a"	"teen-ager"	"baby"	"teen-ager_who"	"who_a"	"a_baby"	"a_teen-ager_who"	"teen-ager_who_a"	"who_a_baby"	"a_baby_,"	"DT"	"NN"	"WP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"be"	"in"	"and"	"out"	"of"	"my"	"house"	"for"	"a"	"years"	"now"	"although"	"she"	"be"	"still"	"a"	"teen-ager"	"who"	"look_like"	"a"	"baby"	"she"	"is"	"get_married"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"cdc"	"a"	"the"	"rather"	"the_cdc"	"cdc_a"	"a_rather"	",_the_cdc"	"the_cdc_a"	"cdc_a_rather"	"a_rather_stalwart"	"ε"	"DT"	"NNP"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"view"	"from"	"the"	"cdc"	"look_like"	"a"	"rather"	"stalwart"	"political"	"pyramid"	"its"	"elected"	"directorate"	"fan_out"	"into"	"an"	"array"	"of"	"district"	"leaders"	"and"	"standing_committees"	"and"	"thence"	"into"	"its"	"component"	"clubs"	"and"	"affiliated"	"groups"	"or_so"	
"2:42:00::"	"would"	"this"	"equation"	":"	"equation_would"	"would_this"	"this_:"	"the_equation_would"	"equation_would_this"	"would_this_:"	"this_:_*"	"DT"	"NN"	"MD"	"VB"	"DT"	"ε"	"ε"	"car"	"speed"	"for"	"a"	"given"	"combination"	"of"	"engine"	"speed"	"gear"	"ratio"	"and"	"tire"	"size"	"the"	"formula"	"be"	"f"	"for"	"an"	"engine"	"speed"	"of"	"rpm"	"a"	"gear"	"ratio"	"of"	"to"	"a"	"tire"	"radius"	"of"	"inches"	"the"	"equation"	"would"	"look_like"	"this"	"to"	"determine"	"engine"	"speed"	"for"	"a"	"given"	"combination"	"of"	"the"	"three"	"factors"	"the"	"formula"	"be"	"f"	"use"	"the"	"same"	"figures"	"as"	"for"	"the"	"previous"	"example"	"the"	"equation"	"become"	"0"	"0"	
"2:42:00::"	"it"	"umbrella"	"that"	"rib"	"that_it"	"it_umbrella"	"umbrella_rib"	"so_that_it"	"that_it_umbrella"	"it_umbrella_rib"	"umbrella_rib_cling"	"RB"	"RB"	"PRP"	"VB"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lieutenant"	"sparse"	"brown"	"hair"	"be"	"heavily"	"pomaded"	"and"	"as"	"person"	"rake"	"the"	"through"	"it"	"it"	"stick"	"together"	"in"	"thatch"	"so"	"that"	"it"	"look_like"	"umbrella"	"rib"	"cling"	"to"	"his"	"pink"	"skull"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"person"	"a"	"∅"	"heavy"	"∅_person"	"person_a"	"a_heavy"	"∅_∅_person"	"∅_person_a"	"person_a_heavy"	"a_heavy_person"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"look_like"	"a"	"heavy"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"must"	"gigantic"	"ours"	"tube-nosed_fruit_bat"	"ours_must"	"must_gigantic"	"gigantic_tube-nosed_fruit_bat"	"than_ours_must"	"ours_must_gigantic"	"must_gigantic_tube-nosed_fruit_bat"	"gigantic_tube-nosed_fruit_bat_."	"IN"	"PRP"	"MD"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"human"	"ego"	"be"	"what"	"it"	"be"	"i"	"put_in"	"science_fiction"	"has"	"always"	"assume"	"that"	"the"	"on"	"the"	"planet"	"of"	"a_thousand"	"larger"	"solar_system"	"than"	"ours"	"must"	"look_like"	"gigantic"	"tube-nosed_fruit_bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
