"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:40:01::"	"or"	"too"	"too_soon"	"long"	"too_soon_or"	"or_too"	"too_long"	"lose_too_soon_or"	"too_soon_or_too"	"or_too_long"	"too_long_."	"VB"	"RB"	"CC"	"VB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"malocclusion"	"can"	"also"	"result"	"if"	"teeth"	"are"	"lose"	"too_soon"	"or"	"retain"	"too"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"version"	","	"new"	"however"	"new_version"	"version_,"	",_however"	"the_new_version"	"new_version_,"	"version_,_however"	",_however_,"	"DT"	"JJ"	"NN"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"second"	"and"	"third"	"of"	"revelation"	"the"	"new"	"version"	"retain"	"however"	"the"	"old"	"phrase"	"angel"	"of"	"the"	"church"	"which"	"biblical"	"scholars"	"have"	"previously"	"interpret"	"as"	"mean"	"bishop"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"are"	","	"who"	"not"	"who_are"	"are_,"	",_not"	"and_who_are"	"who_are_,"	"are_,_not"	",_not_because"	"CC"	"WP"	"VBP"	"VB"	"ε"	"RB"	"IN"	"a"	"lawyer"	"and"	"a"	"man"	"of"	"long"	"service"	"in"	"government"	"speak"	"with"	"rich"	"background"	"and"	"experience"	"when"	"he"	"say"	"in"	"an"	"address"	"here"	"that"	"lawyers"	"ought"	"to"	"quit"	"sit"	"in"	"the"	"missouri"	"general_assembly"	"or"	"quit"	"accept"	"fees"	"from"	"individuals"	"and"	"corporations"	"who"	"have"	"controversies"	"with"	"or"	"axes_to_grind"	"with"	"the"	"government"	"who"	"are"	"not"	"because"	"of"	"their"	"legal"	"talents"	"but"	"because"	"of"	"their"	"government"	"influence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"that"	"the_most"	"manner"	"nutrients"	"manner_that"	"that_the_most"	"the_most_nutrients"	"a_manner_that"	"manner_that_the_most"	"that_the_most_nutrients"	"the_most_nutrients_,"	"DT"	"NN"	"WDT"	"VB"	"RB"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"the"	"food"	"is"	"select"	"with"	"thought"	"for"	"its"	"nutritional"	"value"	"for"	"its"	"origin"	"and"	"prepare"	"in"	"a"	"manner"	"that"	"retain"	"the_most"	"nutrients"	"the"	"food"	"does"	"taste"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"controller"	"his"	"the"	"essential"	"the_controller"	"controller_his"	"his_essential"	"∅_the_controller"	"the_controller_his"	"controller_his_essential"	"his_essential_``"	"ε"	"DT"	"NNP"	"VB"	"PRP$"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"controller"	"retain"	"his"	"essential"	"fiscal"	"watchdog"	"functions"	"his"	"broad"	"but"	"little"	"use"	"investigative"	"powers"	"are"	"confirm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"while"	"membership"	","	"in"	",_while"	"while_membership"	"membership_in"	"presidents_,_while"	",_while_membership"	"while_membership_in"	"membership_in_the"	"NNS"	"ε"	"IN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"borough"	"while"	"retain"	"membership"	"in"	"the"	"board"	"of"	"estimate"	"lose"	"their"	"housekeeping"	"functions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"has"	"unimpaired"	"thurber"	"his"	"thurber_has"	"has_unimpaired"	"unimpaired_his"	")_thurber_has"	"thurber_has_unimpaired"	"has_unimpaired_his"	"unimpaired_his_vision"	"ε"	"NNP"	"VBZ"	"VB"	"JJ"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"no_longer"	"able"	"to"	"turn_out"	"his"	"protoplasmic"	"pen-and-ink"	"sketches"	"several"	"favorites"	"be"	"scattered"	"through"	"the"	"present"	"volume"	"thurber"	"has"	"retain"	"unimpaired"	"his"	"vision"	"of"	"humor"	"as"	"a"	"thing"	"of"	"simple"	"unaffected"	"humanness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"we"	"our"	"do"	"personal"	"do_we"	"we_our"	"our_personal"	"how_do_we"	"do_we_our"	"we_our_personal"	"our_personal_relationship"	"WRB"	"VBP"	"PRP"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"to"	"me"	"that"	"n._c."	"in"	"his"	"editorial"	"confrontation"	"sr"	"mar."	"has"	"hit"	"upon"	"the"	"real"	"problem"	"bother"	"all_of"	"us"	"in"	"a"	"complex"	"world"	"how"	"do"	"we"	"retain"	"our"	"personal"	"relationship"	"with"	"those"	"who"	"suffer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"spot"	"the"	"∅"	"same"	"∅_spot"	"spot_the"	"the_same"	"∅_∅_spot"	"∅_spot_the"	"spot_the_same"	"the_same_decor"	"ε"	"ε"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"retain"	"the"	"same"	"decor"	"although"	"crystal"	"chandeliers"	"have"	"been"	"install"	"above"	"the"	"terrace"	"dining_area"	"and"	"the"	"kitchen"	"has"	"undergo"	"a"	"remodel"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"would"	"two"	"he"	"member"	"he_would"	"would_two"	"two_member"	"say_he_would"	"he_would_two"	"would_two_member"	"two_member_of"	"VB"	"PRP"	"MD"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"appointment"	"was"	"announce"	"at"	"a"	"at"	"which"	"person"	"say"	"he"	"would"	"retain"	"two"	"member"	"of"	"person"	"staff"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
