"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"
"3:01:00::"	"share"	"facility"	"you"	"and"	"you_share"	"share_facility"	"facility_and"	"can_you_share"	"you_share_facility"	"share_facility_and"	"facility_and_staff"	"MD"	"PRP"	"VB"	"JJ"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"can"	"share"	"medical"	"facility"	"and"	"staff"	"with"	"neighboring"	"plant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"unnecessary"	"services"	"offer"	"-"	"offer_unnecessary"	"unnecessary_services"	"services_-"	"indiscriminately_offer_unnecessary"	"offer_unnecessary_services"	"unnecessary_services_-"	"services_-_flu"	"RB"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"offer"	"unnecessary"	"medical"	"services"	"flu"	"shot"	"sun"	"lamp"	"treatment"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	","	"director"	"person"	"of"	"person_,"	",_director"	"director_of"	"declare_person_,"	"person_,_director"	",_director_of"	"director_of_the"	"VB"	"NNP"	"ε"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sexual_relationship"	"does"	"not"	"exist"	"in"	"vacuum"	"declare"	"person"	"medical"	"director"	"of"	"the"	"group"	"and"	"author"	"of"	"the"	"recent"	"book"	"release"	"from"	"sexual"	"tensions"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"so-called"	","	"the"	"eugenic"	"the_so-called"	"so-called_,"	",_eugenic"	"in_the_so-called"	"the_so-called_,"	"so-called_,_eugenic"	",_eugenic_,"	"IN"	"DT"	"JJ"	"JJ"	"ε"	"JJ"	"ε"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"the"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"eugenic"	"economic"	"and"	"social"	"indication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"title"	"∅"	"of"	"∅_the"	"the_title"	"title_of"	"∅_∅_the"	"∅_the_title"	"the_title_of"	"title_of_``"	"ε"	"ε"	"DT"	"JJ"	"NN"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"medical"	"title"	"of"	"lobar_ventilation_in_man"	"by"	"person"	"and"	"person"	"cover"	"a"	"brief"	"paper"	"which"	"be"	"one"	"part"	"of"	"a"	"much"	"larger"	"effort"	"to"	"apply"	"electronics"	"to"	"the"	"study"	"of"	"the"	"respiratory"	"process"	
"3:01:00::"	"a"	"certificate"	"you"	","	"you_a"	"a_certificate"	"certificate_,"	"give_you_a"	"you_a_certificate"	"a_certificate_,"	"certificate_,_frame"	"VB"	"PRP"	"DT"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"give"	"a"	"medical"	"certificate"	"frame"	"if"	"you"	"like"	"person"	"had"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"vicious"	"con_game"	"a"	","	"a_vicious"	"vicious_con_game"	"con_game_,"	"carry_out_a_vicious"	"a_vicious_con_game"	"vicious_con_game_,"	"con_game_,_capitalize"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"these"	"gadget"	"impressive"	"to"	"the"	"gullible"	"because"	"of"	"their"	"flash"	"tick"	"and"	"buzz"	"he"	"then"	"carry_out"	"a"	"vicious"	"medical"	"con_game"	"capitalize"	"on"	"people"	"respect"	"for"	"the"	"electrical"	"and"	"atomic"	"wonder"	"of"	"our"	"scientific"	"age"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"device"	"∅"	"pirate"	"∅_the"	"the_device"	"device_pirate"	"∅_∅_the"	"∅_the_device"	"the_device_pirate"	"device_pirate_of"	"ε"	"ε"	"DT"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"medical"	"device"	"pirate"	"of"	"today"	"of_course"	"be"	"a"	"far"	"more"	"sophisticated"	"operator"	"than"	"his"	"predecessor"	"of"	"yesteryear"	"the"	"gallus"	"snap"	"hawker"	"of"	"snake_oil"	"and"	"patent_medicine"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"to"	"charlatan"	"pay"	"annually"	"pay_to"	"to_charlatan"	"charlatan_annually"	"or_so_pay_to"	"pay_to_charlatan"	"to_charlatan_annually"	"charlatan_annually_."	"RB"	"VB"	"TO"	"JJ"	"NN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"why"	"the"	"group"	"the"	"group"	"group"	"and"	"the"	"person"	"group"	"have"	"estimate"	"the"	"toll"	"of"	"mechanical"	"quackery"	"to"	"be"	"a"	"substantial"	"portion"	"of"	"the"	"million"	"pay"	"to"	"medical"	"charlatan"	"annually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"racketeer"	"of"	"."	"of_the"	"the_racketeer"	"racketeer_."	"loot_of_the"	"of_the_racketeer"	"the_racketeer_."	"racketeer_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"authorities"	"hesitate"	"to"	"quote"	"exact"	"figure"	"however"	"believe"	"that"	"any"	"sum"	"they"	"come_up"	"with"	"be"	"a"	"surface"	"manifestation"	"turn_up"	"by"	"their"	"inevitably"	"limit"	"police"	"the"	"real"	"loot"	"of"	"the"	"medical"	"racketeer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
