"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"1:04:00::"	"at"	"'s"	"shot"	"world"	"shot_at"	"at_'s"	"'s_world"	"1961_shot_at"	"shot_at_'s"	"at_'s_world"	"'s_world_champion"	"CD"	"NN"	"IN"	"NN"	"POS"	"NN"	"NN"	"o'clock"	"the"	"group"	"who"	"give"	"the"	"group"	"as"	"much"	"trouble"	"as"	"anyone"	"did"	"in"	"break_even"	"with"	"them"	"will"	"get"	"first"	"shot"	"at"	"baseball"	"champion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"man"	"that"	"agree"	"that_,"	",_man"	"man_agree"	"ability_that_,"	"that_,_man"	",_man_agree"	"man_agree_,"	"NN"	"RB"	"ε"	"NN"	"NN"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"person"	"both"	"year"	"man"	"at"	"have"	"much"	"ability"	"that"	"baseball"	"man"	"agree"	"they"	"never"	"hit"	"the"	"height"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"play"	"."	"through"	"∅"	"through_play"	"play_."	"._∅"	"be_through_play"	"through_play_."	"play_._∅"	"._∅_∅"	"VB"	"IN"	"VB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"outfielder"	"person"	"say"	"night"	"he"	"be"	"through"	"play"	"baseball"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	","	"writer"	"person"	"for"	"person_,"	",_writer"	"writer_for"	"be_person_,"	"person_,_writer"	",_writer_for"	"writer_for_the"	"VB"	"NNP"	"ε"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"baseball"	"writer"	"for"	"the"	"group"	"who"	"quote"	"person"	"as"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"seem"	"might"	"it"	"be"	"it_seem"	"seem_might"	"might_be"	"when_it_seem"	"it_seem_might"	"seem_might_be"	"might_be_lose"	"WRB"	"PRP"	"VB"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"just"	"it"	"seem"	"baseball"	"might"	"be"	"lose"	"its"	"grip"	"on"	"the"	"masses"	"pop_up"	"pop"	"heroics"	"to"	"start"	"millions"	"of"	"tongue"	"to"	"wag"	"0"	
"1:04:00::"	"that"	"rightfully"	"fact"	"be"	"fact_that"	"that_rightfully"	"rightfully_be"	"the_fact_that"	"fact_that_rightfully"	"that_rightfully_be"	"rightfully_be_the"	"DT"	"NN"	"IN"	"NN"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"of_course"	"be"	"remarkable"	"feat"	"and"	"emboss"	"the"	"fact"	"that"	"baseball"	"rightfully"	"be"	"the"	"national"	"pastime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"televise"	"30_minutes"	"of"	"before"	"of_televise"	"televise_30_minutes"	"30_minutes_before"	"blackout_of_televise"	"of_televise_30_minutes"	"televise_30_minutes_before"	"30_minutes_before_the"	"NN"	"IN"	"VB"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rule"	"provide_for"	"blackout"	"of"	"televise"	"baseball"	"before"	"the"	"start"	"of"	"a"	"major_league"	"or"	"minor_league"	"game"	"in"	"any"	"area"	"come"	"from"	"the"	"game"	"top"	"ruler"	
"1:04:00::"	"does"	"more"	"that"	"harm"	"that_does"	"does_more"	"more_harm"	"rule_that_does"	"that_does_more"	"does_more_harm"	"more_harm_than"	"NN"	"WDT"	"VBZ"	"NN"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"an"	"rule"	"that"	"does"	"baseball"	"more"	"harm"	"than"	"good"	"especially"	"at"	"the"	"minor_league"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"to"	"and"	"service"	"will"	"service_to"	"to_and"	"and_will"	"meritorious_service_to"	"service_to_and"	"to_and_will"	"and_will_get"	"JJ"	"NN"	"TO"	"NN"	"CC"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"will"	"be"	"recognize"	"his"	"meritorious"	"service"	"to"	"baseball"	"and"	"will"	"get"	"the"	"william_j._slocum_memorial_award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"lampoon"	"personality"	"will"	"in"	"will_lampoon"	"lampoon_personality"	"personality_in"	"writer_will_lampoon"	"will_lampoon_personality"	"lampoon_personality_in"	"personality_in_skit"	"NN"	"MD"	"VB"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"crowd"	"of"	"is"	"expect"	"the"	"ceremony"	"which"	"will"	"be"	"follow"	"by"	"the"	"in"	"which"	"the"	"writer"	"will"	"lampoon"	"baseball"	"personality"	"in"	"skit"	"dance"	"and"	"song"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
