"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"
"1:10:02::"	"reserve"	"of_it"	"will"	"for"	"will_reserve"	"reserve_of_it"	"of_it_for"	"i_will_reserve"	"will_reserve_of_it"	"reserve_of_it_for"	"of_it_for_a"	"PRP"	"MD"	"VB"	"NN"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"reserve"	"discussion"	"of_it"	"for"	"a"	"moment"	"however"	"to"	"return"	"to"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"or"	"?"	"meeting"	"∅"	"meeting_or"	"or_?"	"?_∅"	"company_meeting_or"	"meeting_or_?"	"or_?_∅"	"?_∅_∅"	"NN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"utilize"	"cafeteria"	"for"	"company"	"meeting"	"or"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"free"	"?"	"of"	"∅"	"of_free"	"free_?"	"?_∅"	"instrument_of_free"	"of_free_?"	"free_?_∅"	"?_∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"of"	"the"	"efficiency"	"this"	"natural"	"instrument"	"of"	"free"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	","	"freedom_of_thought"	"the"	"freedom_of_thought_and"	"and_,"	",_the"	"that_freedom_of_thought_and"	"freedom_of_thought_and_,"	"and_,_the"	",_the_unfettered"	"IN"	"NN"	"CC"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"remind"	"however"	"freedom_of_thought"	"and"	"discussion"	"the"	"unfettered"	"exchange"	"of"	"idea"	"be"	"basic"	"under"	"our"	"form_of_government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"free"	"and"	"that"	"debate"	"that_free"	"free_and"	"and_debate"	",_that_free"	"that_free_and"	"free_and_debate"	"and_debate_have"	"ε"	"IN"	"JJ"	"NN"	"CC"	"NN"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"must_not"	"forget"	"that"	"free"	"discussion"	"and"	"debate"	"have"	"produce"	"beneficial"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"any"	"can"	"and"	"be"	"and_any"	"any_can"	"can_be"	"available_and_any"	"and_any_can"	"any_can_be"	"can_be_shorten"	"JJ"	"CC"	"DT"	"NN"	"MD"	"VB"	"VB"	"field"	"of"	"the"	"natural_science"	"scientifically"	"verify"	"data"	"be"	"quite"	"readily"	"available"	"and"	"can"	"be"	"shorten"	"with"	"good"	"result"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"following"	"of_this"	"the"	"subject"	"the_following"	"following_of_this"	"of_this_subject"	"∅_the_following"	"the_following_of_this"	"following_of_this_subject"	"of_this_subject_has"	"ε"	"DT"	"JJ"	"NN"	"RB"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"following"	"discussion"	"of_this"	"subject"	"has"	"been"	"adapt"	"from"	"the"	"book"	"causes_of_catastrophe"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"political"	"."	"and"	"∅"	"and_political"	"political_."	"._∅"	"university_and_political"	"and_political_."	"political_._∅"	"._∅_∅"	"NN"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"person"	"return"	"in"	"and"	"resume"	"active"	"part"	"in"	"and"	"political"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"this"	"the"	"for"	"most"	"for_this"	"this_the"	"the_most"	"but_for_this"	"for_this_the"	"this_the_most"	"the_most_important"	"CC"	"IN"	"DT"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"of_course"	"many"	"but"	"for"	"this"	"discussion"	"the"	"most"	"important"	"division"	"be"	"between"	"those"	"who"	"have"	"been"	"reconstruct"	"and"	"those"	"who"	"have"	"n't"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"∅"	"of"	"∅"	"the"	"∅_∅"	"∅_of"	"of_the"	"∅_∅_∅"	"∅_∅_of"	"∅_of_the"	"of_the_giant"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"giant"	"one_by_one"	"will"	"include"	"as_far_as_possible"	"data"	"on"	"these"	"aspect"	"of"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"electoral"	"raise"	"the"	"fundamental"	"the_electoral"	"electoral_raise"	"raise_fundamental"	"beginning_the_electoral"	"the_electoral_raise"	"electoral_raise_fundamental"	"raise_fundamental_issue"	"NN"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"the"	"beginning"	"the"	"electoral"	"discussion"	"raise"	"fundamental"	"issue"	"in"	"moroccan"	"politics"	"precisely"	"the"	"type"	"of"	"question"	"that"	"be"	"most"	"difficult"	"to"	"resolve"	"in"	"the"	"new"	"government"	
"1:10:00::"	"some"	"."	"merit"	"∅"	"merit_some"	"some_."	"._∅"	"disease_merit_some"	"merit_some_."	"some_._∅"	"._∅_∅"	"NN"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"question"	"of"	"disease"	"merit"	"some"	"discussion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
