"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:40:01::"	","	"responsibility"	"demand"	"for"	"demand_,"	",_responsibility"	"responsibility_for"	"opponents_demand_,"	"demand_,_responsibility"	",_responsibility_for"	"responsibility_for_his"	"NNS"	"VB"	"ε"	"VB"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mayor_robert_f._wagner"	"must"	"as"	"opponents"	"demand"	"assume"	"responsibility"	"for"	"his"	"performance"	"in"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"writings"	"that"	"recent"	"the"	"recent_writings"	"writings_that"	"that_the"	"some_recent_writings"	"recent_writings_that"	"writings_that_the"	"that_the_ignorant"	"DT"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"writings"	"assume"	"that"	"the"	"ignorant"	"young"	"couples"	"be"	"a"	"thing"	"of"	"the"	"remote"	"victorian"	"past"	"that"	"nowadays"	"all"	"honeymooners"	"be"	"thoroughly"	"familiar_with"	"the"	"best"	"sex-manuals"	"and"	"know"	"enough"	"from"	"talk"	"with"	"friends"	"and"	"personal"	"experimentation"	"to"	"take"	"all"	"the"	"anxiety"	"and"	"hazards"	"out"	"of"	"the"	"situation"	
"2:41:00::"	"often"	"a"	"dwight_d._eisenhower"	"role"	"dwight_d._eisenhower_often"	"often_a"	"a_role"	",_dwight_d._eisenhower_often"	"dwight_d._eisenhower_often_a"	"often_a_role"	"a_role_aloof"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"president"	"often"	"assume"	"a"	"role"	"aloof"	"from"	"the"	"strife"	"of"	"partisan"	"politics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"the"	"∅"	"lower"	"∅_∅"	"∅_the"	"the_lower"	"∅_∅_∅"	"∅_∅_the"	"∅_the_lower"	"the_lower_figure"	"ε"	"ε"	"ε"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lower"	"figure"	"for"	"the"	"big"	"blast"	"and"	"one_shot"	"estimate"	"by"	"the"	"japanese"	"at"	"megatons"	"a"	"conservative"	"computation"	"be"	"that"	"the"	"announced"	"tests"	"produce"	"a"	"total"	"yield"	"of"	"at_least"	"megatons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"had"	"that"	"we"	"at_least"	"we_had"	"had_that"	"that_at_least"	"∅_we_had"	"we_had_that"	"had_that_at_least"	"that_at_least_this"	"ε"	"PRP"	"VBD"	"VB"	"IN"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"assume"	"that"	"at_least"	"this"	"local"	"legislative"	"body"	"have"	"nothing"	"to"	"hide"	"and"	"therefore"	"have"	"no"	"objections"	"to"	"make"	"the"	"deliberations"	"of"	"its"	"committees"	"and"	"the"	"city"	"commissions"	"available"	"to"	"the"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"has"	"as"	"emory_university"	"its"	"emory_university_has"	"has_as"	"as_its"	"``_emory_university_has"	"emory_university_has_as"	"has_as_its"	"as_its_primary"	"ε"	"NNP"	"VBZ"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"its"	"beginning"	"the"	"trustees"	"statement"	"say"	"emory_university"	"has"	"assume"	"as"	"its"	"primary"	"commitment"	"a"	"dedication"	"to"	"excellence"	"in"	"christian"	"higher"	"learning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"proudly"	"the"	"beat_generation"	"title"	"beat_generation_proudly"	"proudly_the"	"the_title"	"the_beat_generation_proudly"	"beat_generation_proudly_the"	"proudly_the_title"	"the_title_of"	"DT"	"NN"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"be"	"why"	"the"	"of"	"the"	"beat_generation"	"proudly"	"assume"	"the"	"title"	"of"	"the"	"holy"	"barbarians"	"they"	"will"	"destroy"	"the"	"shrines"	"temples"	"museums"	"and"	"churches"	"of"	"the"	"state"	"that"	"be"	"the"	"implacable"	"enemy"	"of"	"the"	"life"	"they"	"believe_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"∅"	"the"	"∅"	"weather"	"∅_∅"	"∅_the"	"the_weather"	"∅_∅_∅"	"∅_∅_the"	"∅_the_weather"	"the_weather_be"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"weather"	"be"	"halfway"	"decent"	"that"	"day"	"hundreds"	"of"	"thousands"	"of"	"persons"	"will"	"mass"	"along"	"this"	"thoroughfare"	"as"	"president_john_f._kennedy"	"and"	"retiring"	"president_dwight_d._eisenhower"	"leave"	"capitol_hill"	"following"	"the"	"oath-taking"	"ceremonies"	"and"	"ride"	"down"	"this"	"historic"	"ceremonial"	"route"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"women"	"some"	"neighbor"	"of"	"neighbor_women"	"women_some"	"some_of"	"while_neighbor_women"	"neighbor_women_some"	"women_some_of"	"some_of_the"	"IN"	"NN"	"NNS"	"VB"	"DT"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"women"	"assume"	"some"	"of"	"the"	"dead"	"mother"	"duties"	"fund-raising"	"events"	"were"	"being"	"plan"	"by"	"a"	"homeowners"	"association"	"and"	"a"	"student"	"council"	"for"	"the"	"hard-hit"	"henry_kowalski"	"family"	"viceroy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"government"	"authority"	"belgian"	"for"	"belgian_government"	"government_authority"	"authority_for"	"the_belgian_government"	"belgian_government_authority"	"government_authority_for"	"authority_for_the"	"DT"	"JJ"	"NN"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"royal"	"decree"	"issue"	"in"	"two"	"after"	"the"	"belgian"	"government"	"assume"	"authority"	"for"	"the"	"administration"	"of"	"the"	"congo"	"prescribe"	"the"	"registration"	"of"	"all"	"adult_males"	"by"	"chiefdoms"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
