"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"1:08:00::"	"the"	"of"	"across"	"the"	"across_the"	"the_of"	"of_the"	"goad_across_the"	"across_the_of"	"the_of_the"	"of_the_oxen"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"extend"	"his"	"high-stepped"	"stride"	"until"	"could"	"lay"	"his"	"goad"	"across"	"the"	"nose"	"of"	"the"	"oxen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"long"	"wiggle"	"his"	"at"	"his_long"	"long_wiggle"	"wiggle_at"	"∅_his_long"	"his_long_wiggle"	"long_wiggle_at"	"wiggle_at_the"	"ε"	"PRP$"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"nose"	"wiggle"	"at"	"the"	"smell"	"of"	"frizzle"	"bacon"	"and"	"heating"	"java"	"but"	"the"	"fire"	"be"	"low"	"and"	"he"	"want"	"to"	"waste"	"no"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"long"	"unexpectedly"	"'s"	"wrinkle"	"'s_long"	"long_unexpectedly"	"unexpectedly_wrinkle"	"person_'s_long"	"'s_long_unexpectedly"	"long_unexpectedly_wrinkle"	"unexpectedly_wrinkle_up"	"NNP"	"POS"	"JJ"	"NN"	"RB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"nose"	"unexpectedly"	"wrinkle"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"at"	"∅"	"at_his"	"his_."	"._∅"	"dab_at_his"	"at_his_."	"his_._∅"	"._∅_∅"	"VB"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"person"	"idea"	"person"	"mumble"	"at"	"his"	"nose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"its"	"threaten"	","	"by"	",_its"	"its_threaten"	"threaten_by"	"appear_,_its"	",_its_threaten"	"its_threaten_by"	"threaten_by_shard"	"VB"	"ε"	"PRP$"	"NN"	"VB"	"IN"	"NN"	"person"	"drive"	"off"	"when"	"a"	"rusty"	"pickup"	"truck"	"father"	"or"	"grandfather"	"of"	"senor"	"person"	"ford"	"sedan"	"come"	"screech"	"to"	"a"	"dust"	"swirling"	"stop"	"and"	"brown"	"face"	"appear"	"its"	"nose"	"by"	"shard"	"of_what"	"had"	"once"	"be"	"the"	"side"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	"in"	"scratch"	"the"	"scratch_her"	"her_in"	"in_the"	"is_scratch_her"	"scratch_her_in"	"her_in_the"	"in_the_rain"	"VBZ"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"word"	"ran"	"crazily"	"in"	"head"	"person"	"is"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	","	"scratch"	"scratch"	"scratch_her"	"her_,"	",_scratch"	"is_scratch_her"	"scratch_her_,"	"her_,_scratch"	",_scratch_her"	"VBZ"	"VB"	"PRP$"	"NN"	"ε"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"the"	"word"	"fall_into"	"a"	"person"	"is"	"scratch"	"her"	"nose"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	"in"	"scratch"	"the"	"scratch_her"	"her_in"	"in_the"	",_scratch_her"	"scratch_her_in"	"her_in_the"	"in_the_rain"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"the"	"word"	"fall_into"	"a"	"pattern"	"person"	"scratch"	"her"	"nose"	"scratch"	"her"	"nose"	"in"	"the"	"rain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"apparatus_in_the"	"in_the_of"	"the_of_the"	"of_the_ship"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"year"	"later"	"the"	"counting"	"apparatus"	"in"	"the"	"nose"	"of"	"the"	"ship"	"would"	"determine"	"that"	"the"	"star"	"be"	"close"	"enough"	"to"	"actuate"	"deceleration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"a"	"roar"	"of"	"."	"of_a"	"a_roar"	"roar_."	"blob_of_a"	"of_a_roar"	"a_roar_."	"roar_._∅"	"NN"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arianist"	"a"	"rowdy"	"with"	"a"	"blob"	"of"	"a"	"nose"	"roar"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
