"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"1:23:00::"	"fig"	"show"	"in"	"how"	"in_fig"	"fig_show"	"show_how"	"illustration_in_fig"	"in_fig_show"	"fig_show_how"	"show_how_to"	"NN"	"IN"	"NN"	"NN"	"VB"	"WRB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"in"	"fig"	"show"	"how"	"to"	"lay"	"a"	"concrete"	"block"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"section"	"of_this"	"by"	"title"	"by_section"	"section_of_this"	"of_this_title"	"prescribe_by_section"	"by_section_of_this"	"section_of_this_title"	"of_this_title_,"	"VB"	"IN"	"NN"	"JJ"	"RB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"subject"	"to"	"the"	"limitation"	"hereinafter"	"provide"	"the"	"secretary_of_the_treasury"	"is"	"authorize"	"and"	"direct"	"pay"	"as"	"prescribe"	"by"	"section"	"of_this"	"title"	"an"	"amount"	"not"	"exceed"	"the"	"principal"	"of"	"each"	"award"	"plus"	"accrue"	"interest"	"on"	"such"	"award"	"as"	"bear"	"interest"	"certified"	"pursuant"	"to"	"section"	"of_this"	"title"	"in"	"accordance"	"with"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"section"	","	"of"	"as"	"of_section"	"section_,"	",_as"	")_of_section"	"of_section_,"	"section_,_as"	",_as_reimbursement"	"ε"	"IN"	"NN"	"JJ"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"shall"	"be"	"deducted"	"from"	"the"	"amount"	"of"	"each"	"payment"	"make"	"to"	"subsection"	"c"	"of"	"section"	"as"	"reimbursement"	"for"	"the"	"expense"	"incur"	"by"	"the"	"united_states"	"an"	"amount"	"equal"	"to"	"per_centum"	"of"	"such"	"payment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"title"	","	","	"of"	",_title"	"title_,"	",_of"	"1958_,_title"	",_title_,"	"title_,_of"	",_of_which"	"CD"	"ε"	"NN"	"JJ"	"ε"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"latest"	"major"	"change"	"in"	"this"	"program"	"introduce"	"by"	"the"	"national_defense_education_act"	"of"	"title"	"of"	"which"	"amend"	"the"	"george-barden_act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"title"	","	"the"	"program"	"the_title"	"title_,"	",_program"	"∅_the_title"	"the_title_,"	"title_,_program"	",_program_of"	"ε"	"DT"	"NN"	"JJ"	"ε"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"title"	"program"	"of"	"the"	"national_defense_education_act"	"of"	"be"	"a"	"great"	"spur"	"to"	"this"	"trend"	"toward"	"area"	"school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"page"	"to"	"on"	"14"	"on_page"	"page_to"	"to_14"	"information_on_page"	"on_page_to"	"page_to_14"	"to_14_may"	"NN"	"IN"	"NN"	"JJ"	"TO"	"JJ"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"information"	"page"	"to"	"may"	"help"	"you"	"in"	"decide"	"on"	"the"	"kind"	"and"	"scale"	"of"	"your"	"farming"	"venture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"item"	"above"	"in"	","	"in_item"	"item_above"	"above_,"	"obtain_in_item"	"in_item_above"	"item_above_,"	"above_,_for"	"VB"	"IN"	"NN"	"JJ"	"RB"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"sum"	"of"	"product"	"obtain"	"in"	"item"	"above"	"for"	"all"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"an"	"-"	"rack"	"channel"	"rack_an"	"an_-"	"-_channel"	"center_rack_an"	"rack_an_-"	"an_-_channel"	"-_channel_recorder"	"JJ"	"NN"	"DT"	"JJ"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	
"5:00:00:cardinal:00"	"fig"	"with"	"in"	"the"	"in_fig"	"fig_with"	"with_the"	"show_in_fig"	"in_fig_with"	"fig_with_the"	"with_the_various"	"VB"	"IN"	"NN"	"JJ"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"cross_section"	"of"	"a"	"normal"	"human"	"leg"	"is"	"show"	"in"	"fig"	"with"	"the"	"various"	"part"	"label"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"compare"	"mon-khmer"	"which"	"language"	"which_compare"	"compare_mon-khmer"	"mon-khmer_language"	",_which_compare"	"which_compare_mon-khmer"	"compare_mon-khmer_language"	"mon-khmer_language_with"	"ε"	"WDT"	"VB"	"JJ"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"i-e"	"language"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
