"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"
"2:30:01::"	"so"	"its"	"if"	"unadjusted"	"if_so"	"so_its"	"its_unadjusted"	"and_if_so"	"if_so_its"	"so_its_unadjusted"	"its_unadjusted_allotment"	"CC"	"IN"	"JJ"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"if"	"the"	"particular"	"state"	"unadjusted"	"allotment"	"result"	"obtain"	"in"	"item"	"above"	"great"	"than"	"its"	"maximum"	"allotment"	"and"	"if"	"so"	"lower"	"its"	"unadjusted"	"allotment"	"to"	"its"	"maximum"	"allotment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:bottom(a):00"	"the"	"center"	"in"	"rack"	"in_the"	"the_center"	"center_rack"	"∅_in_the"	"in_the_center"	"the_center_rack"	"center_rack_an"	"ε"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:bottom(a):00"	"and"	"lobe"	"upper"	"of"	"upper_and"	"and_lobe"	"lobe_of"	"the_upper_and"	"upper_and_lobe"	"and_lobe_of"	"lobe_of_one"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"volume"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:bottom(a):00"	"normal"	"human"	"a"	"leg"	"a_normal"	"normal_human"	"human_leg"	"of_a_normal"	"a_normal_human"	"normal_human_leg"	"human_leg_is"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"cross_section"	"a"	"normal"	"lower"	"human"	"leg"	"is"	"show"	"in"	"fig"	"with"	"the"	"various"	"part"	"label"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"his"	","	"head"	",_person"	"person_his"	"his_head"	"cabin_,_person"	",_person_his"	"person_his_head"	"his_head_into"	"NN"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"he"	"be"	"alone"	"in"	"the"	"cabin"	"person"	"lower"	"his"	"head"	"into"	"his"	"arm"	"and"	"weep"	"for"	"he"	"know"	"full"	"well"	"what"	"must"	"be"	"do"	"what"	"in_the_end"	"would"	"be"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"carefully"	"my"	"but"	"duffel_bag"	"but_carefully"	"carefully_my"	"my_duffel_bag"	"quickly_but_carefully"	"but_carefully_my"	"carefully_my_duffel_bag"	"my_duffel_bag_over"	"RB"	"CC"	"RB"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quickly"	"carefully"	"lower"	"my"	"duffel_bag"	"over"	"the"	"low"	"side"	"rack"	"i"	"step_on"	"the"	"running_board"	"it"	"flop"	"down"	"spring"	"back"	"up"	"and"	"gouge"	"my"	"shin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:bottom(a):00"	"the"	"portion"	"in"	"of"	"in_the"	"the_portion"	"portion_of"	"∅_in_the"	"in_the_portion"	"the_portion_of"	"portion_of_each"	"ε"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lower"	"portion"	"of"	"each"	"chart"	"the"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"similarly"	"classify"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	","	"his"	"marksman"	"chance"	"marksman_,"	",_his"	"his_chance"	"the_marksman_,"	"marksman_,_his"	",_his_chance"	"his_chance_of"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"a"	"round"	"of"	"target_practice"	"the"	"sun"	"come"	"behind"	"a"	"cloud"	"and"	"dazzle"	"the"	"marksman"	"lower"	"his"	"chance"	"of"	"a"	"bull's_eye"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"at_last"	"his"	"he"	"arm"	"he_at_last"	"at_last_his"	"his_arm"	"position_he_at_last"	"he_at_last_his"	"at_last_his_arm"	"his_arm_."	"CC"	"PRP"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"not"	"position"	"he"	"at_last"	"lower"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:bottom(a):00"	"the"	"oxygen"	"to"	"atom"	"to_the"	"the_oxygen"	"oxygen_atom"	"close_to_the"	"to_the_oxygen"	"the_oxygen_atom"	"oxygen_atom_."	"JJ"	"TO"	"DT"	"JJ"	"NN"	"NN"	"ε"	"bond"	"be"	"linear"	"then"	"there"	"be"	"three"	"reasonable"	"position"	"the"	"hydrogen_atom"	"the"	"hydrogen_atom"	"be"	"centered"	"and"	"hence"	"all"	"lie"	"on"	"a"	"sheet"	"midway"	"between"	"the"	"oxygen"	"sheet"	"all"	"hydrogen_atom"	"lie"	"on"	"a"	"sheet"	"but"	"the"	"sheet"	"be"	"close"	"to"	"one"	"oxygen"	"sheet"	"than"	"to"	"the"	"other"	"hydrogen_atom"	"be"	"asymmetrically"	"place"	"either"	"randomly"	"or"	"in"	"an"	"ordered"	"way"	"so"	"some"	"hydrogen_atom"	"be"	"close"	"to"	"the"	"upper"	"oxygen"	"atom"	"while"	"be"	"close"	"to"	"the"	"oxygen"	"atom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
