"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"1:24:00::"	"relevant"	"of"	"the"	"my"	"the_relevant"	"relevant_of"	"of_my"	"include_the_relevant"	"the_relevant_of"	"relevant_of_my"	"of_my_newsletter"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"under"	"leave"	"to"	"extend"	"my"	"i"	"include"	"the"	"relevant"	"portion"	"of"	"my"	"newsletter"	"together"	"with"	"the"	"text"	"of"	"the"	"article"	"from"	"the"	"u._s._news_+_world_report"	"0"	"0"	"0"	"0"	
"1:24:00::"	"each"	"of"	"to"	"the"	"to_each"	"each_of"	"of_the"	"give_to_each"	"to_each_of"	"each_of_the"	"of_the_community"	"VB"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"against"	"the"	"tyranny"	"of"	"a"	"numerical"	"majority"	"person"	"develop"	"his"	"theory"	"of"	"concurrent"	"majority"	"which"	"he"	"say"	"by"	"give"	"to"	"each"	"portion"	"the"	"community"	"which"	"may"	"be"	"unequally"	"affected"	"by"	"the"	"action"	"of"	"government"	"a"	"negative"	"on"	"the"	"prevent"	"all"	"partial"	"or"	"local"	"legislation"	
"1:04:00::"	"large"	"of"	"a"	"these"	"a_large"	"large_of"	"of_these"	"that_a_large"	"a_large_of"	"large_of_these"	"of_these_expenditure"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"every"	"taxpayer"	"be"	"well"	"aware"	"of"	"the"	"vast"	"size"	"of"	"our"	"annual"	"defense"	"budget"	"and"	"most"	"of"	"our"	"also"	"realize"	"that"	"a"	"large"	"portion"	"of"	"these"	"expenditure"	"go"	"for"	"military"	"electronics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"any"	"of"	"of"	"the"	"of_any"	"any_of"	"of_the"	"observation_of_any"	"of_any_of"	"any_of_the"	"of_the_electrical"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"high-speed"	"shutter"	"has"	"been"	"develop"	"to"	"permit"	"photographic"	"observation"	"of"	"any"	"portion"	"of"	"the"	"electrical"	"wire"	"explosion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"top"	"of"	"the"	"figure"	"the_top"	"top_of"	"of_figure"	"of_the_top"	"the_top_of"	"top_of_figure"	"of_figure_1"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"the"	"of"	"the"	"top"	"portion"	"of"	"figure"	"and"	"figure"	"were"	"mention"	"in"	"discuss"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"lower"	"of"	"the"	"each"	"the_lower"	"lower_of"	"of_each"	"in_the_lower"	"the_lower_of"	"lower_of_each"	"of_each_chart"	"IN"	"DT"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"lower"	"portion"	"of"	"each"	"chart"	"the"	"skeletal"	"age"	"hand"	"of"	"boy"	"and"	"girl"	"may"	"be"	"similarly"	"classify"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"some"	"of"	"receive"	"these"	"receive_some"	"some_of"	"of_these"	"should_receive_some"	"receive_some_of"	"some_of_these"	"of_these_available"	"MD"	"VB"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nevertheless"	"we"	"feel"	"that"	"in_the_future"	"should"	"receive"	"some"	"portion"	"of"	"these"	"available"	"fund"	"the"	"juror"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"of"	"time"	"the"	"time_a"	"a_of"	"of_the"	"every_time_a"	"time_a_of"	"a_of_the"	"of_the_old"	"JJ"	"NN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"department"	"apparently"	"intend"	"to"	"make"	"the"	"group"	"a"	"revolving_fund"	"which"	"new"	"bond"	"would"	"be"	"issue"	"every"	"time"	"a"	"portion"	"of"	"the"	"old"	"ones"	"are"	"pay_off"	"by"	"tax"	"authorities"	"0"	"0"	"0"	
"1:24:00::"	"diseased"	"of"	"supposedly"	"person"	"supposedly_diseased"	"diseased_of"	"of_person"	"the_supposedly_diseased"	"supposedly_diseased_of"	"diseased_of_person"	"of_person_'s"	"DT"	"RB"	"JJ"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"as"	"he"	"apply"	"the"	"applicator"	"extend"	"from"	"the"	"machine"	"which"	"consist_of"	"seven"	"differently"	"colored"	"neon_tube"	"superimpose"	"a"	"rectangular"	"base"	"to"	"supposedly"	"diseased"	"portion"	"of"	"person"	"body"	"person"	"keep_up"	"a"	"steady"	"stream"	"of"	"pseudo"	"scientific"	"mumbo_jumbo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"substantial"	"of"	"a"	"the"	"a_substantial"	"substantial_of"	"of_the"	"be_a_substantial"	"a_substantial_of"	"substantial_of_the"	"of_the_$"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"ε"	"0"	"0"	"that"	"why"	"the"	"group"	"the"	"group"	"group"	"and"	"the"	"person"	"group"	"have"	"estimate"	"toll"	"of"	"mechanical"	"quackery"	"to"	"be"	"a"	"portion"	"of"	"the"	"million"	"or_so"	"pay"	"to"	"medical"	"charlatan"	"annually"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
