"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:35:00::"	"always"	"a_piece"	","	"of"	",_always"	"always_a_piece"	"a_piece_of"	"workpiece_,_always"	",_always_a_piece"	"always_a_piece_of"	"a_piece_of_scrap"	"NN"	"ε"	"RB"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"drill"	"all_the_way"	"a"	"workpiece"	"always"	"place"	"a_piece"	"of"	"scrap"	"wood"	"underneath"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"emphasis"	"by"	"the"	"the"	"the_emphasis"	"emphasis_by"	"by_the"	"of_the_emphasis"	"the_emphasis_by"	"emphasis_by_the"	"by_the_department_of_defense"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"support"	"the"	"emphasis"	"place"	"by"	"the"	"department_of_defense"	"on"	"instruction"	"in"	"emergency"	"medical_care"	"the"	"medical_illustration_service"	"develop"	"casualty"	"simulation"	"kits"	"and"	"rescue"	"breathing"	"manikins"	"which"	"are"	"being"	"field-test"	"and"	"overhead_projector"	"transparency"	"sets"	"on"	"the"	"subjects"	"of"	"military_sanitation"	"first_aid"	"for"	"soldiers"	"bandaging"	"and"	"splinting"	"the"	"emergency_medical_treatment"	"unit"	"phase"	"and"	"emergency_war_surgery"	"in"	"support"	"of"	"the"	"north_atlantic_treaty_organization"	"nato"	"handbook"	
"2:35:00::"	"or"	"on"	"paper"	"the"	"paper_or"	"or_on"	"on_the"	"church_paper_or"	"paper_or_on"	"or_on_the"	"on_the_bulletin_board"	"NN"	"NN"	"CC"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"take"	"a"	"picture"	"of"	"the"	"group"	"of"	"members"	"to"	"be"	"put_in"	"the"	"church"	"paper"	"or"	"place"	"on"	"the"	"bulletin_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"be"	"on"	"foods"	"the"	"foods_be"	"be_on"	"on_the"	"more_foods_be"	"foods_be_on"	"be_on_the"	"on_the_eligible"	"JJR"	"NNS"	"VBP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central_falls"	"city_council"	"express"	"especially"	"that"	"more"	"foods"	"be"	"place"	"on"	"the"	"eligible"	"list"	"and"	"that"	"neighborhood"	"grocery"	"and"	"variety"	"stores"	"be"	"allow"	"to"	"do"	"business"	"on"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"them"	"group"	"in_the_center"	"group_and"	"and_them"	"them_in_the_center"	"the_group_and"	"group_and_them"	"and_them_in_the_center"	"them_in_the_center_of"	"DT"	"NN"	"CC"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"judge"	"move"	"all"	"the"	"dogs"	"she"	"select"	"several"	"from"	"the"	"group"	"and"	"place"	"them"	"in_the_center"	"of"	"the"	"ring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"is"	"on_it"	"patient"	"for"	"patient_is"	"is_on_it"	"on_it_for"	"canine_patient_is"	"patient_is_on_it"	"is_on_it_for"	"on_it_for_examination"	"JJ"	"NN"	"VBZ"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"many_times"	"i"	"have"	"wonder"	"why"	"veterinarians"	"do"	"not"	"the"	"table"	"clean"	"before"	"each"	"new"	"canine"	"patient"	"is"	"place"	"on_it"	"for"	"examination"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"his"	"in_which"	"booty"	"in_which_he"	"he_his"	"his_booty"	"bag_in_which_he"	"in_which_he_his"	"he_his_booty"	"his_booty_."	"NN"	"RB"	"PRP"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"seize"	"a"	"blanket"	"from"	"a"	"pallet"	"in"	"a"	"corner"	"spread"	"it"	"the"	"floor"	"and"	"use"	"it"	"to"	"form"	"a"	"bag"	"in_which"	"he"	"place"	"his"	"booty"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"hands"	"mold"	"in"	"mold_,"	",_hands"	"hands_in"	"from_mold_,"	"mold_,_hands"	",_hands_in"	"hands_in_a"	"IN"	"NN"	"ε"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"release"	"from"	"mold"	"place"	"hands"	"in"	"a"	"cupped"	"around"	"project"	"gently"	"lift"	"the"	"edge"	"on"	"far"	"side"	"then"	"continue"	"to"	"release"	"edge"	"completely"	"around"	"mold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"sleeve"	"∅"	"seam"	"∅_∅"	"∅_sleeve"	"sleeve_seam"	"∅_∅_∅"	"∅_∅_sleeve"	"∅_sleeve_seam"	"sleeve_seam_at"	"ε"	"ε"	"ε"	"VB"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sleeve"	"seam"	"at"	"center"	"underarm"	"and"	"center"	"of"	"sleeve"	"cap"	"at"	"shoulder"	"seam"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"the"	"drums"	"unions"	"drums_to"	"to_the"	"the_unions"	"the_drums_to"	"drums_to_the"	"to_the_unions"	"the_unions_under"	"DT"	"NNS"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sen._john._mcclellan"	"of"	"arkansas"	"and"	"rep._david_martin"	"of"	"are"	"again"	"beat"	"the"	"drums"	"to"	"place"	"the"	"unions"	"under"	"the"	"anti-monopoly"	"laws"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
