"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:31:01::"	"in"	"an"	","	"intercept"	",_in"	"in_an"	"an_intercept"	"anyhow_,_in"	",_in_an"	"in_an_intercept"	"an_intercept_orbit"	"RB"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"since"	"he"	"had"	"fail"	"to"	"anticipate"	"it"	"lose"	"the"	"five"	"minutes"	"anyhow"	"in"	"plot"	"an"	"intercept"	"orbit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"who"	"the"	"servant"	"strategy"	"servant_who"	"who_the"	"the_strategy"	"clever_servant_who"	"servant_who_the"	"who_the_strategy"	"the_strategy_of"	"JJ"	"NN"	"WP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to_begin_with"	"scapin"	"be"	"a"	"trickster"	"in"	"the"	"tradition"	"of"	"the"	"clever"	"servant"	"who"	"plot"	"the"	"strategy"	"of"	"courtship"	"for"	"his"	"master"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"atlantic_blvd."	"a"	"on"	"month-long"	"on_atlantic_blvd."	"atlantic_blvd._a"	"a_month-long"	"student_prince_lounge_on_atlantic_blvd."	"on_atlantic_blvd._a"	"atlantic_blvd._a_month-long"	"a_month-long_``"	"NNP"	"IN"	"NNP"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"student_prince_lounge"	"atlantic_blvd."	"plot"	"a"	"month-long"	"festival"	"throughout"	"october"	"with"	"special"	"features"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"person"	"and"	"the"	"the"	"the_person"	"person_and"	"and_the"	"of_the_person"	"the_person_and"	"person_and_the"	"and_the_ravage"	"IN"	"DT"	"NNP"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"the"	"yield"	"of"	"the"	"person"	"plot"	"and"	"the"	"ravage"	"of"	"grasshopper"	"in"	"that"	"lead"	"to"	"the"	"dispersal"	"of"	"the"	"settlement"	"southward"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"short_story"	"has"	"certain"	"been"	"certain_short_story"	"short_story_has"	"has_been"	"a_certain_short_story"	"certain_short_story_has"	"short_story_has_been"	"has_been_overwork"	"DT"	"JJ"	"NN"	"NN"	"VBZ"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"same"	"a"	"certain"	"short_story"	"plot"	"has"	"been"	"overwork"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"could"	"mass_murder"	"who"	"would"	"who_could"	"could_mass_murder"	"mass_murder_would"	"man_who_could"	"who_could_mass_murder"	"could_mass_murder_would"	"mass_murder_would_not"	"NN"	"WP"	"VB"	"VB"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"though"	"it"	"be"	"that"	"a"	"man"	"who"	"could"	"plot"	"mass_murder"	"would"	"not"	"hesitate"	"to"	"speak"	"an"	"untruth"	"still"	"it"	"be"	"difficult"	"to"	"understand"	"why"	"person"	"speak_for"	"only"	"for"	"person"	
"1:09:00::"	"a"	"to"	"in"	"kill"	"in_a"	"a_to"	"to_kill"	"be_in_a"	"in_a_to"	"a_to_kill"	"to_kill_the"	"VB"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"claim"	"person"	"in"	"a"	"plot"	"to"	"kill"	"the"	"pm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"involve"	"''"	"intrigue"	"''_the"	"the_involve"	"involve_intrigue"	"king_of_kings_''_the"	"''_the_involve"	"the_involve_intrigue"	"involve_intrigue_and"	"NNP"	"ε"	"DT"	"NN"	"VB"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"in"	"the"	"king_of_kings"	"the"	"plot"	"involve"	"intrigue"	"and"	"twist"	"and"	"turn"	"that"	"cannot"	"be"	"trace"	"to"	"the"	"gospels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"this"	"."	"to"	"∅"	"to_this"	"this_."	"._∅"	"move_to_this"	"to_this_."	"this_._∅"	"._∅_∅"	"VB"	"TO"	"DT"	"NN"	"ε"	"ε"	"ε"	"about"	"a_bit"	"person"	"discover"	"beyond"	"location"	"across"	"the"	"river"	"and"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"it"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"move"	"to"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"``"	"''"	"∅"	"?"	"∅_``"	"``_''"	"''_?"	"∅_∅_``"	"∅_``_''"	"``_''_?"	"''_?_∅"	"ε"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
