"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:41:02::"	"then"	"the"	","	"bit"	",_then"	"then_the"	"the_bit"	"stock_,_then"	",_then_the"	"then_the_bit"	"the_bit_down"	"NN"	"ε"	"RB"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"hole"	"be"	"to"	"be"	"bore"	"to"	"a"	"predetermined"	"mark"	"the"	"depth"	"on_the_side"	"of"	"the"	"stock"	"then"	"run"	"the"	"bit"	"down"	"so_that"	"it"	"be"	"even"	"with"	"the"	"mark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:02::"	"would"	"1"	"pay_out"	"billion"	"pay_out_would"	"would_1"	"1_billion"	"benefits_pay_out_would"	"pay_out_would_1"	"would_1_billion"	"1_billion_or"	"NNS"	"VB"	"MD"	"VB"	"CD"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"officials"	"estimate"	"the"	"annual"	"tax_boost"	"for"	"the"	"medical"	"plan"	"would"	"to"	"billion"	"dollars"	"and"	"that"	"medical"	"benefits"	"pay_out"	"would"	"run"	"billion"	"or"	"more"	"in"	"the"	"first"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:06::"	"in"	"on"	"interested"	"the"	"interested_in"	"in_on"	"on_the"	"be_interested_in"	"interested_in_on"	"in_on_the"	"on_the_required"	"VB"	"JJ"	"IN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"say"	"he"	"would"	"not"	"be"	"surprise"	"if"	"some"	"the"	"more_than"	"members"	"of"	"the"	"group"	"be"	"interested"	"in"	"run"	"on"	"the"	"required"	"non-partisan"	"ballot"	"for"	"on"	"the"	"charter"	"commission"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"pointed_arches"	"around"	"by"	"it"	"by_pointed_arches"	"pointed_arches_around"	"around_it"	"support_by_pointed_arches"	"by_pointed_arches_around"	"pointed_arches_around_it"	"around_it_and"	"VB"	"IN"	"NN"	"VB"	"VB"	"PRP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"retrace"	"my"	"steps"	"to"	"the"	"mosque"	"sultan_ahmet"	"only"	"one"	"with"	"six"	"minarets"	"i"	"enter"	"the"	"with"	"a"	"gallery"	"support"	"by"	"pointed_arches"	"run"	"around"	"it"	"and"	"a"	"fountain"	"in_the_middle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"is"	"50"	"1"	"%"	"1_is"	"is_50"	"50_%"	"august_1_is"	"1_is_50"	"is_50_%"	"50_%_above"	"NNP"	"CD"	"VB"	"VB"	"CD"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gus_ehlers"	"competitor"	"of"	"mr._houtz"	"in_this"	"farm"	"community"	"his"	"business"	"since"	"august"	"is"	"run"	"above"	"a"	"year"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"after"	"try"	"b"	"try_to"	"to_after"	"after_b"	"he_try_to"	"try_to_after"	"to_after_b"	"after_b_'"	"PRP"	"VB"	"TO"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"to"	"run"	"after"	"b"	"dikkat"	"to"	"hug"	"the"	"lead"	"spacesuit"	"to"	"tell"	"b"	"dikkat"	"that"	"he"	"love"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"will"	"their"	"who"	"party"	"who_will"	"will_their"	"their_party"	"men_who_will"	"who_will_their"	"will_their_party"	"their_party_organization"	"NNS"	"WP"	"MD"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"registered"	"democrats"	"in"	"new_york_city"	"this"	"year"	"have"	"the"	"opportunity"	"to"	"elect"	"their"	"candidates"	"for"	"mayor"	"and"	"municipal"	"and"	"the"	"men"	"who"	"will"	"run"	"their"	"party"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"being"	"in"	"race"	"the"	"race_being"	"being_in"	"in_the"	"'s_race_being"	"race_being_in"	"being_in_the"	"in_the_next"	"POS"	"NN"	"VBG"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"further"	"thought"	"bring"	"the"	"shuddery"	"of"	"a"	"governor"	"race"	"being"	"run"	"in"	"the"	"next"	"legislature"	"the"	"spectre"	"of"	"big"	"spending"	"programs"	"the"	"ooze"	"of"	"mudslinging"	"before"	"the"	"campaign"	"should"	"even"	"begin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:07::"	"who"	"the"	"purchasers"	"gamut"	"purchasers_who"	"who_the"	"the_gamut"	"for_purchasers_who"	"purchasers_who_the"	"who_the_gamut"	"the_gamut_from"	"IN"	"NNS"	"WP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"designers"	"and"	"manufacturers"	"have"	"models"	"for"	"purchasers"	"who"	"run"	"the"	"gamut"	"from"	"a"	"nautical"	"version"	"of"	"the"	"elderly"	"pasadena"	"lady"	"who"	"never"	"drive"	"more_than"	"five"	"miles"	"an"	"hour"	"on"	"her"	"once-a-month"	"ride"	"around"	"the"	"block"	"to"	"the"	"sportiest"	"boatman"	"who"	"insist"	"on"	"all"	"the"	"dash"	"color"	"flair"	"and"	"speed"	"to"	"encompass"	"in"	"a"	"single"	"boat"	
"2:42:07::"	"down_payments"	"about"	"and"	"the"	"and_down_payments"	"down_payments_about"	"about_the"	"interest_rates_and_down_payments"	"and_down_payments_about"	"down_payments_about_the"	"about_the_same"	"NN"	"CC"	"NN"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"terms"	"range"	"from"	"one"	"to"	"years"	"and"	"the"	"interest_rates"	"and"	"down_payments"	"run"	"about"	"the"	"same"	"as"	"for"	"automobiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
