"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"4:02:01::"	","	","	"often"	"he"	"often_,"	",_,"	",_he"	"more_often_,"	"often_,_,"	",_,_he"	",_he_be"	"RB"	"RB"	"ε"	"RB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"though"	"he"	"be"	"so"	"accustomed"	"to"	"submit"	"to"	"authority"	"on"	"the"	"job"	"without"	"argument"	"that"	"he"	"live"	"by"	"the"	"same"	"rule"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"even"	"his"	"earnings"	"parent"	"earnings_even"	"even_his"	"his_parent"	"own_earnings_even"	"earnings_even_his"	"even_his_parent"	"his_parent_may"	"JJ"	"NN"	"RB"	"RB"	"PRP$"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minor"	"be"	"subject"	"to"	"on"	"his"	"own"	"earnings"	"even"	"though"	"his"	"parent"	"may"	"under"	"local"	"law"	"have"	"the"	"right"	"to"	"them"	"and"	"might"	"actually"	"have"	"receive"	"the"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"even"	"he"	","	"earn"	",_even"	"even_he"	"he_earn"	"dependent_,_even"	",_even_he"	"even_he_earn"	"he_earn_$"	"NN"	"ε"	"RB"	"RB"	"PRP"	"VB"	"ε"	"child"	"be"	"under"	"or"	"be"	"a"	"student"	"you"	"may"	"also"	"claim"	"an"	"exemption"	"for"	"him"	"if"	"he"	"qualify"	"as"	"your"	"dependent"	"even"	"he"	"earn"	"or"	"more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"it"	"∅"	"be"	"∅_and"	"and_it"	"it_be"	"∅_∅_and"	"∅_and_it"	"and_it_be"	"it_be_logical"	"ε"	"ε"	"CC"	"RB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"it"	"be"	"logical"	"that"	"a"	"man"	"who"	"could"	"plot"	"mass_murder"	"would"	"not"	"hesitate"	"to"	"speak"	"an"	"untruth"	"still"	"it"	"be"	"difficult"	"to"	"understand"	"why"	"person"	"speak_for"	"only"	"for"	"person"	"0"	"0"	
"4:02:01::"	","	"."	"do"	"∅"	"do_,"	",_."	"._∅"	"to_do_,"	"do_,_."	",_._∅"	"._∅_∅"	"TO"	"VB"	"ε"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"n't"	"what"	"person"	"want"	"him"	"to"	"do"	"though"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"even"	"the"	","	"same"	",_even"	"even_the"	"the_same"	"comparable_,_even"	",_even_the"	"even_the_same"	"the_same_brain"	"JJ"	"ε"	"RB"	"RB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of_course"	"these"	"work"	"be"	"comparable"	"even"	"though"	"the"	"same"	"brain"	"conceive"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"threat"	"expensive"	"a"	","	"a_threat"	"threat_expensive"	"expensive_,"	"be_a_threat"	"a_threat_expensive"	"threat_expensive_,"	"expensive_,_and"	"VB"	"DT"	"NN"	"RB"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"polyphosphate"	"give"	"renewed"	"life"	"to"	"soap"	"product"	"a"	"time"	"when"	"surfactant"	"be"	"a"	"threat"	"though"	"expensive"	"and"	"these"	"same"	"polyphosphate"	"spell"	"the"	"decline"	"of"	"soap"	"usage"	"when"	"the"	"synergism"	"between"	"polyphosphate"	"and"	"synthetic"	"detergent"	"active"	"was"	"recognize"	"and"	"exploit"	
"4:02:00::"	","	","	"be"	"that"	"be_,"	",_,"	",_that"	"truth_be_,"	"be_,_,"	",_,_that"	",_that_man"	"NN"	"VB"	"ε"	"RB"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"though"	"that"	"man"	"react"	"differently"	"to"	"different"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"even"	"it"	"type"	"may"	"type_even"	"even_it"	"it_may"	"any_type_even"	"type_even_it"	"even_it_may"	"it_may_be"	"DT"	"NN"	"RB"	"RB"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"dream"	"and"	"this"	"be"	"true"	"a"	"mental_image"	"of"	"any"	"type"	"even"	"though"	"it"	"may"	"be"	"readily"	"interpret"	"into"	"its"	"equivalent"	"of"	"wakeful"	"thought"	"be"	"a"	"psychic_phenomenon"	"for"	"which"	"no"	"explanation"	"be"	"available"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	","	"always"	"does"	"always_,"	",_,"	",_does"	"not_always_,"	"always_,_,"	",_,_does"	",_does_the"	"RB"	"RB"	"ε"	"RB"	"ε"	"VBZ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"though"	"does"	"the"	"development"	"of"	"a"	"bumblebee"	"colony"	"take_place"	"in"	"the"	"smooth"	"fashion"	"we"	"have"	"just"	"describe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
