"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"4:02:04::"	"say"	"."	"n't"	"∅"	"n't_say"	"say_."	"._∅"	"ca_n't_say"	"n't_say_."	"say_._∅"	"._∅_∅"	"MD"	"RB"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ca"	"say"	"yet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"have"	"to"	","	"become"	",_have"	"have_to"	"to_become"	"unconscious_,_have"	",_have_to"	"have_to_become"	"to_become_well"	"NN"	"ε"	"VBP"	"RB"	"TO"	"VB"	"RB"	"have"	"been"	"intimate"	"in"	"the"	"schizophrenic"	"and"	"perhaps"	"also"	"in"	"the"	"dream"	"of"	"the"	"neurotic"	"this"	"be"	"a"	"question"	"which"	"i"	"have"	"no"	"wish"	"to"	"take_up"	"condensation"	"be"	"a"	"phenomenon"	"in"	"which"	"one"	"find"	"not"	"a"	"condensed"	"expression"	"of"	"various"	"feeling"	"and"	"idea"	"which"	"be"	"at"	"an"	"unconscious"	"level"	"well"	"sort_out"	"but"	"rather"	"a"	"condensed"	"expression"	"of"	"feeling"	"and"	"idea"	"which"	"even"	"in"	"the"	"unconscious"	"have"	"yet"	"become"	"well"	"differentiated"	"from"	"one"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"and"	"it"	","	"be"	",_and"	"and_it"	"it_be"	"unique_,_and"	",_and_it"	"and_it_be"	"it_be_universal"	"JJ"	"ε"	"CC"	"RB"	"PRP"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"death"	"of"	"a"	"be"	"unique"	"and"	"yet"	"it"	"be"	"universal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	","	"unsung"	"titanic"	","	"titanic_,"	",_unsung"	"unsung_,"	"this_titanic_,"	"titanic_,_unsung"	",_unsung_,"	"unsung_,_composer"	"RB"	"JJ"	"ε"	"RB"	"JJ"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"music"	"of"	"bini_salfininistas"	"capital_lp"	"r"	"one"	"of"	"the"	"recording"	"of"	"this"	"titanic"	"yet"	"unsung"	"composer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"and"	"this"	"∅"	"be"	"∅_and"	"and_this"	"this_be"	"∅_∅_and"	"∅_and_this"	"and_this_be"	"this_be_exactly"	"ε"	"ε"	"CC"	"RB"	"DT"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"this"	"be"	"exactly"	"the"	"risk"	"we"	"run"	"when"	"we"	"assume"	"as"	"we"	"too"	"often"	"do"	"that"	"we"	"can"	"continue"	"to"	"preach"	"the"	"gospel"	"in"	"a"	"form"	"that"	"make"	"it"	"seem"	"incredible"	"and"	"irrelevant"	"to"	"cultured"	"man"	
"4:02:02::"	"has"	"to"	"television"	"work_out"	"television_has"	"has_to"	"to_work_out"	"∅_television_has"	"television_has_to"	"has_to_work_out"	"to_work_out_a"	"ε"	"NN"	"VBZ"	"RB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"yet"	"to"	"work_out"	"a"	"living_arrangement"	"with"	"jazz"	"which"	"come"	"to"	"the"	"medium"	"more"	"as"	"an"	"uneasy"	"guest"	"than"	"as"	"a"	"relaxed"	"member"	"of"	"the"	"family"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"film"	"make"	"impressive"	"from"	"impressive_film"	"film_make"	"make_from"	"and_impressive_film"	"impressive_film_make"	"film_make_from"	"make_from_person"	"CC"	"JJ"	"NN"	"RB"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"truly"	"odd"	"and"	"ironic"	"the"	"most"	"handsome"	"and"	"impressive"	"film"	"yet"	"make"	"from"	"person"	"don_quixote"	"be"	"the"	"brilliant"	"russian"	"spectacle"	"do"	"in"	"wide-screen"	"and"	"color"	"which"	"open"	"yesterday"	"at"	"the"	"location"	"and"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"lionize"	"once_again"	"be"	","	"be_lionize"	"lionize_once_again"	"once_again_,"	"to_be_lionize"	"be_lionize_once_again"	"lionize_once_again_,"	"once_again_,_and"	"VB"	"VB"	"VB"	"RB"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"in"	"his"	"mid-fifties"	"at"	"this"	"time"	"long"	"past"	"establishment"	"of"	"his"	"name"	"and"	"the"	"wish"	"to"	"be"	"lionize"	"yet"	"once_again"	"and"	"it"	"was"	"almost"	"a"	"decade"	"since"	"he"	"had"	"swear_off"	"lecturing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"be"	"to"	"worst"	"come"	"worst_be"	"be_to"	"to_come"	"the_worst_be"	"worst_be_to"	"be_to_come"	"to_come_."	"DT"	"JJ"	"VB"	"RB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"yet"	"to"	"come"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"consult"	"about"	"been"	"the"	"been_consult"	"consult_about"	"about_the"	"not_been_consult"	"been_consult_about"	"consult_about_the"	"about_the_plan"	"RB"	"VBN"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"source"	"tell"	"the_constitution"	"however"	"person"	"has"	"not"	"been"	"consult"	"yet"	"about"	"the"	"plan"	"to"	"issue"	"the"	"new"	"rural"	"road"	"bond"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
