"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"2:35:09::"	","	"the"	"depth"	"depth"	"depth_,"	",_the"	"the_depth"	"predetermined_depth_,"	"depth_,_the"	",_the_depth"	"the_depth_on_the_side"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"hole"	"be"	"to"	"bore"	"to"	"a"	"predetermined"	"depth"	"mark"	"the"	"depth"	"on_the_side"	"of"	"the"	"stock"	"then"	"run"	"the"	"bit"	"down"	"so_that"	"it"	"be"	"even"	"with"	"the"	"mark"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"will"	"a"	"representative"	"stiffening"	"representative_will"	"will_a"	"a_stiffening"	"'s_representative_will"	"representative_will_a"	"will_a_stiffening"	"a_stiffening_of"	"POS"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"remember"	"the"	"step-by-step"	"fate"	"of"	"danzig"	"and"	"the"	"west"	"german"	"misgivings"	"about"	"salami"	"tactics"	"be"	"to"	"be"	"hope"	"that"	"the"	"dispatch"	"of"	"general_clay"	"west_berlin"	"as"	"president_kennedy"	"representative"	"will"	"mark"	"a"	"stiffening"	"of"	"response"	"not_only"	"to"	"future"	"indignities"	"and"	"aggressions"	"but"	"also"	"to"	"some"	"that"	"have"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"∅"	"row"	"∅"	"on_which"	"∅_∅"	"∅_row"	"row_on_which"	"∅_∅_∅"	"∅_∅_row"	"∅_row_on_which"	"row_on_which_first"	"ε"	"ε"	"ε"	"VB"	"NN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"row"	"on_which"	"first"	"stitches"	"have"	"been"	"bind_off"	"for"	"armhole"	"by"	"draw"	"a"	"contrasting"	"colored"	"thread"	"through"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"year"	"the"	"this"	"centennial"	"this_year"	"year_the"	"the_centennial"	"as_this_year"	"this_year_the"	"year_the_centennial"	"the_centennial_of"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"year"	"mark"	"the"	"centennial"	"of"	"the"	"beginning"	"of"	"the"	"civil_war"	"this"	"fact"	"is"	"being"	"commemorate"	"with"	"several"	"exhibits"	"throughout"	"the"	"state"	"but"	"most_of_all"	"pay"	"tribute"	"to"	"the"	"first"	"rhode_island"	"volunteers"	"who"	"rush"	"to"	"the"	"defense"	"of"	"the"	"city"	"of"	"washington"	"put"	"at"	"the"	"disposal"	"of"	"president_lincoln"	"the"	"only"	"fully"	"equipped"	"and"	"best"	"trained"	"regiment"	"at"	"this"	"time"	
"2:31:01::"	"1961"	"the"	"year"	"fourteenth"	"year_1961"	"1961_the"	"the_fourteenth"	"the_year_1961"	"year_1961_the"	"1961_the_fourteenth"	"the_fourteenth_anniversary"	"DT"	"NN"	"CD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mark"	"the"	"fourteenth"	"anniversary"	"of"	"the"	"unification"	"of"	"our"	"armed_forces"	"under"	"the"	"national_security_act"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"1819"	"the"	"in"	"sailing"	"in_1819"	"1819_the"	"the_sailing"	"date_in_1819"	"in_1819_the"	"1819_the_sailing"	"the_sailing_of"	"NN"	"IN"	"CD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"in"	"mark"	"the"	"sailing"	"of"	"the"	"s._s."	"savannah"	"from"	"savannah"	"georgia"	"for"	"liverpool"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"in"	"this"	"with"	"date"	"with_in"	"in_this"	"this_date"	"join_with_in"	"with_in_this"	"in_this_date"	"this_date_,"	"VB"	"IN"	"IN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"september"	"sam_rayburn"	"will"	"have"	"serve"	"as"	"speaker"	"twice_as"	"long"	"as"	"predecessor"	"and"	"i"	"be"	"proud"	"to"	"join"	"with"	"in"	"mark"	"this"	"date"	"and"	"in"	"express"	"my"	"esteem"	"for"	"that"	"notable"	"american"	"sam_rayburn"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"∅"	"and"	"∅"	"center_punch"	"∅_∅"	"∅_and"	"and_center_punch"	"∅_∅_∅"	"∅_∅_and"	"∅_and_center_punch"	"and_center_punch_all"	"ε"	"ε"	"ε"	"VB"	"CC"	"VB"	"PDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"center_punch"	"all"	"the"	"holes"	"required"	"for"	"screws"	"to"	"hold"	"this"	"assembly"	"together"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:09::"	"must"	"each"	")"	"little"	")_must"	"must_each"	"each_little"	"medium_)_must"	")_must_each"	"must_each_little"	"each_little_item"	"NN"	"ε"	"MD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"after"	"the"	"sitting"	"has"	"been"	"hold"	"several"	"readings"	"at_one_time"	"are"	"mail"	"and"	"the"	"distant"	"sitter"	"whose"	"name"	"or"	"whose"	"communicator"	"name"	"was"	"give"	"the"	"medium"	"must"	"mark"	"each"	"little"	"item"	"as"	"correct"	"hit"	"incorrect"	"miss"	"doubtful"	"or"	"especially"	"significant"	"apply"	"to"	"him"	"and"	"he"	"feel"	"not"	"to"	"anyone"	"else"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"mr._st._john"	"the"	"and"	"field"	"and_mr._st._john"	"mr._st._john_the"	"the_field"	"montpelier_and_mr._st._john"	"and_mr._st._john_the"	"mr._st._john_the_field"	"the_field_with"	"NNP"	"CC"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"wary"	"eye"	"on"	"the"	"farmer"	"fred_somers"	"of"	"montpelier"	"and"	"mr._st._john"	"mark"	"the"	"field"	"with"	"a"	"red"	"table"	"cloth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"read"	"my"	"are"	"15"	"are_read"	"read_my"	"my_15"	"you_are_read"	"are_read_my"	"read_my_15"	"my_15_th"	"PRP"	"VBP"	"VB"	"VB"	"PRP$"	"CD"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"a"	"magazine"	"my"	"name"	"be"	"this"	"issue"	"that"	"you"	"are"	"read"	"mark"	"my"	"th"	"anniversary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"services"	"national_christian_family_week"	"special"	"in"	"special_services"	"services_national_christian_family_week"	"national_christian_family_week_in"	"in_special_services"	"special_services_national_christian_family_week"	"services_national_christian_family_week_in"	"national_christian_family_week_in_miami"	"IN"	"JJ"	"NNS"	"VB"	"NNP"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"need"	"for"	"and"	"the"	"way"	"to"	"achieve"	"christian"	"home"	"will"	"be"	"stress"	"in"	"special"	"services"	"mark"	"national_christian_family_week"	"in"	"miami"	"area"	"churches"	"next"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"service"	"national_family_week"	"m._sunday"	"."	"m._sunday_service"	"service_national_family_week"	"national_family_week_."	"a._m._sunday_service"	"m._sunday_service_national_family_week"	"service_national_family_week_."	"national_family_week_._∅"	"NN"	"NNP"	"NN"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"outstanding"	"family"	"of"	"central_nazarene_church"	"will"	"be"	"pick"	"by"	"ballot"	"among"	"eight"	"families"	"during"	"the"	"a."	"m._sunday"	"service"	"mark"	"national_family_week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:09::"	"waters"	"by"	"north_atlantic"	"mercy"	"north_atlantic_waters"	"waters_by"	"by_mercy"	"in_north_atlantic_waters"	"north_atlantic_waters_by"	"waters_by_mercy"	"by_mercy_jobs"	"IN"	"NNP"	"NNS"	"VB"	"IN"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"newport-based"	"destroyer"	"picket"	"escort"	"kretchmer"	"has"	"arrive"	"back"	"newport"	"after"	"three"	"months"	"patrol"	"in"	"north_atlantic"	"waters"	"mark"	"by"	"mercy"	"jobs"	"afloat"	"and"	"ashore"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"mr._parker"	"the"	"of"	"third"	"of_mr._parker"	"mr._parker_the"	"the_third"	"arrest_of_mr._parker"	"of_mr._parker_the"	"mr._parker_the_third"	"the_third_charge"	"NN"	"IN"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"mr._parker"	"mark"	"the"	"third"	"charge"	"of"	"wrongdoing"	"involve"	"the"	"jury"	"that"	"hear"	"the"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:09::"	"("	"``"	"board"	"e"	"board_("	"(_``"	"``_e"	"roof_board_("	"board_(_``"	"(_``_e"	"``_e_''"	"NN"	"NN"	"ε"	"VB"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"one"	"two"	"roof"	"board"	"mark"	"e"	"in"	"fig"	"are"	"slip"	"into"	"place"	"across"	"the"	"roof"	"beam"	"from"	"outside"	"the"	"shelter"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
