"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:41:00::"	"not"	"and"	"have"	"flow"	"have_not"	"not_and"	"and_flow"	"buildings_have_not"	"have_not_and"	"not_and_flow"	"and_flow_back"	"NNS"	"VBP"	"RB"	"VB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"just_as"	"all"	"buildings"	"have"	"not"	"fall"	"and"	"flow"	"back"	"to"	"their"	"original"	"mud"	"so"	"the"	"values"	"which"	"want"	"them"	"and"	"see"	"that"	"they"	"were_built"	"have"	"not"	"all"	"disappear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"have"	"out"	"ones"	","	"ones_have"	"have_out"	"out_,"	"first_ones_have"	"ones_have_out"	"have_out_,"	"out_,_make"	"JJ"	"NNS"	"VBP"	"VB"	"VB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"teeth"	"that"	"have"	"before"	"the"	"first"	"ones"	"have"	"fall"	"out"	"make"	"a"	"double"	"row"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"or"	"only"	"stand"	"by"	"stand_or"	"or_only"	"only_by"	"to_stand_or"	"stand_or_only"	"or_only_by"	"only_by_the"	"TO"	"VB"	"CC"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"latter"	"in_turn"	"assure"	"him"	"that"	"were"	"i"	"arraign"	"at"	"the"	"bar"	"you"	"my"	"judge"	"i"	"should"	"expect"	"to"	"stand"	"or"	"fall"	"only"	"by"	"the"	"merits"	"of"	"my"	"cause"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"has"	"as"	"labor_movement"	"a"	"labor_movement_has"	"has_as"	"as_a"	"the_labor_movement_has"	"labor_movement_has_as"	"has_as_a"	"as_a_result"	"DT"	"NN"	"VBZ"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"public"	"atmosphere"	"that"	"has"	"been"	"generate"	"which"	"make"	"acceptance"	"law"	"a"	"stem"	"from"	"the"	"disrepute"	"into"	"which"	"the"	"labor_movement"	"has"	"fall"	"as"	"a"	"result"	"of"	"mr._mcclellan"	"hearings"	"into"	"corruption"	"in"	"labor-management"	"relations"	"and"	"later"	"into"	"the"	"jurisdictional"	"squabbles"	"that"	"plague"	"industrial"	"relations"	"at"	"the"	"missile"	"sites"	"0"	"0"	"0"	"0"	"0"	
"2:42:04::"	"eyes"	"upon"	"his"	"rankin"	"his_eyes"	"eyes_upon"	"upon_rankin"	",_his_eyes"	"his_eyes_upon"	"eyes_upon_rankin"	"upon_rankin_beside"	"ε"	"PRP$"	"NNS"	"VB"	"VB"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"barton"	"turn_away"	"eyes"	"fall"	"upon"	"rankin"	"beside"	"his"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:08::"	"almost"	"."	"and"	"∅"	"and_almost"	"almost_."	"._∅"	",_and_almost"	"and_almost_."	"almost_._∅"	"._∅_∅"	"ε"	"CC"	"RB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"get"	"to"	"her"	"stagger"	"and"	"almost"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"whip"	"."	"the"	"∅"	"the_whip"	"whip_."	"._∅"	",_the_whip"	"the_whip_."	"whip_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"for"	"the"	"start"	"of"	"santa_cruz"	"run"	"the"	"whip"	"fall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:03::"	"it"	"to"	"∅"	"chancellor_kimpton"	"∅_it"	"it_to"	"to_chancellor_kimpton"	"∅_∅_it"	"∅_it_to"	"it_to_chancellor_kimpton"	"to_chancellor_kimpton_,"	"ε"	"ε"	"PRP"	"VB"	"VB"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fall"	"to"	"chancellor_kimpton"	"now"	"a"	"standard_oil"	"indiana"	"executive"	"to"	"spend"	"his"	"nine-year"	"reign"	"tidy_up"	"chicago"	"after"	"the"	"year"	"typhoon"	"of"	"idealist"	"robert_maynard_hutchins"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"have"	"to"	"deer"	"this"	"deer_have"	"have_to"	"to_this"	"more_deer_have"	"deer_have_to"	"have_to_this"	"to_this_same"	"JJR"	"NN"	"VBP"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"deer"	"have"	"fall"	"to"	"this"	"same"	"gun"	"and"	"all"	"be"	"one-shot"	"kills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"had"	"for"	"proportions"	"three"	"proportions_had"	"had_for"	"for_three"	"cloudburst_proportions_had"	"proportions_had_for"	"had_for_three"	"for_three_full"	"NN"	"NNS"	"VBD"	"VB"	"VB"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rain"	"of"	"cloudburst"	"proportions"	"had"	"fall"	"for"	"three"	"full"	"days"	"and"	"it"	"was"	"still"	"rain"	"on"	"the"	"morning"	"of"	"friday"	"november"	"when"	"officials"	"of"	"the"	"post_office_department"	"railway_mail_service"	"realize"	"that"	"their"	"distribution"	"system"	"for"	"vermont"	"had"	"been"	"almost"	"totally"	"destroy"	"overnight"	"0"	"0"	"0"	"0"	
