"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"2:42:00::"	"dave"	"to"	","	"feel"	",_dave"	"dave_to"	"to_feel"	"door_,_dave"	",_dave_to"	"dave_to_feel"	"to_feel_for"	"NN"	"ε"	"NNP"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"dave"	"pause"	"to"	"feel"	"for"	"the"	"latch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"not"	"to"	"did"	"consider"	"did_not"	"not_to"	"to_consider"	"she_did_not"	"did_not_to"	"not_to_consider"	"to_consider_what"	"PRP"	"VBD"	"RB"	"VB"	"TO"	"VB"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"not"	"pause"	"to"	"consider"	"what"	"she"	"would"	"do"	"if"	"her"	"plan"	"should"	"fail"	"she"	"direct"	"all_of"	"her"	"mental"	"and"	"physical"	"energy"	"toward"	"achieve"	"this"	"one"	"goal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"chief_executive"	"along"	"sun-tanned"	"the"	"sun-tanned_chief_executive"	"chief_executive_along"	"along_the"	",_sun-tanned_chief_executive"	"sun-tanned_chief_executive_along"	"chief_executive_along_the"	"along_the_way"	"ε"	"JJ"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"he"	"leave"	"the"	"bandstand"	"to"	"return"	"to"	"his"	"office"	"slender"	"sun-tanned"	"chief_executive"	"pause"	"along"	"the"	"way"	"to"	"shake_hands"	"with"	"the"	"members"	"of"	"the"	"audience"	"in"	"wheel"	"chairs"	"form"	"the"	"first"	"row"	"under"	"the"	"field_tent"	"set_up"	"for"	"the"	"guests"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"gavin"	"wearily"	"∅"	"."	"∅_gavin"	"gavin_wearily"	"wearily_."	"∅_∅_gavin"	"∅_gavin_wearily"	"gavin_wearily_."	"wearily_._∅"	"ε"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pause"	"wearily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"had"	"."	"roberts"	"∅"	"roberts_had"	"had_."	"._∅"	",_roberts_had"	"roberts_had_."	"had_._∅"	"._∅_∅"	"ε"	"NNP"	"VBD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"eight"	"nine"	"steps"	"above"	"roberts"	"had"	"pause"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"to"	","	"look"	",_he"	"he_to"	"to_look"	"bast_,_he"	",_he_to"	"he_to_look"	"to_look_at"	"NNP"	"ε"	"PRP"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"he"	"get_out"	"fresh"	"for"	"bast"	"he"	"pause"	"to"	"look"	"at"	"her"	"crouch"	"daintily"	"over"	"her"	"dish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"person"	"again"	"∅"	"."	"∅_person"	"person_again"	"again_."	"∅_∅_person"	"∅_person_again"	"person_again_."	"again_._∅"	"ε"	"ε"	"NNP"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pause"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	","	"when"	"and_so_on"	"he"	"and_so_on_,"	",_when"	"when_he"	",_and_so_on_,"	"and_so_on_,_when"	",_when_he"	"when_he_come"	"ε"	"RB"	"ε"	"VB"	"WRB"	"PRP"	"VB"	"he"	"skim_over"	"the"	"millions"	"that"	"go"	"to"	"location"	"group"	"the"	"civic_center"	"the"	"group"	"the"	"library"	"and_so_on"	"pause"	"when"	"come"	"to"	"the"	"scholarship"	"fund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"she"	"at"	"∅"	"the"	"∅_she"	"she_at"	"at_the"	"∅_∅_she"	"∅_she_at"	"she_at_the"	"at_the_kitchen"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pause"	"at"	"the"	"kitchen"	"door"	"catch_one's_breath"	"her"	"breath"	"tell"	"herself"	"firmly"	"that"	"the"	"opium"	"be"	"only"	"an"	"attempt"	"to"	"frighten"	"her"	"and"	"go_into"	"the"	"kitchen"	"where"	"person"	"was"	"eye"	"the"	"chicken"	"dismally"	"and"	"person"	"was"	"clean"	"lamp_chimney"	
"1:28:00::"	"a"	"in"	"be"	"the"	"be_a"	"a_in"	"in_the"	"there_be_a"	"be_a_in"	"a_in_the"	"in_the_merriment"	"EX"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"pause"	"in"	"the"	"merriment"	"as"	"your"	"friend"	"gaze"	"at"	"you"	"wonder"	"why"	"you"	"are"	"stare"	"openmouthed"	"in"	"amazement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
