"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"
"1:28:00::"	"recent"	"."	"in"	"∅"	"in_recent"	"recent_."	"._∅"	"expenditure_in_recent"	"in_recent_."	"recent_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"national"	"defense"	"consideration"	"have"	"be"	"the"	"major"	"behind"	"most"	"federal"	"training"	"expenditure"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"new"	"will"	"the"	"be"	"the_new"	"new_will"	"will_be"	"in_the_new"	"the_new_will"	"new_will_be"	"will_be_no"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marketing"	"the"	"new"	"decade"	"will"	"be"	"no"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"have"	"experience"	"in"	"the"	"last"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"first"	"."	"the"	"∅"	"the_first"	"first_."	"._∅"	"during_the_first"	"the_first_."	"first_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"area"	"of"	"private"	"label"	"competition"	"it"	"be"	"logical"	"to"	"a"	"continuation"	"of"	"trend"	"which"	"have"	"be"	"underway"	"during"	"the"	"first"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"next"	"."	"in"	"∅"	"in_next"	"next_."	"._∅"	"marketing_in_next"	"in_next_."	"next_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"company"	"will"	"take"	"the"	"time"	"to"	"give"	"objective"	"consideration"	"to"	"their"	"major"	"problem"	"and"	"to"	"the"	"question"	"they"	"provoke"	"then"	"a"	"constructive"	"step"	"will"	"have"	"been"	"take"	"toward"	"more"	"effective"	"marketing"	"in"	"next"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"that"	"during"	"follow"	"during_the"	"the_that"	"that_follow"	"∅_during_the"	"during_the_that"	"the_that_follow"	"that_follow_,"	"ε"	"IN"	"DT"	"NN"	"WDT"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"decade"	"that"	"follow"	"the"	"common_man"	"as"	"that"	"piece"	"put"	"it"	"grow"	"uncomfortable"	"as"	"the"	"voice"	"of"	"god"	"and"	"flee"	"from"	"behind"	"person"	"only"	"to"	"learn"	"from"	"science"	"to"	"his"	"shocked"	"relief"	"that"	"after_all"	"there"	"be"	"no"	"god"	"he"	"had"	"to"	"speak_for"	"and"	"that"	"he"	"be"	"just"	"an"	"animal"	"anyhow"	"that"	"there"	"was"	"a"	"chemical_formula"	"for"	"him"	"and"	"that"	"too"	"much"	"could"	"n't"	"be"	"expect"	"of"	"him"	
"1:28:00::"	"several"	"has"	"last"	"cause"	"last_several"	"several_has"	"has_cause"	"the_last_several"	"last_several_has"	"several_has_cause"	"has_cause_more"	"DT"	"JJ"	"JJ"	"NN"	"VBZ"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"incident"	"typical"	"of"	"many"	"dramatize"	"the"	"distressing"	"that"	"no"	"controversy"	"during"	"the"	"last"	"several"	"decade"	"has"	"cause"	"more"	"tension"	"rancor"	"and"	"strife"	"among"	"religious"	"group"	"in"	"this"	"country"	"than"	"the"	"birth_control"	"issue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"recent"	"''"	"in"	"."	"in_recent"	"recent_''"	"''_."	"change_in_recent"	"in_recent_''"	"recent_''_."	"''_._∅"	"VB"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"point_out"	"person"	"managing_editor"	"of"	"commonweal"	"catholic"	"run_roughshod"	"over"	"protestant"	"sensibility"	"in"	"this"	"matter"	"by"	"failure"	"to"	"consider"	"the"	"reasoning"	"behind"	"the"	"protestant"	"position"	"particularly"	"by"	"their"	"jibe"	"at"	"the"	"fact"	"protestant"	"opinion"	"on"	"birth_control"	"has"	"change"	"in"	"recent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"many"	"."	"for"	"∅"	"for_many"	"many_."	"._∅"	"investigator_for_many"	"for_many_."	"many_._∅"	"._∅_∅"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"association"	"between"	"electric"	"both"	"electrostatic"	"and"	"voltaic"	"force"	"magnetic_force"	"had"	"been"	"recognize"	"by"	"investigator"	"for"	"many"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"in"	"reach"	"the"	"reach_a"	"a_in"	"in_the"	"who_reach_a"	"reach_a_in"	"a_in_the"	"in_the_big_league"	"WP"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"spectacular"	"person"	"reach"	"a"	"decade"	"in"	"the"	"big_league"	"come"	"may"	"join"	"six"	"slugger"	"who"	"wallop"	"four"	"home_run"	"in"	"a"	"span"	"of"	"nine"	"inning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"since"	"almost"	"he"	"almost_a"	"a_since"	"since_he"	"was_almost_a"	"almost_a_since"	"a_since_he"	"since_he_had"	"VBD"	"RB"	"DT"	"NN"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"in"	"his"	"mid-fifties"	"at"	"this"	"time"	"long"	"past"	"the"	"establishment"	"of"	"his"	"and"	"the"	"wish"	"to"	"be"	"lionize"	"yet"	"once_again"	"and"	"it"	"was"	"almost"	"a"	"decade"	"since"	"he"	"had"	"swear_off"	"lecturing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
